Category,precision,recall,f1-score,support
Community,42.74 ± 13.44,47.01 ± 15.71,44.69 ± 14.48,2760.00 ± 1397.50
Entertainment,34.57 ± 21.22,17.67 ± 21.96,17.45 ± 19.91,4160.00 ± 1502.66
Food,14.24 ± 23.66,18.00 ± 24.90,14.23 ± 20.87,420.00 ± 605.81
Nightlife,18.86 ± 13.37,27.08 ± 21.95,21.74 ± 16.53,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,35.86 ± 24.78,29.88 ± 27.35,31.54 ± 25.65,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,7.50 ± 11.18,14.00 ± 21.91,9.74 ± 14.77,280.00 ± 130.38
Unknown-8,55.45 ± 5.76,55.40 ± 11.92,54.80 ± 7.35,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,7.83 ± 11.84,36.00 ± 49.80,12.44 ± 18.16,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,21.90 ± 23.53,35.91 ± 42.29,26.93 ± 29.67,400.00 ± 418.33
Unknown-13,21.28 ± 21.67,20.00 ± 20.92,18.70 ± 17.15,340.00 ± 194.94
Unknown-14,5.74 ± 7.90,12.00 ± 17.89,7.64 ± 10.70,640.00 ± 270.19
Unknown-15,29.09 ± 16.63,34.93 ± 20.14,31.71 ± 18.17,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,41.67 ± 50.00,20.00 ± 23.09,26.79 ± 31.07,275.00 ± 263.00
Unknown-18,55.71 ± 8.86,54.02 ± 5.09,54.80 ± 6.90,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
