epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.016739,0.941102,1.705318,4.518336,0.193434,32.386131,6.571449,6.571449,32.118301,3.162521,3.162521
2,0.008463,0.076880,0.335394,5.532948,0.286347,32.558853,9.046397,6.289245,32.221642,4.579113,2.685618
3,-0.063684,0.002623,0.212066,5.912846,0.379293,32.638046,10.261764,2.938709,32.357880,5.711787,2.558263
4,0.005444,0.273192,0.233111,6.135830,0.471979,32.444378,10.452984,2.362342,32.500443,6.720618,2.452119
5,-0.110962,0.007645,0.217078,6.104384,0.564188,32.141499,10.406162,0.361654,32.601852,7.395862,2.169897
6,0.059651,0.015607,0.143037,6.011110,0.655402,31.853811,10.387720,0.722280,32.656616,7.906947,1.843893
7,-0.018058,0.015677,0.145528,5.824605,0.745455,31.573711,10.357248,0.403166,32.693775,8.382751,1.795170
8,0.003220,0.012808,0.130187,5.635950,0.834146,31.295195,10.326180,0.321738,32.719177,8.790109,1.713126
9,0.023452,0.083915,0.124517,5.498041,0.921285,31.019842,10.320595,0.554788,32.736691,9.148555,1.667928
10,0.026008,0.013653,0.180761,5.306612,1.006692,30.756958,10.321661,0.480059,32.751400,9.476356,1.589350
11,0.004305,0.078571,0.148616,5.167517,1.090169,30.499842,10.325297,0.416053,32.769276,9.790918,1.580699
12,0.000737,0.012947,0.161119,5.056432,1.171561,30.251562,10.332782,0.329422,32.786259,10.097203,1.551804
13,-0.004488,0.011160,0.109539,4.942377,1.250533,30.008741,10.340055,0.404519,32.799095,10.372122,1.474703
14,0.002057,0.011342,0.152730,4.889643,1.326155,29.778759,10.356641,0.475423,32.808277,10.604034,1.398772
15,0.010662,0.022306,0.136451,4.852983,1.393917,29.558920,10.389539,0.541609,32.822464,10.842762,1.413504
