epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.013724,0.905210,1.401175,4.560777,0.193446,32.392811,6.541880,6.541880,32.117226,3.175190,3.175190
2,-0.030480,0.088890,0.179051,5.628895,0.286748,32.372169,7.338331,2.851768,32.218899,4.635665,2.809618
3,0.002272,0.002927,0.180500,6.041008,0.379838,32.257275,7.907337,1.329432,32.381176,5.845046,2.749254
4,-0.037561,0.003097,0.267909,6.227917,0.472450,31.964659,7.886721,0.443914,32.467571,6.755047,2.368133
5,-0.015326,0.021462,0.153651,6.150148,0.564428,31.675625,7.869671,0.329181,32.571342,7.591515,2.573959
6,0.008122,0.002189,0.394074,6.013833,0.655502,31.387411,7.854553,0.306313,32.607307,8.046396,2.237265
7,0.001068,0.002714,0.165528,5.838000,0.745424,31.106455,7.850529,0.300004,32.663006,8.590678,2.132098
8,0.013740,0.006109,0.182048,5.661618,0.832484,31.102554,8.931860,4.172442,32.722298,9.010374,1.821881
9,-0.007165,0.004418,0.201246,5.511888,0.919465,30.843840,8.969811,0.278927,32.757648,9.372485,1.658366
10,-0.019256,0.004214,0.187213,5.319308,1.004950,30.577780,8.972322,0.281708,32.780384,9.678177,1.531221
11,0.005360,0.009273,0.152890,5.185813,1.088503,30.318789,8.982043,0.278818,32.794102,9.965836,1.528597
12,0.010795,0.003359,0.148280,5.091731,1.169985,30.064749,8.999041,0.282617,32.799831,10.210205,1.536433
13,-0.003160,0.003337,0.115335,4.970735,1.249063,29.827095,9.017667,0.260061,32.817593,10.480870,1.499446
14,-0.002910,0.004826,0.149949,4.902281,1.324822,29.596193,9.041271,0.269625,32.838715,10.734644,1.457296
15,-0.000968,0.059676,0.170378,4.858100,1.392424,29.495186,9.425590,2.519486,32.855030,10.958786,1.405868
16,0.034776,0.007744,0.119404,4.862122,1.446518,29.282303,9.466359,0.393184,32.858574,11.161518,1.338163
17,-0.000255,0.001717,0.146138,4.831853,1.485660,29.079922,9.498444,0.353617,32.868168,11.346045,1.323586
18,0.026757,0.002948,0.124154,4.834485,1.518247,28.883501,9.542752,0.334804,32.875065,11.525647,1.338723
19,0.004775,0.012093,0.138472,4.905009,1.542690,28.694941,9.583268,0.244866,32.874119,11.677367,1.181002
20,-0.002418,0.003069,0.150489,4.903940,1.562057,28.520008,9.632614,0.588441,32.877678,11.836645,1.202147
21,0.010524,0.003559,0.154054,4.927698,1.577895,28.347145,9.684831,0.430698,32.879280,11.976369,1.153512
22,-0.028586,0.000928,0.147480,4.956244,1.592373,28.186275,9.723028,0.179141,32.873959,12.095899,1.080804
23,-0.002136,0.001430,0.156781,5.010075,1.603511,28.038038,9.760528,0.189075,32.869675,12.204109,1.006278
24,-0.007306,0.001354,0.105152,5.043650,1.612874,27.890310,9.799520,0.195265,32.865250,12.308766,1.011435
25,0.001739,0.002544,0.124750,5.122250,1.620968,27.754524,9.839920,0.192184,32.851921,12.382495,0.938448
26,-0.005326,0.001497,0.121531,5.123224,1.627126,27.630901,9.875602,0.159860,32.844379,12.466884,0.889304
27,0.007113,0.005529,0.149546,5.153385,1.632724,27.511490,9.913371,0.128116,32.836628,12.546680,0.859988
28,0.007238,0.001154,0.114002,5.205378,1.637838,27.402536,9.947303,0.118103,32.825089,12.608253,0.810839
29,0.026454,0.000701,0.105030,5.231368,1.642773,27.305098,9.979181,0.115412,32.815144,12.665365,0.736913
30,-0.014941,0.003941,0.124510,5.296544,1.646698,27.215601,10.008545,0.151594,32.802357,12.710260,0.671533
31,-0.004143,0.001219,0.130623,5.315275,1.650486,27.129456,10.038522,0.101304,32.790375,12.746444,0.634438
32,0.007678,0.003991,0.110789,5.394137,1.653193,27.050898,10.067486,0.163510,32.780357,12.784761,0.593341
33,0.002743,0.006075,0.127469,5.426859,1.655405,26.979214,10.093477,0.137946,32.767662,12.812470,0.539492
34,0.005135,0.003866,0.108840,5.474571,1.657929,26.915060,10.118969,0.151037,32.757843,12.840923,0.498542
35,-0.007149,0.002243,0.122546,5.515410,1.659994,26.858471,10.140387,0.104076,32.745625,12.859393,0.452634
36,-0.024511,0.005200,0.121873,5.546054,1.662183,26.818054,10.160216,0.267479,32.735676,12.876109,0.400109
37,-0.001049,0.011779,0.125571,5.579478,1.663263,26.779173,10.183247,0.345691,32.726032,12.890499,0.356491
38,0.015756,0.009492,0.116371,5.617398,1.664016,26.750462,10.199070,0.185406,32.716473,12.900802,0.313471
39,0.001363,0.028530,0.121651,5.628224,1.664536,26.717562,10.251518,0.832692,32.709076,12.910549,0.272467
40,0.003153,0.008773,0.130575,5.665336,1.665701,26.692423,10.261411,0.078861,32.702614,12.918471,0.223845
41,0.031149,0.017413,0.122065,5.698896,1.666025,26.676208,10.270155,0.125665,32.696308,12.923141,0.192759
42,0.014185,0.016347,0.127128,5.747390,1.666228,26.656395,10.278229,0.083827,32.691635,12.928098,0.155932
43,-0.002242,0.012753,0.133497,5.739078,1.666510,26.642958,10.283298,0.043216,32.688240,12.930896,0.127089
44,-0.002024,0.003421,0.131143,5.766211,1.667046,26.632151,10.288061,0.030264,32.685089,12.932886,0.095032
45,-0.021335,0.006502,0.131907,5.777571,1.667370,26.624762,10.291379,0.028723,32.683235,12.934785,0.074196
46,0.009019,0.007368,0.110297,5.811156,1.667506,26.619904,10.293200,0.047657,32.681690,12.935683,0.051561
47,0.004125,0.015300,0.128091,5.783254,1.667636,26.616304,10.295250,0.032284,32.680805,12.936356,0.032841
48,0.008908,0.016858,0.140389,5.832578,1.667708,26.615273,10.295798,0.014868,32.680237,12.936518,0.017043
49,0.013678,0.035040,0.119042,5.809568,1.667741,26.614729,10.296268,0.007670,32.680050,12.936612,0.006655
50,-0.005128,0.013955,0.115851,5.794531,1.667746,26.614719,10.296277,0.001820,32.680016,12.936622,0.001212
