Category,precision,recall,f1-score,support
Community,0.6111,0.6667,0.6377,33.0000
Entertainment,0.2857,0.3810,0.3265,21.0000
Food,0.0000,0.0000,0.0000,2.0000
Nightlife,0.1667,0.3333,0.2222,3.0000
Outdoors,0.2000,0.4000,0.2667,5.0000
Shopping,0.5217,0.5455,0.5333,44.0000
Travel,0.0000,0.0000,0.0000,4.0000
None,0.0000,0.0000,0.0000,3.0000
Unknown-8,0.6182,0.6800,0.6476,50.0000
Unknown-9,0.0000,0.0000,0.0000,6.0000
Unknown-10,0.1250,1.0000,0.2222,1.0000
Unknown-11,0.4286,0.5000,0.4615,12.0000
Unknown-12,0.5000,1.0000,0.6667,2.0000
Unknown-13,0.2000,0.2500,0.2222,4.0000
Unknown-14,0.0000,0.0000,0.0000,3.0000
Unknown-15,0.4103,0.5000,0.4507,64.0000
Unknown-16,0.4118,0.3889,0.4000,36.0000
Unknown-18,0.5364,0.5364,0.5364,110.0000
Unknown-22,0.6087,0.6364,0.6222,22.0000
Unknown-23,0.0000,0.0000,0.0000,2.0000
Unknown-24,0.0000,0.0000,0.0000,2.0000
Unknown-25,0.4737,0.4737,0.4737,19.0000
Unknown-26,0.8571,0.8571,0.8571,7.0000
Unknown-27,0.0000,0.0000,0.0000,1.0000
Unknown-28,0.9101,0.9221,0.9161,7129.0000
Unknown-29,0.0000,0.0000,0.0000,7.0000
Unknown-30,0.5556,0.5556,0.5556,9.0000
Unknown-31,0.0000,0.0000,0.0000,2.0000
Unknown-32,0.3069,0.3370,0.3212,92.0000
Unknown-33,0.0000,0.0000,0.0000,3.0000
Unknown-35,0.0000,0.0000,0.0000,2.0000
Unknown-36,0.0000,0.0000,0.0000,2.0000
Unknown-37,0.7594,0.6827,0.7190,208.0000
Unknown-38,0.0000,0.0000,0.0000,1.0000
Unknown-39,0.0000,0.0000,0.0000,3.0000
Unknown-40,0.3684,0.2333,0.2857,30.0000
Unknown-41,0.3509,0.3333,0.3419,60.0000
Unknown-42,0.7064,0.4031,0.5133,191.0000
Unknown-43,0.1739,0.1538,0.1633,26.0000
Unknown-44,0.6796,0.6763,0.6780,414.0000
Unknown-45,0.5833,0.3825,0.4620,183.0000
Unknown-46,0.0000,0.0000,0.0000,1.0000
Unknown-47,0.6316,0.5581,0.5926,86.0000
Unknown-48,0.4812,0.4414,0.4604,145.0000
Unknown-49,0.6596,0.6739,0.6667,138.0000
Unknown-50,0.0000,0.0000,0.0000,4.0000
Unknown-51,0.3636,0.4000,0.3810,10.0000
Unknown-52,1.0000,1.0000,1.0000,3.0000
Unknown-53,0.3043,0.2917,0.2979,24.0000
Unknown-54,0.7427,0.7997,0.7701,574.0000
Unknown-55,0.3846,0.4839,0.4286,31.0000
Unknown-56,0.5000,1.0000,0.6667,1.0000
Unknown-57,0.2195,0.2727,0.2432,33.0000
Unknown-58,0.5271,0.5965,0.5597,114.0000
Unknown-59,0.6356,0.6356,0.6356,977.0000
Unknown-60,0.6875,0.7500,0.7174,88.0000
Unknown-61,0.0000,0.0000,0.0000,15.0000
Unknown-62,0.5714,0.6316,0.6000,19.0000
Unknown-63,0.4865,0.4000,0.4390,45.0000
Unknown-64,0.0000,0.0000,0.0000,14.0000
Unknown-65,0.5706,0.5906,0.5805,171.0000
Unknown-66,0.3000,0.2857,0.2927,42.0000
