epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.010212,1.019241,1.644795,4.320991,0.193496,32.402370,6.548437,6.548437,32.127895,3.129937,3.129937
2,-0.064171,0.136156,0.163969,5.121317,0.286873,32.176136,6.763125,1.490553,32.248631,4.784123,3.058174
3,0.032956,0.002556,0.232505,5.409034,0.380017,32.075863,7.478928,2.946018,32.375160,5.930089,2.638291
4,-0.097637,0.005539,0.240814,5.531472,0.472061,32.367382,9.222507,3.765895,32.500984,6.867867,2.326538
5,-0.008422,0.001240,0.762312,5.458556,0.563249,32.493813,10.205212,2.370669,32.616104,7.609514,2.078516
6,0.011440,0.000926,0.149190,5.396519,0.654499,32.200092,10.154026,0.296190,32.744343,8.311792,2.183007
7,-0.004005,0.001038,0.162338,5.237256,0.744595,31.912525,10.106998,0.290316,32.891541,9.023277,2.469673
8,-0.002711,0.004389,0.175908,5.062966,0.833299,31.627934,10.069524,0.292786,32.967537,9.470160,2.517089
9,-0.024684,0.002574,0.168684,4.908857,0.920480,31.347569,10.039440,0.287479,33.098415,10.070360,2.666808
10,0.006366,0.004166,0.350727,4.821578,1.005933,31.077742,10.018323,0.295242,33.162716,10.384766,1.653787
11,-0.001701,0.013358,0.202096,4.722524,1.089442,30.822390,10.006556,0.364870,33.209324,10.677805,1.553082
12,-0.003857,0.005334,0.166523,4.627638,1.170901,30.552166,10.002571,0.333262,33.243576,10.940778,1.480428
13,0.006226,0.002752,0.149909,4.536368,1.249935,30.318905,10.005225,0.455395,33.259979,11.167958,1.459411
14,-0.010857,0.012694,0.152566,4.477116,1.325575,30.151718,10.124593,1.629063,33.262360,11.380997,1.452387
15,-0.000486,0.034502,0.169540,4.464698,1.393637,30.127913,10.664017,3.037445,33.273590,11.587752,1.356430
16,-0.027116,0.012147,0.132055,4.436780,1.447216,29.919262,10.731732,1.024927,33.276020,11.773007,1.274773
17,-0.014582,0.013770,0.184132,4.421724,1.486154,30.453176,12.659619,6.750965,33.276909,11.932464,1.208476
18,0.004857,0.032637,0.150849,4.416066,1.518275,30.310719,12.770163,1.233684,33.280323,12.086042,1.160182
19,0.008639,0.007727,0.134542,4.460254,1.542704,30.113998,12.774515,0.614260,33.270519,12.224411,1.131296
20,-0.003298,0.007964,0.144583,4.483509,1.561958,29.930904,12.786674,0.587823,33.267990,12.357978,1.122028
21,0.010064,0.003667,0.181996,4.493132,1.577906,29.759378,12.786060,0.499739,33.264580,12.486838,1.073935
22,0.009168,0.003659,0.199142,4.521836,1.592000,29.592701,12.788635,0.271451,33.252476,12.585348,0.988476
23,-0.009804,0.002554,0.147925,4.533504,1.602472,29.431759,12.789927,0.236394,33.242260,12.685059,0.964534
24,-0.007404,0.005156,0.168175,4.557059,1.611527,29.280918,12.786745,0.190577,33.230900,12.773884,0.912776
25,0.004886,0.005310,0.106169,4.628399,1.620463,29.139889,12.796664,0.280936,33.213821,12.842828,0.867332
26,0.018177,0.011799,0.105433,4.623830,1.627069,29.004084,12.803302,0.180426,33.203537,12.915794,0.845904
27,0.024664,0.002123,0.147777,4.670103,1.632585,28.880417,12.807084,0.136160,33.188446,12.977667,0.786133
28,-0.003109,0.001543,0.115810,4.688145,1.637801,28.766062,12.812140,0.146355,33.174995,13.034349,0.728616
29,0.019687,0.002006,0.131369,4.716872,1.642774,28.658669,12.820433,0.145757,33.161209,13.083065,0.670085
30,-0.003279,0.003699,0.125074,4.754113,1.646985,28.560158,12.826423,0.104361,33.147373,13.124629,0.635003
31,-0.009857,0.002386,0.119810,4.791115,1.650453,28.471001,12.831450,0.099360,33.135395,13.163299,0.609704
32,-0.001358,0.007030,0.120059,4.825586,1.653275,28.389223,12.839847,0.123867,33.123161,13.196288,0.549851
33,0.003610,0.002806,0.113388,4.859157,1.655344,28.317280,12.845822,0.090717,33.108749,13.222180,0.514001
34,-0.012466,0.001776,0.135050,4.885213,1.658267,28.251736,12.850753,0.080318,33.095783,13.242286,0.467620
35,-0.003564,0.002386,0.126337,4.913803,1.660132,28.193851,12.855979,0.077273,33.085400,13.262805,0.409352
36,0.009150,0.004184,0.131665,4.948443,1.661941,28.143761,12.858637,0.126723,33.075630,13.278595,0.372328
37,-0.007148,0.002591,0.117275,4.960201,1.663306,28.099632,12.863163,0.054904,33.065502,13.289771,0.324666
38,0.005738,0.005634,0.127486,5.002393,1.664264,28.061117,12.865953,0.067852,33.056492,13.299537,0.294966
39,0.000493,0.004076,0.122842,5.023754,1.664506,28.027098,12.869403,0.046127,33.048347,13.306894,0.250772
40,0.001820,0.001865,0.115428,5.031920,1.665652,27.999596,12.872764,0.045405,33.040707,13.310893,0.216792
41,0.004773,0.002680,0.110224,5.060845,1.665990,27.976419,12.875278,0.041235,33.034904,13.316260,0.186033
42,-0.015966,0.002701,0.120237,5.088410,1.666403,27.958000,12.877242,0.025607,33.030205,13.319357,0.153666
43,0.001465,0.002673,0.119986,5.085756,1.666804,27.942989,12.879036,0.035111,33.026245,13.321487,0.125234
44,-0.017144,0.003736,0.119233,5.091751,1.667319,27.932135,12.880071,0.022665,33.023090,13.323383,0.093089
