Category,precision,recall,f1-score,support
Community,0.4274,0.4701,0.4469,27.6000
Entertainment,0.2571,0.0867,0.0852,41.6000
Food,0.1424,0.1800,0.1423,4.2000
Nightlife,0.1886,0.2708,0.2174,15.4000
Outdoors,0.2714,0.2856,0.2586,7.0000
Shopping,0.3586,0.2988,0.3154,15.0000
Travel,0.0000,0.0000,0.0000,4.8000
None,0.0750,0.1400,0.0974,2.8000
Unknown-8,0.5502,0.5435,0.5408,24.6000
Unknown-9,0.0000,0.0000,0.0000,4.2000
Unknown-10,0.0783,0.3600,0.1244,2.0000
Unknown-11,0.2257,0.1971,0.2050,6.6000
Unknown-12,0.2357,0.3591,0.2793,4.0000
Unknown-13,0.2128,0.2000,0.1870,3.4000
Unknown-14,0.0539,0.1600,0.0764,6.4000
Unknown-15,0.3076,0.3702,0.3357,51.6000
Unknown-16,0.4127,0.4568,0.4301,36.2000
Unknown-17,0.4167,0.2000,0.2679,2.7500
Unknown-18,0.5712,0.4614,0.4853,98.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.0000,0.0000,0.0000,2.5000
Unknown-21,0.0000,0.0000,0.0000,2.3333
Unknown-22,0.6380,0.7116,0.6711,23.8000
Unknown-24,0.0000,0.0000,0.0000,2.6000
Unknown-25,0.5180,0.4679,0.4910,28.2000
Unknown-26,0.7143,0.7786,0.7228,5.0000
Unknown-27,0.1548,0.2889,0.2016,5.3333
Unknown-28,0.0000,0.0000,0.0000,7081.8000
Unknown-29,0.1583,0.4095,0.2020,3.2000
Unknown-30,0.3578,0.3111,0.3143,6.2000
Unknown-31,0.1667,0.3333,0.1962,3.0000
Unknown-32,0.2931,0.2574,0.2707,54.2000
Unknown-33,0.1000,0.2000,0.1300,4.0000
Unknown-35,0.0000,0.0000,0.0000,1.4000
Unknown-36,0.2000,0.1000,0.1333,1.4000
Unknown-37,0.5577,0.5529,0.5537,106.6000
Unknown-38,0.2250,0.3000,0.2400,1.4000
Unknown-39,0.2000,0.2000,0.2000,1.2000
Unknown-40,0.3126,0.2686,0.2862,36.8000
Unknown-41,0.5112,0.4842,0.4953,96.0000
Unknown-42,0.5578,0.2768,0.3397,214.2000
Unknown-43,0.1074,0.0928,0.0993,32.2000
Unknown-44,0.6058,0.5943,0.5997,299.2000
Unknown-45,0.4520,0.2887,0.3520,189.6000
Unknown-46,0.2301,0.2611,0.2201,8.0000
Unknown-47,0.5838,0.5955,0.5873,73.8000
Unknown-48,0.3879,0.4020,0.3920,98.8000
Unknown-49,0.6251,0.6325,0.6286,142.0000
Unknown-50,0.3383,0.3200,0.3262,11.2000
Unknown-51,0.4527,0.5102,0.4772,10.8000
Unknown-53,0.2376,0.2380,0.2375,31.6000
Unknown-54,0.7488,0.7973,0.7722,581.8000
Unknown-55,0.3575,0.4348,0.3899,43.4000
Unknown-56,0.3774,0.4433,0.3883,6.6000
Unknown-57,0.2647,0.3125,0.2845,37.2000
Unknown-58,0.5584,0.5940,0.5755,96.2000
Unknown-59,0.1223,0.1242,0.1232,995.8000
Unknown-60,0.4700,0.5087,0.4868,35.2000
Unknown-62,0.4308,0.4839,0.4482,19.0000
Unknown-63,0.3973,0.3467,0.3678,10.8000
Unknown-64,0.0370,0.0238,0.0290,5.3333
Unknown-65,0.5506,0.5861,0.5672,112.8000
Unknown-66,0.3710,0.3830,0.3754,27.4000
Unknown-67,0.3442,0.3696,0.3544,25.6000
Unknown-68,0.3248,0.3459,0.3321,59.4000
Unknown-69,0.4275,0.4196,0.4228,73.8000
Unknown-70,0.7502,0.7201,0.7342,24.0000
Unknown-71,0.4870,0.3806,0.4235,12.6000
Unknown-72,0.2662,0.2311,0.2393,12.4000
Unknown-73,0.4803,0.5089,0.4884,14.8000
Unknown-74,0.5219,0.5412,0.5313,201.2000
Unknown-75,0.3936,0.3429,0.3629,13.0000
Unknown-76,0.7183,0.7610,0.7383,93.4000
Unknown-77,0.2667,0.3187,0.2667,8.8000
Unknown-78,0.4423,0.4237,0.4267,23.6000
Unknown-79,0.2236,0.2475,0.2318,15.0000
Unknown-80,0.2800,0.3333,0.3043,4.4000
Unknown-81,0.0555,0.0639,0.0591,26.4000
Unknown-82,0.3857,0.1650,0.1939,5.6000
Unknown-83,0.5051,0.6829,0.5788,12.2000
Unknown-84,0.4516,0.4920,0.4531,8.2000
Unknown-85,0.4228,0.4451,0.4327,101.2000
Unknown-86,0.6727,0.2874,0.2882,91.4000
Unknown-87,0.2147,0.2126,0.2094,22.0000
Unknown-89,0.0278,0.0286,0.0282,27.8000
Unknown-90,0.1636,0.1600,0.1614,8.2000
Unknown-91,0.2901,0.1815,0.1703,7.2000
Unknown-92,0.6237,0.7490,0.6768,11.2000
Unknown-94,0.2997,0.3027,0.2973,25.4000
Unknown-95,0.2814,0.2861,0.2804,21.8000
Unknown-96,0.5933,0.5935,0.5929,143.2000
Unknown-97,0.1629,0.1392,0.1420,12.2000
Unknown-98,0.3167,0.2771,0.2938,4.2000
Unknown-100,0.2359,0.2278,0.2316,33.8000
Unknown-101,0.2545,0.0744,0.0748,14.8000
Unknown-102,0.2944,0.2790,0.2861,42.4000
Unknown-103,0.4314,0.4193,0.4209,17.2000
Unknown-104,0.0500,0.0333,0.0400,5.4000
Unknown-105,0.0889,0.0893,0.0889,53.6000
Unknown-106,0.3889,0.1371,0.1632,14.6000
Unknown-107,0.0879,0.0871,0.0843,13.8000
Unknown-108,0.2732,0.2491,0.2602,21.6000
