epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.017252,1.043011,1.471311,4.412649,0.193553,32.430691,6.756664,6.756664,32.116722,3.108722,3.108722
2,-0.048444,0.038932,0.283368,5.549155,0.287020,32.283829,7.350962,2.635295,32.197857,4.506577,2.701410
3,-0.029214,0.010341,0.252385,6.034487,0.380170,32.009026,7.381311,0.686634,32.310116,5.688897,2.567284
4,0.015032,0.005441,0.202201,6.262110,0.472822,31.738756,7.481834,1.035899,32.400002,6.591775,2.339097
5,-0.009711,0.020577,0.180190,6.190529,0.564788,31.494944,7.693642,1.245492,32.462715,7.257115,2.041045
6,0.003253,0.009449,0.167807,6.072059,0.655829,31.355011,7.984615,2.539532,32.510784,7.773966,1.843773
7,0.007266,0.003158,0.180607,5.879176,0.745760,31.078112,7.985931,0.344431,32.568874,8.252869,1.816338
8,-0.013132,0.008714,0.173551,5.701838,0.834336,30.801109,7.995665,0.473225,32.611626,8.647364,1.665794
9,0.018732,0.004376,0.162992,5.550646,0.921374,30.534700,8.022560,0.385971,32.643459,9.020267,1.646565
10,0.015140,0.008916,0.140814,5.359181,1.006698,30.273666,8.064782,0.559193,32.663425,9.353798,1.558200
11,-0.000692,0.003953,0.129777,5.213849,1.090150,30.021889,8.095441,0.316721,32.683998,9.676617,1.517601
12,0.000151,0.004076,0.114687,5.090750,1.171483,29.775793,8.137272,0.379683,32.698200,9.952311,1.484417
13,0.016396,0.005176,0.160525,4.984611,1.250409,29.537374,8.195311,0.447853,32.716286,10.226250,1.494714
14,-0.001188,0.002892,0.115630,4.897061,1.325661,29.435057,8.595337,2.362288,32.732628,10.476345,1.390441
15,0.000909,0.003625,0.129610,4.867933,1.393888,29.248310,8.730659,0.381764,32.745056,10.706334,1.335929
16,0.001395,0.002521,0.156912,4.827027,1.448414,29.033257,8.773909,0.217009,32.758011,10.923952,1.360003
17,-0.004436,0.001674,0.126420,4.850165,1.490733,28.824928,8.820238,0.210245,32.760197,11.105942,1.250895
18,-0.002843,0.000425,0.114741,4.830391,1.523956,28.630365,8.865207,0.205659,32.768059,11.290778,1.282222
19,0.009785,0.000419,0.112153,4.857838,1.547962,28.443804,8.912428,0.189825,32.765533,11.462024,1.214326
20,-0.011960,0.000487,0.133914,4.884694,1.568750,28.265932,8.960836,0.180221,32.764271,11.623766,1.183018
21,0.002971,0.000793,0.108096,4.928615,1.586140,28.095266,9.012695,0.171261,32.767498,11.771972,1.175664
22,-0.000195,0.007179,0.129186,4.956734,1.601899,27.931170,9.067146,0.173186,32.763809,11.909717,1.057817
23,0.002185,0.000702,0.125294,4.988936,1.612311,27.778151,9.118214,0.153828,32.756527,12.023939,1.026038
24,0.000336,0.001213,0.148231,5.017918,1.621749,27.635710,9.166819,0.157698,32.746494,12.128482,0.953576
25,-0.004043,0.002196,0.115215,5.074846,1.630989,27.498512,9.217699,0.145211,32.735474,12.211655,0.898232
26,0.009291,0.000963,0.129305,5.118140,1.637515,27.373117,9.260074,0.131817,32.723141,12.297945,0.873390
27,0.001749,0.000851,0.099887,5.170361,1.643756,27.256021,9.302866,0.122199,32.713455,12.374486,0.825477
28,0.001948,0.000963,0.122349,5.168372,1.649106,27.146570,9.346982,0.111833,32.704239,12.444762,0.802794
29,0.006103,0.002442,0.111278,5.211082,1.653494,27.041725,9.386417,0.181423,32.691978,12.500469,0.720240
30,-0.005079,0.002854,0.101881,5.298598,1.657977,26.979837,9.523656,1.423554,32.678837,12.546441,0.670237
31,-0.002984,0.001022,0.152640,5.287650,1.661156,26.898064,9.560770,0.086923,32.668232,12.593396,0.644605
32,0.000827,0.000614,0.128509,5.342399,1.664569,26.821522,9.592834,0.076846,32.658218,12.632624,0.584852
33,0.000474,0.002606,0.108976,5.355436,1.667170,26.752209,9.622267,0.069786,32.647251,12.667242,0.528445
34,0.000674,0.001098,0.120935,5.445746,1.668509,26.690489,9.648822,0.062107,32.636791,12.696134,0.497733
35,-0.000160,0.001765,0.116297,5.450544,1.670677,26.635389,9.672582,0.055340,32.625977,12.719832,0.441272
36,0.002809,0.000614,0.115801,5.496604,1.672407,26.586578,9.693746,0.048872,32.615753,12.739544,0.406311
37,-0.000101,0.000504,0.122946,5.539203,1.673262,26.544022,9.712195,0.042670,32.605553,12.755120,0.354855
38,0.001545,0.001768,0.118751,5.573574,1.674733,26.507229,9.728446,0.036896,32.596905,12.767433,0.307965
39,0.000942,0.000449,0.110227,5.624684,1.675782,26.475935,9.742316,0.031440,32.589230,12.777759,0.271045
40,0.002079,0.000891,0.137851,5.639140,1.676608,26.449757,9.754093,0.026370,32.582390,12.784904,0.228642
41,0.000785,0.001113,0.135843,5.664487,1.677432,26.427959,9.763941,0.022488,32.576427,12.790683,0.191447
42,-0.001339,0.002869,0.119283,5.695509,1.677755,26.410542,9.771895,0.018044,32.571854,12.796423,0.159381
43,-0.000863,0.001917,0.125148,5.735526,1.678449,26.396917,9.777997,0.014101,32.567852,12.798727,0.131771
44,-0.001005,0.001947,0.109948,5.741648,1.678628,26.386658,9.782565,0.010739,32.565010,12.802117,0.101046
45,0.000890,0.003332,0.144249,5.754778,1.678873,26.379145,9.786052,0.008157,32.563171,12.804820,0.073647
46,0.000949,0.002079,0.134686,5.724562,1.679025,26.374084,9.788324,0.005666,32.561924,12.806576,0.052740
47,0.000632,0.003261,0.144248,5.736553,1.679116,26.371023,9.789680,0.003269,32.560925,12.807265,0.032957
48,-0.000411,0.002475,0.120431,5.768261,1.679170,26.369434,9.790411,0.001902,32.560356,12.807335,0.017534
49,-0.000768,0.002894,0.147674,5.765845,1.679214,26.368855,9.790684,0.000679,32.560200,12.807564,0.007115
50,-0.000246,0.003771,0.133146,5.815874,1.679217,26.368757,9.790730,0.000115,32.560169,12.807570,0.001265
