epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.004515,0.864616,1.760730,4.454140,0.193156,32.394524,6.546740,6.546740,32.119217,3.310539,3.310539
2,-0.061429,0.035485,0.247785,5.588812,0.284383,32.160488,6.725967,1.642578,32.239330,4.644125,2.677423
3,0.009764,0.002485,0.222368,6.034658,0.371690,31.900673,6.733479,0.644519,32.373940,5.747841,2.600757
4,0.013613,0.021503,0.207943,6.272125,0.453276,31.652077,6.776545,0.632209,32.448254,6.534078,2.201285
5,0.086446,0.004278,0.181458,6.259630,0.527728,31.427633,6.834203,0.521890,32.471912,7.020359,1.669663
6,-0.005165,0.009159,0.184238,6.172416,0.593723,31.238218,6.910351,0.745223,32.479954,7.362789,1.399737
7,-0.046554,0.004779,0.173757,6.109553,0.650388,31.069441,6.948479,0.338196,32.481285,7.614420,1.182984
8,0.024425,0.005528,0.197727,6.068861,0.697297,30.934980,7.008477,0.521253,32.470867,7.789440,1.011119
9,-0.000547,0.008435,0.131727,6.027877,0.734469,30.825994,7.053097,0.357754,32.458057,7.901415,0.788582
10,-0.020336,0.010950,0.139081,6.000091,0.762312,30.759617,7.197829,0.999435,32.447502,7.985108,0.633301
11,-0.004523,0.013308,0.136961,6.026101,0.781683,30.705610,7.256393,0.513897,32.438122,8.029071,0.447618
12,0.011607,0.014898,0.143286,6.006304,0.793791,30.674383,7.290747,0.474217,32.431015,8.053804,0.291096
13,-0.011290,0.069816,0.129510,6.044614,0.800151,30.657705,7.321294,0.469591,32.426720,8.066065,0.167705
14,-0.015371,0.028407,0.130592,6.043318,0.802536,30.647507,7.325672,0.110117,32.424709,8.069726,0.069607
15,0.009355,0.064832,0.124250,6.049492,0.802882,30.645727,7.327188,0.031279,32.424450,8.070389,0.015092
