Category,precision,recall,f1-score,support
Community,42.74 ± 13.44,47.01 ± 15.71,44.69 ± 14.48,2760.00 ± 1397.50
Entertainment,40.86 ± 11.96,49.53 ± 11.78,44.50 ± 11.64,4160.00 ± 1502.66
Food,14.24 ± 23.66,18.00 ± 24.90,14.23 ± 20.87,420.00 ± 605.81
Nightlife,28.05 ± 12.95,36.26 ± 16.79,30.93 ± 14.00,1540.00 ± 1293.45
Outdoors,24.86 ± 22.44,30.22 ± 23.22,26.24 ± 21.25,700.00 ± 353.55
Shopping,33.86 ± 23.74,34.88 ± 28.49,33.76 ± 26.32,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,2.50 ± 5.59,4.00 ± 8.94,3.08 ± 6.88,280.00 ± 130.38
Unknown-8,55.45 ± 5.76,55.40 ± 11.92,54.80 ± 7.35,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,7.83 ± 11.84,36.00 ± 49.80,12.44 ± 18.16,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,23.57 ± 23.36,35.91 ± 42.29,27.93 ± 29.46,400.00 ± 418.33
Unknown-13,15.28 ± 14.80,20.00 ± 20.92,16.47 ± 15.41,340.00 ± 194.94
Unknown-14,17.52 ± 6.98,29.00 ± 19.42,19.52 ± 5.94,640.00 ± 270.19
Unknown-15,37.15 ± 4.21,44.93 ± 5.70,40.64 ± 4.72,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,41.67 ± 50.00,20.00 ± 23.09,26.79 ± 31.07,275.00 ± 263.00
Unknown-18,55.61 ± 8.79,54.02 ± 5.09,54.75 ± 6.87,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,61.61 ± 8.61,76.42 ± 7.77,67.95 ± 7.11,2380.00 ± 742.97
Unknown-24,25.00 ± 50.00,15.62 ± 31.25,19.23 ± 38.46,325.00 ± 340.34
Unknown-25,49.27 ± 18.35,47.61 ± 16.79,48.29 ± 17.25,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,11.61 ± 23.21,21.67 ± 43.33,15.12 ± 30.23,400.00 ± 734.85
Unknown-28,89.94 ± 0.70,91.64 ± 0.40,90.78 ± 0.52,708180.00 ± 15898.80
Unknown-29,7.06 ± 15.78,17.14 ± 38.33,10.00 ± 22.36,320.00 ± 249.00
Unknown-30,35.78 ± 21.78,31.11 ± 25.72,31.43 ± 21.76,620.00 ± 327.11
Unknown-31,17.69 ± 20.77,33.33 ± 47.14,20.86 ± 24.47,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
Unknown-33,11.55 ± 12.08,32.00 ± 29.50,16.74 ± 16.75,400.00 ± 339.12
Unknown-37,55.88 ± 12.92,55.51 ± 8.03,55.53 ± 10.13,10660.00 ± 5767.41
Unknown-38,2.22 ± 4.97,10.00 ± 22.36,3.64 ± 8.13,140.00 ± 54.77
Unknown-39,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,150.00 ± 100.00
Unknown-40,39.55 ± 6.37,32.30 ± 9.40,34.85 ± 6.98,3680.00 ± 1331.16
Unknown-41,51.12 ± 16.13,48.42 ± 18.39,49.53 ± 17.30,9600.00 ± 3506.42
Unknown-42,67.57 ± 5.74,43.76 ± 3.29,52.94 ± 2.29,21420.00 ± 2610.94
Unknown-43,21.94 ± 5.49,19.16 ± 4.87,20.42 ± 5.10,3220.00 ± 1213.26
Unknown-44,60.54 ± 5.25,59.56 ± 6.37,60.02 ± 5.72,29920.00 ± 7232.36
Unknown-45,57.98 ± 6.42,38.34 ± 5.94,46.08 ± 6.00,18960.00 ± 1693.52
Unknown-46,22.50 ± 25.62,26.85 ± 27.53,21.51 ± 23.12,800.00 ± 1097.72
Unknown-47,58.61 ± 7.19,59.96 ± 10.16,59.07 ± 7.96,7380.00 ± 1706.46
Unknown-48,38.79 ± 9.51,40.20 ± 9.31,39.20 ± 8.91,9880.00 ± 2928.65
Unknown-49,62.51 ± 4.01,63.25 ± 3.26,62.86 ± 3.46,14200.00 ± 2100.00
Unknown-50,33.83 ± 33.30,32.00 ± 29.50,32.62 ± 30.83,1120.00 ± 901.11
Unknown-51,42.23 ± 15.19,54.20 ± 15.06,47.29 ± 15.34,1080.00 ± 432.43
Unknown-53,34.45 ± 6.63,33.44 ± 10.72,33.79 ± 8.81,3160.00 ± 973.65
Unknown-54,74.88 ± 1.96,79.73 ± 2.73,77.22 ± 2.13,58180.00 ± 5199.23
Unknown-55,45.84 ± 6.26,51.64 ± 7.36,48.09 ± 4.26,4340.00 ± 829.46
Unknown-56,37.74 ± 21.31,44.33 ± 36.81,38.83 ± 24.55,660.00 ± 826.44
Unknown-57,26.47 ± 12.93,31.25 ± 14.11,28.45 ± 13.01,3720.00 ± 1249.80
Unknown-58,55.96 ± 11.32,59.62 ± 11.86,57.72 ± 11.54,9620.00 ± 5100.20
Unknown-59,61.22 ± 1.86,62.17 ± 2.20,61.69 ± 1.98,99580.00 ± 4516.30
Unknown-60,47.21 ± 21.21,52.63 ± 20.33,49.59 ± 20.93,3520.00 ± 3139.59
Unknown-61,9.58 ± 9.03,11.22 ± 11.39,9.87 ± 9.26,620.00 ± 589.07
Unknown-62,42.56 ± 10.82,50.92 ± 10.72,45.54 ± 9.26,1900.00 ± 484.77
Unknown-63,39.73 ± 41.76,34.67 ± 40.93,36.78 ± 41.12,1080.00 ± 1925.36
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 757.19
Unknown-65,55.19 ± 6.16,58.98 ± 6.29,56.96 ± 5.91,11280.00 ± 5299.25
Unknown-66,37.10 ± 7.49,38.30 ± 8.46,37.54 ± 7.45,2740.00 ± 1021.27
Unknown-67,33.36 ± 11.70,36.96 ± 15.88,34.74 ± 12.67,2560.00 ± 450.56
Unknown-68,48.39 ± 14.09,50.98 ± 19.34,49.20 ± 15.56,5940.00 ± 2578.37
Unknown-69,42.32 ± 5.00,41.96 ± 4.10,42.08 ± 4.20,7380.00 ± 1840.38
Unknown-70,72.80 ± 14.69,72.45 ± 17.73,72.44 ± 15.99,2400.00 ± 1433.53
Unknown-71,44.35 ± 11.98,41.70 ± 10.77,42.63 ± 10.13,1260.00 ± 594.14
Unknown-72,26.62 ± 7.44,23.11 ± 6.38,23.93 ± 4.23,1240.00 ± 740.27
Unknown-73,45.92 ± 18.22,52.06 ± 11.30,47.87 ± 15.80,1480.00 ± 601.66
Unknown-74,52.25 ± 8.09,54.28 ± 7.64,53.24 ± 7.84,20120.00 ± 6003.08
Unknown-75,39.36 ± 15.57,34.29 ± 10.77,36.29 ± 12.30,1300.00 ± 200.00
Unknown-76,71.83 ± 8.00,76.10 ± 8.20,73.83 ± 7.64,9340.00 ± 1771.44
Unknown-77,23.58 ± 12.82,37.42 ± 12.82,27.58 ± 10.90,880.00 ± 630.08
Unknown-78,40.83 ± 10.48,45.85 ± 10.39,42.45 ± 7.65,2360.00 ± 482.70
Unknown-79,21.91 ± 6.17,24.75 ± 6.17,22.88 ± 5.23,1500.00 ± 648.07
Unknown-80,30.22 ± 23.76,37.33 ± 26.81,33.28 ± 25.28,440.00 ± 207.36
Unknown-81,14.41 ± 10.26,11.09 ± 4.71,11.92 ± 5.53,2640.00 ± 730.07
Unknown-82,38.57 ± 41.53,16.50 ± 20.59,19.39 ± 19.75,560.00 ± 181.66
Unknown-83,50.51 ± 10.29,68.29 ± 13.33,57.88 ± 11.31,1220.00 ± 593.30
Unknown-84,43.75 ± 20.61,54.28 ± 8.29,47.23 ± 14.84,820.00 ± 303.32
Unknown-85,51.04 ± 6.02,53.18 ± 6.77,51.98 ± 5.83,10120.00 ± 4232.26
Unknown-86,69.82 ± 4.88,73.85 ± 8.57,71.72 ± 6.46,9140.00 ± 4386.68
Unknown-87,21.67 ± 14.26,23.76 ± 8.09,21.93 ± 11.14,2200.00 ± 1518.22
Unknown-89,30.57 ± 15.71,24.26 ± 13.99,26.36 ± 13.76,2780.00 ± 576.19
Unknown-90,28.33 ± 20.07,30.73 ± 29.47,24.19 ± 19.09,820.00 ± 164.32
Unknown-91,20.15 ± 18.81,36.81 ± 35.02,26.03 ± 24.44,720.00 ± 334.66
Unknown-92,61.72 ± 10.70,74.90 ± 12.63,67.21 ± 10.35,1120.00 ± 192.35
Unknown-94,54.75 ± 19.51,56.06 ± 20.94,54.93 ± 20.08,2540.00 ± 1301.15
Unknown-95,28.14 ± 19.02,28.61 ± 19.11,28.04 ± 18.73,2180.00 ± 785.49
Unknown-96,59.33 ± 6.50,59.35 ± 4.92,59.29 ± 5.43,14320.00 ± 3917.52
Unknown-97,19.15 ± 11.51,18.37 ± 8.56,17.68 ± 9.75,1220.00 ± 506.95
Unknown-98,31.67 ± 21.92,27.71 ± 21.37,29.38 ± 21.43,420.00 ± 216.79
