epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.006983,0.845751,1.026726,4.409550,0.193417,32.442528,6.820454,6.820454,32.108131,3.116898,3.116898
2,-0.007107,0.113728,0.365186,5.497490,0.286139,32.761147,9.130612,5.744930,32.187023,4.493241,2.657734
3,-0.183236,0.004618,0.261097,5.787119,0.379382,32.504143,9.231315,0.622569,32.290112,5.566742,2.456641
4,0.020388,0.007299,0.219736,6.049738,0.472253,32.203712,9.183999,0.392737,32.388607,6.516865,2.302460
5,0.017312,0.019643,0.131203,6.070126,0.564349,31.909132,9.144940,0.347439,32.445873,7.243248,2.081879
6,0.008673,0.019877,0.145446,5.887529,0.655487,31.619431,9.116401,0.343640,32.484020,7.787138,1.840379
7,0.009696,0.024705,0.187889,5.777510,0.745421,31.340734,9.115040,0.560436,32.528374,8.306657,1.911091
8,-0.001717,0.004528,0.139755,5.619577,0.834045,31.061819,9.100682,0.288748,32.566616,8.725850,1.709680
9,-0.009655,0.003297,0.153629,5.408757,0.921134,30.791887,9.094612,0.294177,32.601654,9.085779,1.773054
10,-0.007130,0.020996,0.163433,5.234757,1.006472,30.530823,9.103372,0.359128,32.637337,9.489655,1.757391
11,-0.001899,0.072409,0.149596,5.105172,1.089904,30.282705,9.119020,0.534459,32.650848,9.745229,2.007397
12,0.018032,0.021430,0.232414,4.936283,1.171225,30.049570,9.206606,1.178796,32.688385,10.119574,1.913784
13,0.010448,0.042325,0.161345,4.885779,1.250160,29.844488,9.351564,1.330005,32.698032,10.385259,1.590775
14,0.013981,0.014582,0.172986,4.803678,1.326094,29.664505,9.538669,1.738696,32.705975,10.625728,1.441144
15,0.008759,0.016345,0.137834,4.775714,1.394596,29.471203,9.660584,1.185173,32.715748,10.850605,1.406898
16,0.001701,0.040257,0.129937,4.741785,1.448495,29.288555,9.805838,1.349759,32.722233,11.062334,1.340680
17,-0.004710,0.008048,0.134376,4.754483,1.488032,29.197300,10.184949,2.483085,32.721397,11.242904,1.291676
18,-0.018448,0.029366,0.145165,4.758579,1.520347,29.064075,10.407550,1.226963,32.728424,11.433026,1.257040
19,-0.000248,0.024105,0.119877,4.775185,1.546042,28.898226,10.508924,1.263008,32.733780,11.605752,1.221346
20,0.029918,0.017842,0.129367,4.806326,1.564288,28.720926,10.561634,0.876848,32.729343,11.755881,1.141782
21,0.007416,0.007297,0.208117,4.845852,1.582896,28.551643,10.595490,0.295768,32.722656,11.889310,1.118449
