epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.003048,0.864930,1.724351,4.397562,0.193183,32.390209,6.561636,6.561636,32.113857,3.138456,3.138456
2,-0.069183,0.044645,0.432823,5.394817,0.284418,32.110386,6.554635,0.841667,32.236320,4.502021,2.632245
3,-0.015218,0.001933,0.168024,5.855941,0.371709,31.835819,6.565353,0.625368,32.351955,5.585678,2.515354
4,-0.002904,0.011651,0.196778,6.149553,0.453295,31.586763,6.610178,0.558795,32.417549,6.368504,2.116278
5,0.060477,0.003512,0.163182,6.207265,0.527745,31.365017,6.684965,0.666759,32.440083,6.894343,1.733998
6,-0.003699,0.006082,0.194626,6.117021,0.593735,31.220062,6.884160,1.359000,32.451038,7.254626,1.394725
7,0.001702,0.004859,0.163051,6.049469,0.650395,31.100906,7.056175,0.948397,32.455963,7.514435,1.170005
8,0.001784,0.008802,0.206644,6.027717,0.697296,30.957462,7.069924,0.437127,32.450005,7.700306,0.999784
9,0.002778,0.009315,0.144006,5.977381,0.734463,30.843365,7.086506,0.274073,32.440399,7.814694,0.764110
10,-0.001461,0.013840,0.130492,5.963236,0.762305,30.761654,7.112908,0.323271,32.432018,7.902297,0.624187
11,0.015932,0.019128,0.129376,5.985752,0.781392,30.728956,7.160734,0.880129,32.424141,7.952372,0.434303
12,-0.015553,0.005741,0.132664,5.991425,0.793498,30.691200,7.163917,0.043414,32.416832,7.980052,0.286424
13,-0.002205,0.007578,0.118272,6.002474,0.799869,30.671337,7.164889,0.021374,32.412567,7.992467,0.162640
14,0.000237,0.010226,0.113969,6.013672,0.802258,30.663933,7.165278,0.008222,32.410858,7.996352,0.071093
15,0.000423,0.007003,0.117469,6.027558,0.802604,30.662840,7.165351,0.001277,32.410549,7.996856,0.015374
