Category,precision,recall,f1-score,support
Community,0.4545,0.5000,0.4762,20.0000
Entertainment,0.3478,0.4848,0.4051,33.0000
Food,0.1667,0.5000,0.2500,2.0000
Nightlife,0.1429,0.1000,0.1176,10.0000
Outdoors,0.3000,0.5000,0.3750,6.0000
Shopping,0.4000,0.5000,0.4444,4.0000
Travel,0.0000,0.0000,0.0000,3.0000
None,0.0000,0.0000,0.0000,2.0000
Unknown-8,0.4615,0.6000,0.5217,10.0000
Unknown-9,0.0000,0.0000,0.0000,6.0000
Unknown-10,0.2667,0.8000,0.4000,5.0000
Unknown-11,0.2000,0.2000,0.2000,5.0000
Unknown-12,0.0000,0.0000,0.0000,3.0000
Unknown-13,0.0000,0.0000,0.0000,2.0000
Unknown-14,0.2857,0.2500,0.2667,8.0000
Unknown-15,0.4179,0.5185,0.4628,54.0000
Unknown-16,0.3667,0.4074,0.3860,27.0000
Unknown-17,0.6667,0.4000,0.5000,5.0000
Unknown-18,0.5412,0.5287,0.5349,87.0000
Unknown-20,0.0000,0.0000,0.0000,3.0000
Unknown-21,0.0000,0.0000,0.0000,7.0000
Unknown-22,0.5217,0.7500,0.6154,16.0000
Unknown-23,0.0000,0.0000,0.0000,3.0000
Unknown-24,1.0000,0.6250,0.7692,8.0000
Unknown-25,0.5875,0.6438,0.6144,73.0000
Unknown-26,0.5000,0.4000,0.4444,5.0000
Unknown-27,0.4643,0.8667,0.6047,15.0000
Unknown-28,0.8971,0.9177,0.9073,7087.0000
Unknown-29,0.0000,0.0000,0.0000,1.0000
Unknown-30,0.5000,0.2000,0.2857,5.0000
Unknown-31,0.4000,0.3333,0.3636,6.0000
Unknown-32,0.2051,0.2424,0.2222,33.0000
Unknown-33,0.1250,0.5000,0.2000,2.0000
Unknown-34,0.0000,0.0000,0.0000,0.0000
Unknown-35,0.0000,0.0000,0.0000,1.0000
Unknown-36,0.0000,0.0000,0.0000,1.0000
Unknown-37,0.4648,0.4925,0.4783,67.0000
Unknown-38,0.0000,0.0000,0.0000,2.0000
Unknown-40,0.3125,0.3333,0.3226,30.0000
Unknown-41,0.4457,0.4767,0.4607,86.0000
Unknown-42,0.7619,0.4364,0.5549,220.0000
Unknown-43,0.2000,0.1500,0.1714,20.0000
Unknown-44,0.6416,0.6373,0.6395,295.0000
Unknown-45,0.6211,0.3554,0.4521,166.0000
Unknown-46,0.0000,0.0000,0.0000,2.0000
Unknown-47,0.5392,0.6111,0.5729,90.0000
Unknown-48,0.3750,0.3000,0.3333,80.0000
Unknown-49,0.6000,0.6330,0.6161,109.0000
Unknown-50,0.0000,0.0000,0.0000,4.0000
Unknown-51,0.4545,0.5882,0.5128,17.0000
Unknown-52,0.3333,1.0000,0.5000,1.0000
Unknown-53,0.2667,0.1905,0.2222,21.0000
Unknown-54,0.7314,0.7958,0.7622,568.0000
Unknown-55,0.5079,0.5926,0.5470,54.0000
Unknown-56,0.4583,0.5500,0.5000,20.0000
Unknown-57,0.2542,0.3571,0.2970,42.0000
Unknown-58,0.5325,0.5694,0.5503,72.0000
Unknown-59,0.6014,0.6092,0.6053,998.0000
Unknown-60,0.4516,0.5185,0.4828,27.0000
Unknown-61,0.1667,0.1111,0.1333,9.0000
Unknown-62,0.3684,0.5833,0.4516,12.0000
Unknown-63,1.0000,1.0000,1.0000,2.0000
Unknown-64,0.0000,0.0000,0.0000,2.0000
Unknown-65,0.6198,0.6881,0.6522,109.0000
Unknown-66,0.2692,0.3043,0.2857,23.0000
Unknown-67,0.4222,0.6129,0.5000,31.0000
Unknown-68,0.5467,0.4767,0.5093,86.0000
Unknown-69,0.4125,0.4286,0.4204,77.0000
Unknown-70,0.6667,0.7826,0.7200,46.0000
Unknown-71,0.2500,0.2500,0.2500,8.0000
Unknown-72,0.3846,0.2083,0.2703,24.0000
Unknown-73,0.6500,0.6190,0.6341,21.0000
Unknown-74,0.4476,0.4885,0.4672,131.0000
Unknown-75,0.3636,0.3333,0.3478,12.0000
Unknown-76,0.6444,0.7436,0.6905,78.0000
Unknown-77,0.2105,0.4444,0.2857,9.0000
Unknown-78,0.3929,0.5500,0.4583,20.0000
Unknown-79,0.2500,0.2000,0.2222,5.0000
Unknown-80,0.1111,0.2000,0.1429,5.0000
Unknown-81,0.1053,0.1000,0.1026,20.0000
Unknown-82,1.0000,0.1250,0.2222,8.0000
Unknown-83,0.4615,0.6667,0.5455,18.0000
Unknown-84,0.7273,0.6154,0.6667,13.0000
Unknown-85,0.5593,0.5657,0.5625,175.0000
Unknown-86,0.6621,0.6275,0.6443,153.0000
Unknown-87,0.3590,0.3256,0.3415,43.0000
Unknown-88,1.0000,1.0000,1.0000,1.0000
Unknown-89,0.4500,0.4737,0.4615,19.0000
Unknown-90,0.0000,0.0000,0.0000,9.0000
Unknown-91,0.3077,0.5714,0.4000,7.0000
Unknown-92,0.6364,0.5833,0.6087,12.0000
Unknown-94,0.6471,0.5789,0.6111,19.0000
Unknown-95,0.0000,0.0000,0.0000,12.0000
Unknown-96,0.4860,0.5149,0.5000,101.0000
Unknown-97,0.1429,0.2222,0.1739,9.0000
Unknown-98,0.0000,0.0000,0.0000,1.0000
Unknown-100,0.1600,0.1481,0.1538,27.0000
Unknown-101,0.3636,0.3333,0.3478,12.0000
Unknown-102,0.4138,0.4286,0.4211,28.0000
Unknown-103,0.1538,0.2500,0.1905,8.0000
Unknown-104,0.0000,0.0000,0.0000,4.0000
Unknown-105,0.1515,0.1316,0.1408,38.0000
Unknown-106,0.2667,0.3077,0.2857,13.0000
Unknown-107,0.2143,0.1765,0.1935,17.0000
Unknown-108,0.3333,0.2857,0.3077,14.0000
Unknown-109,0.0000,0.0000,0.0000,20.0000
Unknown-110,0.3043,0.3500,0.3256,40.0000
Unknown-111,0.4242,0.4242,0.4242,66.0000
Unknown-112,0.4737,0.4286,0.4500,21.0000
Unknown-113,0.0000,0.0000,0.0000,4.0000
Unknown-114,0.2500,0.4286,0.3158,7.0000
Unknown-115,0.0714,0.0909,0.0800,11.0000
Unknown-116,0.0000,0.0000,0.0000,2.0000
Unknown-117,0.5455,0.5737,0.5592,251.0000
Unknown-118,0.0000,0.0000,0.0000,6.0000
Unknown-119,0.3267,0.3667,0.3455,90.0000
Unknown-120,0.7757,0.4649,0.5814,699.0000
Unknown-121,0.1667,0.3333,0.2222,3.0000
Unknown-122,0.1111,0.2000,0.1429,5.0000
Unknown-123,0.5556,0.4918,0.5217,122.0000
