epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.030147,0.814688,0.982748,4.582798,0.193447,32.363102,6.596112,6.596112,32.105923,3.129922,3.129922
2,0.004513,0.145954,0.202190,5.646168,0.286504,32.401695,7.721365,3.650541,32.187168,4.506124,2.725863
3,0.101564,0.004783,0.211020,6.057410,0.379141,32.761505,9.813523,3.709446,32.307400,5.569532,2.455346
4,-0.012953,0.002992,0.170770,6.222387,0.471983,32.459068,9.753941,0.326930,32.406429,6.481349,2.265861
5,-0.029521,0.000810,0.153084,6.045098,0.564159,32.159386,9.701050,0.302886,32.528397,7.429101,2.826764
6,0.026577,0.000727,0.210459,5.926016,0.655395,31.863955,9.658520,0.304573,32.646751,8.036554,2.123515
7,-0.029817,0.001285,0.331365,5.747325,0.745470,31.574677,9.625648,0.336786,32.683762,8.426614,1.689102
8,0.026986,0.002329,0.178351,5.596314,0.834162,31.352228,9.724344,1.369439,32.711956,8.782869,1.615418
9,0.019173,0.006931,0.153888,5.453543,0.921288,31.089952,9.728431,0.736862,32.734749,9.117565,1.609634
10,-0.075029,0.015435,0.181102,5.234882,1.006680,30.903723,9.934032,2.144194,32.743999,9.429523,1.546062
11,-0.005468,0.019196,0.189049,5.108148,1.090142,30.650908,9.964570,0.953490,32.744583,9.698345,1.460386
12,-0.019596,0.010865,0.151570,4.950552,1.171467,30.403040,9.983171,0.597979,32.753792,9.966526,1.486221
13,0.042953,0.005376,0.148643,4.869135,1.250403,30.160156,9.995796,0.358119,32.755535,10.195928,1.384189
14,0.008195,0.006094,0.156734,4.804238,1.326137,29.928183,10.025444,0.591055,32.754520,10.417293,1.428714
15,0.026549,0.020047,0.222439,4.759088,1.394351,29.727655,10.134177,1.617768,32.757679,10.639903,1.370815
16,-0.003094,0.006564,0.119156,4.760169,1.449763,29.516865,10.173074,0.681586,32.748997,10.818024,1.279050
17,-0.031570,0.007115,0.124747,4.748574,1.490592,29.467220,10.724968,3.203747,32.750072,11.009666,1.323734
18,0.041021,0.008349,0.183972,4.751082,1.521188,29.616505,11.716751,3.910733,32.753399,11.187136,1.284116
19,-0.001879,0.026708,0.124347,4.753814,1.545848,29.692322,12.429914,3.097061,32.748543,11.341117,1.200718
20,0.017008,0.016166,0.150113,4.826413,1.566577,29.504505,12.434001,0.315571,32.743248,11.487836,1.173160
21,0.016552,0.006710,0.141650,4.849588,1.582769,29.325539,12.433929,0.217814,32.733795,11.622247,1.129445
22,0.039456,0.003819,0.144924,4.874683,1.595056,29.158195,12.436583,0.379271,32.723557,11.747397,1.070549
23,0.001436,0.003972,0.142371,4.915530,1.605394,29.006338,12.458083,0.581047,32.717556,11.858907,1.043544
24,-0.017186,0.002254,0.122642,4.927942,1.616418,28.853811,12.461118,0.228762,32.708183,11.964067,0.983897
25,0.005580,0.003846,0.130718,5.003700,1.626914,28.711960,12.467900,0.285649,32.694508,12.050107,0.910004
26,0.009047,0.002952,0.113922,5.011112,1.634663,28.579237,12.475515,0.167683,32.682739,12.130488,0.863453
27,-0.004041,0.001756,0.130487,5.064561,1.640316,28.459200,12.488954,0.299937,32.669113,12.204189,0.818516
28,-0.001265,0.001687,0.133325,5.123938,1.646381,28.344006,12.497561,0.282898,32.656788,12.270340,0.763185
29,0.003376,0.005369,0.117464,5.147105,1.649293,28.239140,12.507016,0.120722,32.645138,12.326119,0.739474
30,-0.003659,0.017441,0.113383,5.151101,1.652376,28.142323,12.516487,0.156301,32.631710,12.373094,0.671170
31,-0.012438,0.004301,0.132162,5.221429,1.655501,28.053844,12.526681,0.107062,32.617756,12.413599,0.625631
32,0.005436,0.004795,0.114781,5.284968,1.658744,27.973486,12.536947,0.144536,32.605724,12.451793,0.586865
33,0.003579,0.006137,0.119381,5.324728,1.660764,27.896420,12.541739,0.326411,32.592251,12.486199,0.530293
