epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,head_beta,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.015142,0.044181,0.821561,4.289568,0.500000,0.500000,0.000000,0.100787,32.020050,0.215193,0.215193,32.050491,0.104439,0.104439
2,-0.012873,0.018289,0.203958,4.230721,0.500000,0.500000,0.000000,0.102606,32.016514,0.384343,0.211217,32.049633,0.203323,0.109096
3,-0.025430,0.015476,0.145255,4.062098,0.500000,0.500000,0.000000,0.105716,32.014626,0.596548,0.268052,32.048565,0.313520,0.128533
4,0.006825,0.016715,0.119958,3.805685,0.500000,0.500000,0.000000,0.110994,32.012436,0.828863,0.340289,32.047119,0.434551,0.148068
5,-0.017598,0.022758,0.102900,3.479052,0.500000,0.500000,0.000000,0.119251,32.014206,1.143108,0.488470,32.045223,0.557295,0.160732
6,0.021445,0.095580,0.105898,3.141115,0.500000,0.500000,0.000000,0.129793,32.022610,1.579679,0.721470,32.042480,0.675734,0.168347
7,-0.009819,0.115354,0.136294,2.822214,0.500000,0.500000,0.000000,0.140331,32.045216,2.133782,0.922835,32.039192,0.789554,0.178885
8,0.005698,0.206978,0.108923,2.568774,0.500000,0.500000,0.000000,0.147723,32.080963,2.724330,1.075833,32.035282,0.905148,0.202592
9,0.017793,0.168896,0.078545,2.381379,0.500000,0.500000,0.000000,0.151672,32.134121,3.382183,1.212182,32.031071,1.026447,0.235373
10,-0.007809,0.115362,0.095676,2.245685,0.500000,0.500000,0.000000,0.153777,32.195213,4.018940,1.247366,32.026707,1.162884,0.268947
11,0.021981,0.141627,0.182574,2.145527,0.500000,0.500000,0.000000,0.155662,32.260746,4.614757,1.273930,32.023010,1.314093,0.310375
12,0.009044,0.106156,0.073137,2.089377,0.500000,0.500000,0.000000,0.158399,32.325798,5.156318,1.305181,32.018883,1.469184,0.322038
13,-0.004288,0.147689,0.060561,2.051814,0.500000,0.500000,0.000000,0.160657,32.397736,5.701009,1.395622,32.014408,1.620061,0.359762
14,0.015054,0.142317,0.065520,2.017717,0.500000,0.500000,0.000000,0.162564,32.487171,6.261331,1.451543,32.011024,1.779536,0.389045
15,-0.017789,0.099021,0.079470,1.993168,0.500000,0.500000,0.000000,0.165039,32.573040,6.791980,1.475166,32.008629,1.940501,0.395424
16,-0.000807,0.143510,0.062239,1.971257,0.500000,0.500000,0.000000,0.167259,32.658718,7.270397,1.479332,32.005207,2.088187,0.398414
17,-0.015231,0.127137,0.061835,1.954686,0.500000,0.500000,0.000000,0.169397,32.743813,7.733521,1.484288,32.002262,2.226361,0.414392
