epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,head_beta,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.024191,0.038253,2.081574,4.380883,0.500000,0.500000,0.000000,0.102108,32.034378,0.316347,0.316347,32.025654,0.175586,0.175586
2,-0.009707,0.011239,0.135473,4.375346,0.500000,0.500000,0.000000,0.106187,32.030415,0.513477,0.282908,32.024609,0.334581,0.185721
3,0.035657,0.012428,0.115021,4.123582,0.500000,0.500000,0.000000,0.113637,32.023403,0.782999,0.400204,32.022652,0.483532,0.190085
4,-0.031018,0.016328,0.115756,3.793136,0.500000,0.500000,0.000000,0.122945,32.023865,1.180919,0.643778,32.018986,0.619161,0.187028
5,0.000371,0.094681,0.087487,3.494668,0.500000,0.500000,0.000000,0.131797,32.045685,1.830616,1.075044,32.013580,0.746283,0.196386
6,-0.004165,0.119674,0.096483,3.171792,0.500000,0.500000,0.000000,0.140944,32.107136,2.733696,1.451465,32.006180,0.878729,0.224400
7,-0.001315,0.138239,0.087518,2.893692,0.500000,0.500000,0.000000,0.149405,32.194004,3.701373,1.647424,31.996641,1.029613,0.270871
8,-0.003859,0.134853,0.082170,2.703108,0.500000,0.500000,0.000000,0.154733,32.306488,4.657712,1.784475,31.986073,1.201242,0.321509
9,-0.000163,0.182185,0.083060,2.590289,0.500000,0.500000,0.000000,0.158156,32.433929,5.585930,1.898107,31.975876,1.388877,0.378032
10,-0.002812,0.163620,0.058753,2.518631,0.500000,0.500000,0.000000,0.160748,32.580002,6.484797,1.996047,31.964945,1.602570,0.433975
11,0.006893,0.154839,0.074509,2.474425,0.500000,0.500000,0.000000,0.164018,32.728249,7.313929,2.050784,31.953022,1.809161,0.467912
12,-0.006646,0.134251,0.051684,2.444574,0.500000,0.500000,0.000000,0.168907,32.888573,8.123177,2.160016,31.940443,2.020972,0.515957
13,-0.000714,0.133521,0.052727,2.407736,0.500000,0.500000,0.000000,0.172092,33.053669,8.898999,2.241266,31.928368,2.241060,0.556112
14,0.005305,0.131862,0.055546,2.390653,0.500000,0.500000,0.000000,0.176968,33.220943,9.634187,2.310231,31.914978,2.448477,0.569194
15,0.005493,0.129196,0.044271,2.371616,0.500000,0.500000,0.000000,0.179367,33.381554,10.313295,2.340252,31.903355,2.639220,0.583404
16,0.000593,0.124656,0.057083,2.352184,0.500000,0.500000,0.000000,0.183888,33.534668,10.940825,2.304901,31.891438,2.816100,0.590933
17,0.001738,0.114228,0.042394,2.338318,0.500000,0.500000,0.000000,0.187626,33.682938,11.516775,2.289416,31.879004,2.990418,0.599958
18,-0.006002,0.125956,0.052008,2.326694,0.500000,0.500000,0.000000,0.190864,33.823868,12.047034,2.282668,31.866016,3.156139,0.601158
19,0.006017,0.123080,0.045293,2.314458,0.500000,0.500000,0.000000,0.194303,33.960747,12.546600,2.251253,31.854729,3.321107,0.601734
20,0.004929,0.166749,0.049108,2.300184,0.500000,0.500000,0.000000,0.197159,34.097469,13.021958,2.231501,31.842911,3.468311,0.611051
21,0.000987,0.142224,0.044266,2.288684,0.500000,0.500000,0.000000,0.200032,34.217815,13.472761,2.206989,31.833492,3.618576,0.615274
22,-0.001359,0.133270,0.044245,2.279258,0.500000,0.500000,0.000000,0.202642,34.335857,13.887985,2.178391,31.823570,3.760679,0.608468
23,0.005760,0.145429,0.041938,2.270387,0.500000,0.500000,0.000000,0.205592,34.449039,14.264647,2.138251,31.812723,3.890312,0.619817
24,0.003486,0.128529,0.046586,2.261591,0.500000,0.500000,0.000000,0.209094,34.554527,14.625379,2.089327,31.803146,4.016195,0.609234
25,0.005551,0.136979,0.046266,2.250736,0.500000,0.500000,0.000000,0.212109,34.649490,14.949933,2.038260,31.795166,4.144196,0.588277
26,0.007292,0.135717,0.049251,2.244806,0.500000,0.500000,0.000000,0.215640,34.736389,15.246751,1.942898,31.785143,4.265179,0.598746
27,0.006572,0.156191,0.051388,2.235068,0.500000,0.500000,0.000000,0.218211,34.820030,15.524279,1.908443,31.776716,4.381865,0.588050
28,-0.001234,0.150592,0.049348,2.229919,0.500000,0.500000,0.000000,0.220944,34.890606,15.774024,1.829825,31.768606,4.488467,0.566169
29,0.002649,0.149606,0.051793,2.224114,0.500000,0.500000,0.000000,0.223380,34.955830,16.002331,1.753308,31.761536,4.592726,0.555152
30,0.006078,0.154829,0.051639,2.216840,0.500000,0.500000,0.000000,0.226540,35.013893,16.211525,1.642926,31.753080,4.685840,0.529325
31,0.001849,0.163201,0.049984,2.210988,0.500000,0.500000,0.000000,0.229558,35.061249,16.391026,1.553311,31.745909,4.773118,0.501624
32,-0.001273,0.158486,0.052870,2.203510,0.500000,0.500000,0.000000,0.231967,35.101929,16.548626,1.462784,31.740881,4.861346,0.493001
33,0.002256,0.151204,0.059987,2.200484,0.500000,0.500000,0.000000,0.235099,35.136993,16.685961,1.350405,31.734320,4.938148,0.468384
34,-0.000331,0.166746,0.060884,2.194737,0.500000,0.500000,0.000000,0.238095,35.162617,16.809996,1.264936,31.727287,5.008449,0.432552
35,0.000808,0.167696,0.058518,2.187512,0.500000,0.500000,0.000000,0.240703,35.180965,16.917429,1.147360,31.721773,5.069978,0.398513
36,0.000368,0.174704,0.065495,2.184441,0.500000,0.500000,0.000000,0.243125,35.196224,17.007298,1.039764,31.715637,5.129802,0.360119
37,0.000486,0.176795,0.064468,2.177833,0.500000,0.500000,0.000000,0.244853,35.205215,17.077433,0.933161,31.710855,5.179605,0.328162
38,-0.002529,0.183707,0.070370,2.172200,0.500000,0.500000,0.000000,0.246733,35.209270,17.135286,0.816433,31.705572,5.222963,0.292068
39,0.001980,0.180414,0.068043,2.172643,0.500000,0.500000,0.000000,0.248335,35.210854,17.182201,0.708859,31.701006,5.260567,0.259221
40,-0.008872,0.184986,0.073588,2.170279,0.500000,0.500000,0.000000,0.249691,35.208931,17.218822,0.599654,31.696259,5.292197,0.220734
41,-0.005000,0.187880,0.074911,2.167770,0.500000,0.500000,0.000000,0.251154,35.205715,17.244566,0.500740,31.692129,5.316018,0.185572
42,0.000627,0.189715,0.078323,2.159585,0.500000,0.500000,0.000000,0.252053,35.201763,17.262486,0.409972,31.688818,5.336265,0.148725
43,0.002443,0.183415,0.075876,2.160084,0.500000,0.500000,0.000000,0.253115,35.197659,17.276375,0.319786,31.685902,5.351226,0.116463
44,0.004004,0.188824,0.077172,2.160633,0.500000,0.500000,0.000000,0.254075,35.194138,17.285378,0.244069,31.683235,5.362086,0.091199
45,-0.002787,0.200398,0.080782,2.159091,0.500000,0.500000,0.000000,0.254543,35.190380,17.290796,0.179305,31.681232,5.370014,0.066110
46,0.003320,0.197239,0.084142,2.156614,0.500000,0.500000,0.000000,0.254978,35.187771,17.294367,0.120611,31.679916,5.375248,0.043816
47,-0.005769,0.195184,0.081636,2.158328,0.500000,0.500000,0.000000,0.255251,35.186039,17.296091,0.074353,31.679106,5.378188,0.027642
48,0.005264,0.197898,0.081278,2.153866,0.500000,0.500000,0.000000,0.255400,35.185070,17.296936,0.038451,31.678699,5.379617,0.014189
49,-0.002849,0.193349,0.081175,2.156422,0.500000,0.500000,0.000000,0.255458,35.184700,17.297201,0.014257,31.678547,5.380172,0.005158
50,-0.004976,0.193317,0.081051,2.156218,0.500000,0.500000,0.000000,0.255465,35.184639,17.297232,0.002034,31.678526,5.380249,0.000743
