epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,head_beta,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.020797,0.113229,2.239445,4.292065,0.500000,0.500000,0.000000,0.115648,32.029163,0.786462,0.786462,32.018734,0.738797,0.738797
2,-0.018602,0.051526,0.091338,3.495944,0.500000,0.500000,0.000000,0.123539,32.039127,1.619763,1.277054,31.999676,1.075526,0.529280
3,-0.031600,0.102284,0.105492,2.886389,0.500000,0.500000,0.000000,0.139895,32.107227,3.077152,2.262733,31.970095,1.512489,0.655571
4,0.011834,0.197928,0.051076,2.322096,0.500000,0.500000,0.000000,0.158897,32.240623,4.946588,3.074181,31.924622,2.066437,0.839673
5,0.000333,0.120024,0.059154,2.002575,0.500000,0.500000,0.000000,0.174456,32.407246,6.691437,3.145261,31.862169,2.661668,1.000699
6,0.003157,0.147164,0.038457,1.849717,0.500000,0.500000,0.000000,0.185517,32.606411,8.343245,3.175340,31.783367,3.280451,1.154638
7,-0.005759,0.143744,0.046309,1.774744,0.500000,0.500000,0.000000,0.194822,32.860203,9.987062,3.386903,31.685822,3.929617,1.331034
8,-0.010757,0.133656,0.040925,1.733470,0.500000,0.500000,0.000000,0.201156,33.164402,11.602771,3.651613,31.580790,4.599138,1.495191
9,0.005705,0.148495,0.034494,1.709634,0.500000,0.500000,0.000000,0.205804,33.545940,13.253753,3.979437,31.464144,5.311180,1.665715
10,-0.008367,0.129000,0.029637,1.692472,0.500000,0.500000,0.000000,0.208573,33.974506,14.881660,4.264461,31.344229,6.046404,1.859397
11,0.002428,0.131985,0.027378,1.680048,0.500000,0.500000,0.000000,0.209767,34.444363,16.470428,4.487518,31.223356,6.783293,1.987657
12,0.005120,0.125981,0.025161,1.670415,0.500000,0.500000,0.000000,0.209884,34.938057,18.005110,4.692045,31.107576,7.532876,2.116013
13,0.005334,0.110550,0.023882,1.662612,0.500000,0.500000,0.000000,0.211944,35.435112,19.452602,4.817145,31.002819,8.293127,2.241412
14,0.008021,0.107126,0.022005,1.654507,0.500000,0.500000,0.000000,0.211088,35.927277,20.826788,4.924708,30.911594,9.030505,2.328099
15,0.003963,0.108725,0.025181,1.648208,0.500000,0.500000,0.000000,0.211287,36.397343,22.091909,4.966388,30.831411,9.754849,2.423242
16,0.007893,0.119622,0.023994,1.641195,0.500000,0.500000,0.000000,0.211848,36.827896,23.221704,4.938109,30.776335,10.485574,2.505117
17,-0.004166,0.113335,0.025606,1.634851,0.500000,0.500000,0.000000,0.214034,37.228447,24.252592,4.907387,30.743324,11.215725,2.578021
18,-0.000212,0.109398,0.026161,1.631236,0.500000,0.500000,0.000000,0.217046,37.620232,25.245951,4.916577,30.732056,11.904159,2.653156
19,0.003481,0.107760,0.025843,1.627212,0.500000,0.500000,0.000000,0.217430,37.979183,26.150442,4.939337,30.763580,12.624946,2.781986
20,-0.000041,0.111890,0.028513,1.625521,0.500000,0.500000,0.000000,0.218797,38.322044,26.992830,4.908242,30.823397,13.329702,2.859754
21,-0.000076,0.108930,0.029117,1.624444,0.500000,0.500000,0.000000,0.219921,38.656433,27.798874,4.886420,30.919081,14.038072,2.918264
22,0.000923,0.116991,0.030764,1.623507,0.500000,0.500000,0.000000,0.222886,38.980480,28.555422,4.852080,31.053328,14.768996,3.024850
23,0.000196,0.111883,0.032346,1.624252,0.500000,0.500000,0.000000,0.225349,39.279537,29.265007,4.824595,31.221302,15.496496,3.117728
24,-0.005696,0.109367,0.034623,1.624595,0.500000,0.500000,0.000000,0.230890,39.564503,29.933638,4.739825,31.403130,16.213032,3.170557
25,-0.003130,0.116364,0.039871,1.626008,0.500000,0.500000,0.000000,0.230617,39.806934,30.531530,4.677065,31.608484,16.899326,3.209744
26,0.003220,0.113950,0.038572,1.629698,0.500000,0.500000,0.000000,0.233346,40.059696,31.113066,4.601658,31.830317,17.574299,3.234073
27,0.000496,0.119679,0.045696,1.632339,0.500000,0.500000,0.000000,0.234340,40.276733,31.626978,4.496592,32.047478,18.211914,3.202107
28,0.001451,0.124351,0.048298,1.635876,0.500000,0.500000,0.000000,0.237548,40.462498,32.080124,4.360624,32.265953,18.811243,3.167968
29,0.000647,0.118998,0.049516,1.639928,0.500000,0.500000,0.000000,0.236728,40.612740,32.478710,4.213256,32.478863,19.383518,3.113759
30,0.001865,0.125847,0.051436,1.646683,0.500000,0.500000,0.000000,0.242137,40.734138,32.826714,4.041127,32.670040,19.895559,3.038643
31,0.003347,0.129232,0.053436,1.652104,0.500000,0.500000,0.000000,0.245061,40.843803,33.143337,3.860212,32.838760,20.364643,2.882882
32,0.000319,0.127862,0.061620,1.658341,0.500000,0.500000,0.000000,0.248649,40.926041,33.416134,3.649013,32.974270,20.768764,2.739197
33,0.002729,0.130371,0.061449,1.665002,0.500000,0.500000,0.000000,0.249741,40.978870,33.642056,3.464288,33.092194,21.128304,2.575980
34,-0.002760,0.134714,0.065777,1.672800,0.500000,0.500000,0.000000,0.255102,41.012302,33.827141,3.228184,33.176697,21.424547,2.394453
35,-0.000896,0.139956,0.068700,1.680726,0.500000,0.500000,0.000000,0.255252,41.018719,33.969810,2.998413,33.234379,21.670128,2.218893
36,0.006087,0.139089,0.067680,1.688233,0.500000,0.500000,0.000000,0.259375,41.006054,34.073814,2.738795,33.273590,21.873400,2.002788
37,-0.000544,0.144796,0.072354,1.695421,0.500000,0.500000,0.000000,0.259635,40.974117,34.144203,2.478338,33.295948,22.037781,1.840663
38,-0.001775,0.149820,0.072006,1.702346,0.500000,0.500000,0.000000,0.261767,40.931744,34.194389,2.231469,33.297806,22.158682,1.630389
39,0.000185,0.152408,0.077490,1.709676,0.500000,0.500000,0.000000,0.265725,40.883251,34.224911,1.965506,33.289330,22.255962,1.417305
40,-0.001933,0.156391,0.076268,1.715429,0.500000,0.500000,0.000000,0.269263,40.827873,34.237133,1.703031,33.273586,22.326035,1.227495
41,0.001593,0.156754,0.079984,1.720457,0.500000,0.500000,0.000000,0.270455,40.771580,34.238049,1.456762,33.249111,22.374126,1.042923
42,0.003256,0.160872,0.080931,1.726731,0.500000,0.500000,0.000000,0.272935,40.717415,34.230709,1.202773,33.227077,22.406256,0.868554
43,-0.001148,0.161955,0.083740,1.730492,0.500000,0.500000,0.000000,0.274676,40.666721,34.216908,0.967071,33.204098,22.427010,0.692226
44,0.006034,0.171047,0.086671,1.732974,0.500000,0.500000,0.000000,0.275409,40.624939,34.200157,0.757034,33.182289,22.437014,0.538329
45,-0.002893,0.171021,0.094410,1.735430,0.500000,0.500000,0.000000,0.277561,40.591362,34.186108,0.554229,33.165291,22.443161,0.399056
46,0.000696,0.166600,0.084260,1.736751,0.500000,0.500000,0.000000,0.278698,40.567257,34.174778,0.385635,33.152187,22.446426,0.276648
47,0.000871,0.172058,0.083561,1.737230,0.500000,0.500000,0.000000,0.278904,40.551636,34.167259,0.243650,33.143890,22.447685,0.177693
48,0.001584,0.168482,0.086068,1.738972,0.500000,0.500000,0.000000,0.279028,40.543442,34.162952,0.131364,33.139107,22.447832,0.093706
