epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.021779,0.661424,1.244271,2.667815,0.250000,0.750000,0.113829,32.168701,3.313966,3.313966,32.042389,1.082440,1.082440
2,-0.010055,0.433150,0.428202,3.119214,0.250000,0.750000,0.128174,32.304321,4.756821,1.557925,32.057098,1.554563,0.534714
3,-0.097115,0.019100,0.069216,3.156012,0.250000,0.750000,0.143475,32.412956,5.667882,1.058792,32.069954,1.868600,0.388144
4,0.120559,0.009695,0.073043,3.099318,0.250000,0.750000,0.159024,32.489044,6.260219,0.761586,32.079189,2.088228,0.407732
5,-0.032526,0.007505,0.301074,3.093056,0.250000,0.750000,0.174341,32.517933,6.582523,0.547040,32.089619,2.279375,0.474142
6,0.110989,0.004588,0.160668,3.137614,0.250000,0.750000,0.190737,32.530170,6.801236,0.375121,32.098782,2.455650,0.472917
7,0.204822,0.006058,0.221003,3.164517,0.250000,0.750000,0.207707,32.530346,6.945033,0.267665,32.110165,2.633173,0.509570
8,-0.195295,0.007124,0.239968,3.207121,0.250000,0.750000,0.224929,32.523972,7.035092,0.207623,32.121967,2.829450,0.552193
9,-0.033344,0.005830,0.377602,3.203625,0.250000,0.750000,0.242010,32.513153,7.088024,0.191590,32.132851,3.006332,0.471767
10,0.019220,0.008284,0.126799,3.252039,0.250000,0.750000,0.259348,32.508896,7.110854,0.250003,32.144394,3.163000,0.415743
11,0.023406,0.031349,0.126515,3.268133,0.250000,0.750000,0.276804,32.526127,7.126300,0.397207,32.160820,3.308662,0.398760
12,0.034219,0.005214,0.325436,3.272356,0.250000,0.750000,0.293977,32.575203,7.152757,0.489481,32.186245,3.453739,0.420434
13,-0.105476,0.007337,0.220455,3.318307,0.250000,0.750000,0.310793,32.668480,7.204836,0.495831,32.221359,3.606873,0.450471
14,0.028370,0.006781,0.225123,3.394004,0.250000,0.750000,0.327517,32.800556,7.266157,0.494876,32.268929,3.773046,0.506517
15,-0.015521,0.005099,0.518986,3.413641,0.250000,0.750000,0.344012,32.963669,7.351049,0.568532,32.325146,3.942088,0.508950
16,0.024731,0.004537,0.468885,3.384277,0.250000,0.750000,0.359709,33.153629,7.488603,0.632332,32.385670,4.097666,0.476052
17,0.041556,0.005212,0.409211,3.437831,0.250000,0.750000,0.374306,33.355984,7.673428,0.670507,32.445282,4.234946,0.458790
18,-0.131932,0.007111,0.886574,3.446340,0.250000,0.750000,0.388604,33.566841,7.899297,0.702523,32.506222,4.370780,0.453142
19,-0.063411,0.005394,0.823517,3.410614,0.250000,0.750000,0.402768,33.768486,8.145331,0.729548,32.563831,4.505096,0.432448
20,0.054581,0.005015,0.650274,3.487773,0.250000,0.750000,0.417220,33.937584,8.385765,0.753745,32.612782,4.627165,0.415973
21,0.039555,0.008253,0.378894,3.495316,0.250000,0.750000,0.432327,34.059654,8.603999,0.813004,32.649830,4.736200,0.375280
22,0.042718,0.006190,0.500048,3.518561,0.250000,0.750000,0.447822,34.135593,8.778370,0.773714,32.675026,4.826771,0.346273
23,-0.038805,0.006382,0.413525,3.515861,0.250000,0.750000,0.463439,34.190372,8.942317,0.837516,32.692982,4.899593,0.340179
