Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 304.96
Entertainment,8.54 ± 13.91,8.33 ± 12.99,8.42 ± 13.42,2420.00 ± 258.84
Food,49.29 ± 11.88,31.14 ± 12.48,37.67 ± 12.19,3360.00 ± 602.49
Nightlife,34.65 ± 13.04,32.43 ± 14.95,32.43 ± 12.45,1780.00 ± 759.61
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,450.00 ± 519.62
Shopping,12.38 ± 17.04,10.15 ± 14.42,10.93 ± 15.05,520.00 ± 491.93
Travel,32.82 ± 17.17,35.10 ± 17.30,33.80 ± 16.99,4000.00 ± 2777.59
None,42.94 ± 13.18,53.20 ± 15.69,47.30 ± 13.82,1160.00 ± 328.63
Unknown-8,53.77 ± 20.75,57.18 ± 22.15,55.30 ± 21.16,1980.00 ± 1492.31
Unknown-9,32.05 ± 13.56,30.53 ± 15.48,30.99 ± 14.71,2280.00 ± 804.36
Unknown-10,24.93 ± 30.87,27.62 ± 30.33,25.58 ± 30.37,1900.00 ± 2796.43
Unknown-11,42.22 ± 13.77,45.10 ± 8.84,42.81 ± 9.80,5240.00 ± 1622.65
Unknown-12,5.16 ± 7.35,5.57 ± 8.35,5.33 ± 7.78,1160.00 ± 531.98
Unknown-13,41.26 ± 13.18,43.69 ± 11.21,41.89 ± 10.73,4720.00 ± 1920.16
Unknown-14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 228.04
Unknown-15,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,75.00 ± 50.00
Unknown-17,42.39 ± 16.66,46.89 ± 14.09,44.29 ± 15.37,4700.00 ± 3005.83
Unknown-18,29.28 ± 9.32,29.67 ± 10.04,29.30 ± 9.36,2480.00 ± 1015.87
Unknown-20,35.12 ± 8.56,33.65 ± 14.14,33.96 ± 11.26,5840.00 ± 1997.00
Unknown-21,40.00 ± 54.77,30.00 ± 44.72,33.33 ± 47.14,80.00 ± 83.67
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 109.54
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 122.47
Unknown-26,6.67 ± 14.91,5.00 ± 11.18,5.71 ± 12.78,280.00 ± 130.38
Unknown-27,15.99 ± 3.93,22.30 ± 4.64,17.95 ± 2.43,640.00 ± 230.22
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 268.33
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 164.32
Unknown-31,32.22 ± 8.08,33.30 ± 7.23,32.72 ± 7.56,3580.00 ± 719.03
Unknown-32,63.89 ± 31.91,68.75 ± 37.50,62.55 ± 26.76,400.00 ± 282.84
Unknown-33,46.56 ± 30.03,65.54 ± 29.29,49.17 ± 27.13,3660.00 ± 5136.93
Unknown-34,28.07 ± 16.44,29.15 ± 21.51,28.10 ± 18.87,1160.00 ± 421.90
Unknown-35,55.00 ± 38.91,40.00 ± 25.28,43.90 ± 27.31,440.00 ± 270.19
Unknown-36,17.07 ± 21.36,18.90 ± 22.93,17.21 ± 21.70,1540.00 ± 723.19
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 152.75
Unknown-39,5.00 ± 11.18,5.00 ± 11.18,5.00 ± 11.18,520.00 ± 268.33
Unknown-40,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-41,21.00 ± 17.88,21.00 ± 17.54,20.96 ± 17.64,2060.00 ± 876.36
Unknown-43,33.73 ± 11.05,46.41 ± 18.12,38.13 ± 13.01,1500.00 ± 452.77
Unknown-44,6.67 ± 14.91,3.75 ± 8.39,4.80 ± 10.73,1280.00 ± 540.37
Unknown-46,37.42 ± 8.59,37.30 ± 10.54,37.28 ± 9.37,5440.00 ± 934.34
Unknown-47,0.95 ± 2.13,2.00 ± 4.47,1.29 ± 2.89,540.00 ± 270.19
Unknown-48,26.25 ± 25.16,44.29 ± 44.15,32.03 ± 30.44,220.00 ± 286.36
Unknown-49,39.74 ± 7.20,41.71 ± 9.15,40.29 ± 6.75,1140.00 ± 230.22
Unknown-50,26.82 ± 15.82,29.67 ± 22.92,27.73 ± 18.64,780.00 ± 544.98
Unknown-51,9.19 ± 8.79,12.73 ± 13.00,10.54 ± 10.20,1340.00 ± 507.94
Unknown-52,1.67 ± 3.33,1.92 ± 3.85,1.79 ± 3.57,400.00 ± 605.53
Unknown-53,13.33 ± 21.73,9.49 ± 15.77,11.09 ± 18.28,1140.00 ± 288.10
Unknown-54,29.00 ± 41.29,46.67 ± 50.55,32.38 ± 40.88,140.00 ± 89.44
Unknown-55,30.53 ± 19.34,17.91 ± 14.88,21.94 ± 17.04,2220.00 ± 641.87
Unknown-56,11.23 ± 3.54,30.93 ± 15.01,16.33 ± 5.98,1080.00 ± 589.07
Unknown-57,26.71 ± 17.37,24.13 ± 16.32,24.66 ± 15.48,2680.00 ± 719.03
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-60,29.17 ± 16.33,30.21 ± 14.57,29.40 ± 15.24,1840.00 ± 817.31
Unknown-61,10.50 ± 17.36,18.33 ± 29.11,13.33 ± 21.73,480.00 ± 164.32
Unknown-62,10.39 ± 7.24,9.75 ± 5.71,9.75 ± 5.88,1060.00 ± 304.96
Unknown-63,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-64,27.53 ± 31.79,28.37 ± 35.99,27.15 ± 32.18,800.00 ± 761.58
Unknown-65,24.88 ± 25.49,32.87 ± 25.40,26.06 ± 22.58,860.00 ± 439.32
Unknown-67,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,580.00 ± 432.43
Unknown-69,25.76 ± 17.37,31.76 ± 24.48,28.20 ± 20.53,1840.00 ± 944.99
Unknown-70,31.55 ± 8.87,28.31 ± 6.37,29.19 ± 5.44,2300.00 ± 484.77
Unknown-71,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-72,10.29 ± 13.54,9.47 ± 12.39,9.82 ± 12.93,1640.00 ± 820.37
Unknown-74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 130.38
Unknown-75,7.17 ± 10.53,8.83 ± 12.18,7.82 ± 11.11,1080.00 ± 1116.69
Unknown-76,35.62 ± 15.14,41.49 ± 13.18,37.98 ± 13.83,725.00 ± 670.20
Unknown-77,4.02 ± 5.64,13.00 ± 18.57,6.14 ± 8.64,640.00 ± 378.15
Unknown-78,0.91 ± 2.03,10.00 ± 22.36,1.67 ± 3.73,180.00 ± 148.32
Unknown-79,33.11 ± 9.57,33.50 ± 9.17,33.26 ± 9.33,3800.00 ± 2129.55
