Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,9.4000
Entertainment,0.2337,0.2769,0.2438,24.2000
Food,0.4929,0.3114,0.3767,33.6000
Nightlife,0.3334,0.3243,0.3185,17.8000
Outdoors,0.0000,0.0000,0.0000,4.5000
Shopping,0.0571,0.0615,0.0593,5.2000
Travel,0.3085,0.3510,0.3272,40.0000
None,0.4294,0.5320,0.4730,11.6000
Unknown-8,0.4922,0.5979,0.5354,19.8000
Unknown-9,0.3205,0.3053,0.3099,22.8000
Unknown-10,0.2493,0.2762,0.2558,19.0000
Unknown-11,0.4196,0.4535,0.4281,52.4000
Unknown-12,0.0516,0.0557,0.0533,11.6000
Unknown-13,0.3848,0.4763,0.4166,47.2000
Unknown-14,0.1000,0.0286,0.0444,3.2000
Unknown-15,0.2500,0.2500,0.2500,0.7500
Unknown-17,0.4220,0.4689,0.4415,47.0000
Unknown-18,0.2882,0.3322,0.3066,24.8000
Unknown-20,0.3382,0.3643,0.3494,58.4000
Unknown-21,0.4000,0.3000,0.3333,0.8000
Unknown-23,0.0000,0.0000,0.0000,1.2000
Unknown-24,0.0000,0.0000,0.0000,1.0000
Unknown-26,0.0667,0.0500,0.0571,2.8000
Unknown-27,0.1764,0.2008,0.1823,6.4000
Unknown-28,0.0000,0.0000,0.0000,1.8000
Unknown-30,0.0000,0.0000,0.0000,3.8000
Unknown-31,0.2923,0.3330,0.3098,35.8000
Unknown-32,0.6389,0.6875,0.6255,4.0000
Unknown-33,0.3868,0.6839,0.4191,36.6000
Unknown-34,0.2807,0.2915,0.2810,11.6000
Unknown-35,0.5500,0.4000,0.4390,4.4000
Unknown-36,0.3228,0.3946,0.3453,15.4000
Unknown-38,0.0000,0.0000,0.0000,2.6667
Unknown-39,0.0500,0.0500,0.0500,5.2000
Unknown-40,0.0000,0.0000,0.0000,1.5000
Unknown-41,0.2030,0.2100,0.2061,20.6000
Unknown-43,0.3373,0.4641,0.3813,15.0000
Unknown-44,0.0995,0.1181,0.1076,12.8000
