Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,12.0000
Entertainment,0.4444,0.5000,0.4706,8.0000
Food,0.6500,0.4062,0.5000,32.0000
Nightlife,0.3571,0.2632,0.3030,19.0000
Outdoors,0.0000,0.0000,0.0000,0.0000
Shopping,0.3077,0.3077,0.3077,13.0000
Travel,0.5783,0.5783,0.5783,83.0000
None,0.5000,0.5385,0.5185,13.0000
Unknown-8,0.4615,0.5625,0.5070,32.0000
Unknown-9,0.4737,0.3913,0.4286,23.0000
Unknown-10,0.5000,0.3333,0.4000,12.0000
Unknown-11,0.5652,0.5306,0.5474,49.0000
Unknown-12,0.0000,0.0000,0.0000,13.0000
Unknown-13,0.2500,0.3333,0.2857,48.0000
Unknown-14,0.0000,0.0000,0.0000,4.0000
Unknown-16,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.5000,0.4333,0.4643,30.0000
Unknown-18,0.2222,0.2857,0.2500,21.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.4054,0.4688,0.4348,64.0000
Unknown-21,0.0000,0.0000,0.0000,1.0000
Unknown-23,0.3333,0.6667,0.4444,3.0000
Unknown-24,0.0000,0.0000,0.0000,1.0000
Unknown-26,0.0000,0.0000,0.0000,3.0000
Unknown-27,0.1111,0.1250,0.1176,8.0000
Unknown-28,0.0000,0.0000,0.0000,1.0000
Unknown-29,0.0000,0.0000,0.0000,3.0000
Unknown-30,0.0000,0.0000,0.0000,3.0000
Unknown-31,0.3548,0.3333,0.3438,33.0000
Unknown-32,0.0000,0.0000,0.0000,1.0000
Unknown-33,0.3077,0.5714,0.4000,7.0000
Unknown-34,0.2000,0.2000,0.2000,5.0000
Unknown-35,0.5000,1.0000,0.6667,1.0000
Unknown-36,0.1818,0.2500,0.2105,16.0000
Unknown-37,0.0000,0.0000,0.0000,5.0000
Unknown-38,0.0000,0.0000,0.0000,4.0000
Unknown-39,1.0000,0.2000,0.3333,5.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.3182,0.3684,0.3415,19.0000
Unknown-43,0.4286,0.4000,0.4138,15.0000
Unknown-44,0.1667,0.1667,0.1667,6.0000
Unknown-46,0.2432,0.2368,0.2400,38.0000
Unknown-47,0.0000,0.0000,0.0000,1.0000
Unknown-48,0.0000,0.0000,0.0000,0.0000
Unknown-49,0.5000,0.5000,0.5000,12.0000
Unknown-50,0.2857,0.3333,0.3077,6.0000
Unknown-51,0.1667,0.2500,0.2000,4.0000
Unknown-52,0.0000,0.0000,0.0000,1.0000
Unknown-53,0.0833,0.0909,0.0870,11.0000
Unknown-54,0.0000,0.0000,0.0000,2.0000
Unknown-55,0.4286,0.3600,0.3913,25.0000
Unknown-56,0.1111,0.2308,0.1500,13.0000
Unknown-57,0.4286,0.4000,0.4138,30.0000
Unknown-60,0.3077,0.3636,0.3333,11.0000
Unknown-61,0.2500,0.2000,0.2222,5.0000
Unknown-62,0.1429,0.4000,0.2105,5.0000
Unknown-64,0.0000,0.0000,0.0000,1.0000
