Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,4.0000
Entertainment,0.0000,0.0000,0.0000,5.0000
Food,0.0000,0.0000,0.0000,17.0000
Nightlife,0.0000,0.0000,0.0000,3.0000
Outdoors,0.0000,0.0000,0.0000,7.0000
Shopping,0.0000,0.0000,0.0000,8.0000
Travel,0.4699,0.4599,0.4649,187.0000
None,0.0000,0.0000,0.0000,4.0000
Unknown-8,0.3750,0.3333,0.3529,9.0000
Unknown-9,0.0000,0.0000,0.0000,0.0000
Unknown-10,0.0000,0.0000,0.0000,2.0000
Unknown-11,0.4691,0.4810,0.4750,79.0000
Unknown-12,0.0000,0.0000,0.0000,90.0000
Unknown-13,0.0000,0.0000,0.0000,0.0000
Unknown-14,0.0000,0.0000,0.0000,0.0000
Unknown-15,0.0000,0.0000,0.0000,4.0000
Unknown-16,0.1613,0.1667,0.1639,30.0000
Unknown-17,0.3636,0.3333,0.3478,12.0000
Unknown-18,0.2500,0.2769,0.2628,65.0000
Unknown-19,0.5909,0.5200,0.5532,25.0000
Unknown-20,0.6641,0.4871,0.5620,349.0000
Unknown-21,0.0000,0.0000,0.0000,173.0000
Unknown-22,0.5789,0.6346,0.6055,52.0000
Unknown-23,0.3243,0.3000,0.3117,40.0000
Unknown-25,0.2727,0.2308,0.2500,26.0000
Unknown-26,0.4615,0.4286,0.4444,14.0000
Unknown-27,0.4444,0.3077,0.3636,13.0000
Unknown-28,0.0000,0.0000,0.0000,0.0000
Unknown-29,0.4000,0.2857,0.3333,7.0000
Unknown-31,1.0000,1.0000,1.0000,2.0000
Unknown-32,0.0000,0.0000,0.0000,2.0000
Unknown-33,0.1429,0.2500,0.1818,8.0000
Unknown-34,0.0000,0.0000,0.0000,1.0000
Unknown-35,0.0000,0.0000,0.0000,42.0000
Unknown-36,0.5500,0.4783,0.5116,46.0000
Unknown-37,0.0000,0.0000,0.0000,14.0000
Unknown-38,0.0000,0.0000,0.0000,6.0000
Unknown-39,0.0000,0.0000,0.0000,3.0000
Unknown-40,0.7333,0.8462,0.7857,26.0000
Unknown-41,0.0000,0.0000,0.0000,1.0000
Unknown-42,0.0000,0.0000,0.0000,4.0000
Unknown-43,0.0000,0.0000,0.0000,21.0000
Unknown-44,0.0000,0.0000,0.0000,8.0000
Unknown-45,0.2308,0.2143,0.2222,14.0000
Unknown-46,0.0000,0.0000,0.0000,0.0000
Unknown-48,0.0000,0.0000,0.0000,27.0000
Unknown-49,0.2083,0.2500,0.2273,40.0000
Unknown-50,0.3492,0.4583,0.3964,48.0000
Unknown-51,0.0000,0.0000,0.0000,0.0000
Unknown-53,0.0000,0.0000,0.0000,4.0000
Unknown-56,0.2000,0.1250,0.1538,8.0000
Unknown-57,0.0000,0.0000,0.0000,13.0000
Unknown-58,0.5556,0.5263,0.5405,19.0000
Unknown-59,0.2619,0.3143,0.2857,35.0000
Unknown-60,0.0000,0.0000,0.0000,1.0000
Unknown-61,0.6579,0.5814,0.6173,43.0000
Unknown-62,0.1667,0.1667,0.1667,6.0000
Unknown-63,0.1667,0.3333,0.2222,3.0000
Unknown-64,0.0000,0.0000,0.0000,1.0000
Unknown-65,0.0000,0.0000,0.0000,1.0000
Unknown-66,1.0000,0.8000,0.8889,5.0000
Unknown-68,0.0000,0.0000,0.0000,0.0000
Unknown-69,0.0000,0.0000,0.0000,9.0000
Unknown-70,0.0000,0.0000,0.0000,0.0000
Unknown-72,0.0000,0.0000,0.0000,1.0000
Unknown-73,0.1333,0.5000,0.2105,4.0000
Unknown-74,0.0000,0.0000,0.0000,5.0000
Unknown-75,0.1333,0.2500,0.1739,8.0000
Unknown-76,0.0000,0.0000,0.0000,2.0000
Unknown-77,0.2000,0.5000,0.2857,2.0000
Unknown-78,0.0000,0.0000,0.0000,2.0000
Unknown-79,0.0000,0.0000,0.0000,7.0000
Unknown-81,0.0000,0.0000,0.0000,14.0000
Unknown-82,0.5238,0.3438,0.4151,32.0000
Unknown-83,0.1250,0.2000,0.1538,10.0000
Unknown-84,0.1429,0.1111,0.1250,9.0000
Unknown-85,0.0000,0.0000,0.0000,7.0000
Unknown-86,0.5455,0.3529,0.4286,17.0000
Unknown-87,0.2857,0.1538,0.2000,13.0000
Unknown-88,0.0000,0.0000,0.0000,0.0000
Unknown-89,0.3125,0.4348,0.3636,23.0000
Unknown-90,0.4286,0.5357,0.4762,28.0000
Unknown-91,0.0000,0.0000,0.0000,6.0000
Unknown-92,0.0000,0.0000,0.0000,2.0000
Unknown-93,0.0000,0.0000,0.0000,12.0000
Unknown-94,0.0000,0.0000,0.0000,3.0000
Unknown-95,0.0000,0.0000,0.0000,0.0000
Unknown-96,0.0000,0.0000,0.0000,3.0000
Unknown-97,0.0000,0.0000,0.0000,18.0000
Unknown-98,0.0000,0.0000,0.0000,9.0000
Unknown-99,0.4000,0.4000,0.4000,5.0000
Unknown-100,0.4375,0.5385,0.4828,13.0000
Unknown-101,0.4348,0.3846,0.4082,52.0000
Unknown-102,0.0000,0.0000,0.0000,3.0000
Unknown-103,0.1579,0.2727,0.2000,11.0000
Unknown-105,0.3654,0.2879,0.3220,66.0000
Unknown-106,0.0000,0.0000,0.0000,1.0000
Unknown-107,0.0000,0.0000,0.0000,3.0000
Unknown-108,0.0000,0.0000,0.0000,2.0000
Unknown-110,0.0000,0.0000,0.0000,1.0000
Unknown-111,0.0000,0.0000,0.0000,1.0000
Unknown-112,0.0000,0.0000,0.0000,17.0000
Unknown-113,0.0000,0.0000,0.0000,3.0000
Unknown-114,0.3030,0.2941,0.2985,34.0000
Unknown-115,0.0000,0.0000,0.0000,3.0000
Unknown-116,0.0000,0.0000,0.0000,3.0000
Unknown-117,0.3000,0.3750,0.3333,8.0000
Unknown-118,0.0000,0.0000,0.0000,10.0000
Unknown-119,0.0000,0.0000,0.0000,7.0000
Unknown-120,0.0000,0.0000,0.0000,0.0000
