Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,5.6000
Entertainment,0.0320,0.0229,0.0267,20.8000
Food,0.1033,0.1169,0.1078,12.6000
Nightlife,0.0000,0.0000,0.0000,3.8000
Outdoors,0.0000,0.0000,0.0000,8.2000
Shopping,0.0641,0.0989,0.0756,14.8000
Travel,0.4244,0.4515,0.4370,139.6000
None,0.1971,0.1815,0.1830,12.4000
Unknown-8,0.2534,0.2905,0.2666,13.2000
Unknown-10,0.2622,0.2567,0.2452,4.0000
Unknown-11,0.4405,0.4047,0.4176,59.2000
Unknown-12,0.3409,0.3542,0.3472,101.0000
Unknown-13,0.0000,0.0000,0.0000,1.5000
Unknown-14,0.0000,0.0000,0.0000,1.4000
Unknown-15,0.0400,0.2000,0.0667,1.2000
Unknown-16,0.1921,0.1784,0.1849,29.6000
Unknown-17,0.2927,0.2000,0.2279,4.8000
Unknown-18,0.3667,0.3734,0.3697,78.8000
Unknown-19,0.4670,0.4399,0.4466,28.2000
Unknown-20,0.7375,0.5634,0.6382,392.4000
Unknown-21,0.4334,0.4445,0.4375,122.8000
Unknown-22,0.3017,0.4169,0.3424,33.0000
Unknown-23,0.3668,0.3681,0.3666,47.8000
Unknown-25,0.3737,0.4460,0.4063,19.2000
Unknown-26,0.2642,0.2534,0.2582,11.6000
Unknown-27,0.3942,0.3714,0.3545,9.6000
Unknown-28,0.0000,0.0000,0.0000,1.4000
Unknown-29,0.4717,0.4909,0.4761,8.8000
Unknown-31,0.4500,0.5750,0.4917,2.2500
Unknown-32,0.0000,0.0000,0.0000,1.0000
Unknown-33,0.1243,0.1085,0.1113,23.4000
Unknown-34,0.0000,0.0000,0.0000,2.0000
Unknown-35,0.2592,0.2863,0.2718,53.0000
Unknown-36,0.4076,0.4352,0.4198,48.2000
Unknown-37,0.1140,0.2056,0.1407,8.4000
Unknown-38,0.4055,0.3333,0.3646,5.2000
Unknown-39,0.2390,0.2606,0.2478,18.6000
Unknown-40,0.6724,0.8203,0.7375,27.4000
Unknown-42,0.0000,0.0000,0.0000,4.8000
Unknown-43,0.0321,0.0201,0.0244,15.0000
Unknown-44,0.0000,0.0000,0.0000,5.2000
Unknown-45,0.3032,0.2990,0.2991,24.8000
Unknown-46,0.0857,0.2800,0.1167,1.6000
Unknown-48,0.2941,0.2470,0.2680,40.4000
Unknown-49,0.1905,0.1837,0.1846,32.8000
Unknown-50,0.4394,0.5016,0.4654,73.4000
Unknown-51,0.2667,0.2500,0.2571,2.4000
Unknown-53,0.1198,0.2217,0.1532,4.6000
Unknown-56,0.1865,0.1676,0.1754,14.0000
Unknown-57,0.1591,0.2041,0.1758,26.6000
Unknown-58,0.2794,0.3545,0.3040,13.2000
Unknown-59,0.2340,0.2506,0.2397,20.2000
Unknown-60,0.4152,0.3257,0.3506,4.4000
Unknown-61,0.4863,0.4811,0.4773,29.2000
Unknown-62,0.1794,0.2120,0.1907,14.8000
Unknown-63,0.2104,0.2767,0.2133,7.2000
Unknown-64,0.0000,0.0000,0.0000,3.5000
Unknown-65,0.1352,0.1833,0.1451,3.6000
Unknown-66,0.5557,0.8100,0.6237,3.8000
Unknown-67,0.0000,0.0000,0.0000,3.6667
Unknown-68,0.0000,0.0000,0.0000,1.7500
Unknown-69,0.0000,0.0000,0.0000,5.4000
Unknown-70,0.2800,0.0944,0.1371,4.2000
Unknown-71,0.0000,0.0000,0.0000,0.5000
Unknown-72,0.0000,0.0000,0.0000,2.0000
Unknown-73,0.2123,0.2241,0.1980,17.0000
Unknown-74,0.0000,0.0000,0.0000,3.8000
Unknown-75,0.1300,0.1533,0.1341,4.8000
Unknown-77,0.0400,0.1000,0.0571,1.0000
Unknown-78,0.0667,0.0667,0.0667,1.8000
Unknown-79,0.1360,0.0974,0.1053,8.8000
Unknown-80,0.0000,0.0000,0.0000,1.0000
Unknown-81,0.0000,0.0000,0.0000,12.2000
Unknown-82,0.5821,0.4026,0.4680,29.2000
Unknown-83,0.2251,0.1865,0.1999,15.0000
Unknown-84,0.1360,0.1437,0.1356,11.6000
Unknown-85,0.3325,0.2819,0.3033,13.8000
Unknown-86,0.3042,0.3050,0.2983,14.0000
Unknown-87,0.2789,0.2523,0.2636,21.8000
Unknown-88,0.0000,0.0000,0.0000,1.0000
Unknown-89,0.4529,0.4669,0.4561,43.4000
Unknown-90,0.2902,0.3818,0.3262,16.6000
Unknown-91,0.0286,0.0286,0.0286,5.0000
Unknown-92,0.0000,0.0000,0.0000,2.4000
Unknown-93,0.1277,0.1233,0.1226,13.2000
Unknown-94,0.0000,0.0000,0.0000,2.4000
Unknown-95,0.0000,0.0000,0.0000,1.4000
Unknown-96,0.0000,0.0000,0.0000,1.6000
Unknown-97,0.2645,0.1603,0.1935,16.8000
Unknown-98,0.0900,0.0800,0.0844,7.0000
Unknown-99,0.2484,0.3150,0.2709,5.4000
Unknown-100,0.3863,0.4300,0.3953,12.6000
Unknown-101,0.3866,0.4292,0.4045,36.8000
Unknown-102,0.0000,0.0000,0.0000,2.5000
Unknown-103,0.2492,0.2975,0.2679,8.8000
Unknown-104,0.0000,0.0000,0.0000,0.5000
Unknown-105,0.3525,0.3667,0.3572,75.4000
Unknown-107,0.0000,0.0000,0.0000,3.6000
Unknown-108,0.0000,0.0000,0.0000,5.2000
Unknown-110,0.0000,0.0000,0.0000,2.8000
Unknown-111,0.0000,0.0000,0.0000,1.8000
Unknown-112,0.1071,0.0754,0.0885,9.6000
Unknown-113,0.0000,0.0000,0.0000,4.0000
Unknown-114,0.3248,0.3625,0.3389,30.0000
Unknown-115,0.0000,0.0000,0.0000,2.5000
