epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.012987,0.595558,1.227537,3.434383,0.250000,0.750000,0.132302,32.332939,4.960881,4.960881,32.055374,1.659294,1.659294
2,-0.093646,0.382787,0.237371,3.948563,0.250000,0.750000,0.167643,32.487759,6.240377,1.595093,32.082764,2.216001,0.880242
3,-0.055642,0.147269,0.458845,4.057337,0.250000,0.750000,0.204312,32.540413,6.775597,0.846554,32.093140,2.540778,0.683231
4,-0.001970,0.001764,0.204574,4.167187,0.250000,0.750000,0.241999,32.561180,7.096071,0.890917,32.098213,2.825891,0.742188
5,-0.036438,0.001782,0.359171,4.167833,0.250000,0.750000,0.278065,32.567947,7.364622,0.864264,32.105930,3.091275,0.739511
6,-0.006043,0.002762,0.495468,4.153889,0.250000,0.750000,0.312757,32.569851,7.591272,0.884429,32.121998,3.364500,0.691303
7,0.063965,0.002974,0.261882,4.181500,0.250000,0.750000,0.348814,32.577427,7.768692,0.711770,32.142445,3.610143,0.713112
8,0.027250,0.004688,0.162929,4.132506,0.250000,0.750000,0.385355,32.602631,7.898185,0.661796,32.171276,3.853454,0.744798
9,-0.058071,0.005801,0.244648,4.108667,0.250000,0.750000,0.421215,32.610584,7.960664,0.624461,32.200184,4.075261,0.725669
10,0.099197,0.025727,0.216487,4.078753,0.250000,0.750000,0.456432,32.623573,8.001144,0.646277,32.231308,4.281196,0.731960
11,0.000609,0.011452,0.276962,4.012943,0.250000,0.750000,0.491143,32.657585,8.036553,0.624555,32.268581,4.504682,0.767140
12,-0.055196,0.005250,0.291314,4.005044,0.250000,0.750000,0.525545,32.696167,8.094686,0.653624,32.309784,4.738237,0.777315
13,0.008923,0.005130,0.231789,3.985017,0.250000,0.750000,0.560185,32.711231,8.163168,0.845187,32.345184,4.969719,0.796026
14,-0.027995,0.005706,0.253836,3.935730,0.250000,0.750000,0.594375,32.690437,8.196177,0.806531,32.375214,5.172967,0.826700
15,-0.002558,0.011349,0.245865,3.880722,0.250000,0.750000,0.627177,32.667023,8.236155,0.585405,32.400681,5.352694,0.753692
16,0.020867,0.009735,0.222390,3.864719,0.250000,0.750000,0.659716,32.628593,8.269302,0.479988,32.425541,5.535346,0.742111
17,0.033796,0.009780,0.226506,3.838669,0.250000,0.750000,0.692122,32.576309,8.297535,0.503563,32.444538,5.687757,0.745039
18,-0.006515,0.007758,0.229663,3.821186,0.250000,0.750000,0.723945,32.526546,8.335372,0.675368,32.468578,5.848526,0.838067
19,0.005820,0.011741,0.236756,3.780404,0.250000,0.750000,0.755538,32.473080,8.348980,0.693596,32.493954,6.018632,0.751027
20,-0.003159,0.018969,0.185607,3.805029,0.250000,0.750000,0.786576,32.405388,8.362102,0.565346,32.521255,6.192058,0.753359
21,0.055499,0.014938,0.358929,3.799506,0.250000,0.750000,0.815908,32.337467,8.373694,0.600395,32.545341,6.351545,0.739809
22,0.016210,0.013581,0.187774,3.821155,0.250000,0.750000,0.844596,32.274410,8.398320,0.672935,32.569374,6.514973,0.741940
23,0.028803,0.008752,0.342691,3.883874,0.250000,0.750000,0.872183,32.207394,8.438396,0.683029,32.593666,6.672538,0.785757
24,0.026983,0.013060,0.301372,3.921949,0.250000,0.750000,0.899778,32.151237,8.503792,0.675725,32.619534,6.837212,0.815292
25,0.035758,0.027502,0.381275,3.974892,0.250000,0.750000,0.925886,32.084003,8.596926,0.967507,32.647083,7.001872,0.821214
26,0.035090,0.073231,0.352511,4.039887,0.250000,0.750000,0.951090,32.026188,8.708167,1.005084,32.677605,7.170859,0.846045
27,0.020350,0.030455,0.452124,4.125844,0.250000,0.750000,0.974448,31.971460,8.794391,0.808650,32.705803,7.325928,0.795397
28,-0.026269,0.020942,0.281173,4.263959,0.250000,0.750000,0.997878,31.902454,8.879712,0.889035,32.733101,7.478294,0.818445
29,-0.022166,0.012254,0.360692,4.357588,0.250000,0.750000,1.019607,31.839693,8.973247,0.885368,32.763748,7.627090,0.814091
30,0.041424,0.008396,0.352084,4.457497,0.250000,0.750000,1.040968,31.762041,9.059513,0.858345,32.793488,7.774491,0.804437
31,0.008717,0.015910,0.374331,4.620792,0.250000,0.750000,1.061643,31.702812,9.148007,0.821805,32.820770,7.923032,0.811729
32,-0.020693,0.044228,0.385652,4.686491,0.250000,0.750000,1.081268,31.640163,9.240724,0.770271,32.846638,8.059372,0.805173
33,-0.001211,0.019914,0.293376,5.095493,0.250000,0.750000,1.099817,31.575726,9.314960,0.729633,32.868660,8.184197,0.751586
34,0.011526,0.016045,0.344483,5.276730,0.250000,0.750000,1.117760,31.510374,9.372876,0.572776,32.888607,8.299502,0.735957
35,-0.007844,0.013761,0.393552,5.392480,0.250000,0.750000,1.135071,31.458015,9.419436,0.587939,32.909313,8.418580,0.763291
36,0.011978,0.011169,0.300686,5.690372,0.250000,0.750000,1.151725,31.394690,9.465811,0.572923,32.926788,8.528452,0.727583
37,-0.005328,0.010095,0.297784,6.025460,0.250000,0.750000,1.167914,31.328278,9.496329,0.520226,32.942516,8.634595,0.710131
38,-0.025288,0.007394,0.334366,6.358384,0.250000,0.750000,1.183625,31.273909,9.523809,0.557958,32.957600,8.738529,0.725526
39,-0.036935,0.029205,0.287204,6.563820,0.250000,0.750000,1.198375,31.217001,9.551278,0.579046,32.972485,8.841107,0.711274
40,0.034036,0.030722,0.311448,6.953682,0.250000,0.750000,1.212617,31.162945,9.584740,0.524382,32.986683,8.937609,0.696259
41,0.007483,0.052045,0.302598,7.086417,0.250000,0.750000,1.226033,31.103188,9.625763,0.471860,32.999603,9.031463,0.700299
42,-0.003318,0.033858,0.278247,7.194475,0.250000,0.750000,1.239126,31.043348,9.666018,0.497170,33.014225,9.118349,0.701648
43,0.050346,0.010323,0.302963,7.867798,0.250000,0.750000,1.251544,30.982325,9.707893,0.532153,33.026119,9.203202,0.708970
44,0.021052,0.392356,0.294117,7.991145,0.250000,0.750000,1.262760,30.928606,9.753834,0.676036,33.044418,9.315510,0.938540
45,0.018733,0.986834,0.277084,8.138748,0.250000,0.750000,1.274094,30.883617,9.808570,0.568827,33.062782,9.426465,0.811570
46,-0.238529,0.433628,0.364720,8.197427,0.250000,0.750000,1.285116,30.826431,9.856739,0.544959,33.079376,9.526239,0.750780
47,-0.094502,0.016707,0.271566,8.809381,0.250000,0.750000,1.295606,30.778357,9.891563,0.442902,33.091633,9.607810,0.672745
48,-0.029415,0.031097,0.236784,9.382442,0.250000,0.750000,1.305880,30.727417,9.919813,0.544266,33.099880,9.679834,0.643029
49,-0.035516,0.042452,0.303766,9.755683,0.250000,0.750000,1.315186,30.677431,9.963624,0.628624,33.106373,9.749629,0.644169
50,-0.000902,0.006993,0.223771,10.271727,0.250000,0.750000,1.324360,30.630039,10.003878,0.526189,33.110886,9.818442,0.633731
