epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.012852,0.978741,1.328022,4.346638,0.193369,32.453831,6.808655,6.808655,32.108582,3.073061,3.073061
2,0.028175,0.073615,0.217205,5.445889,0.286616,32.307625,7.339881,2.382622,32.178005,4.472409,2.700410
3,0.058938,0.009880,0.279710,5.840463,0.379589,32.021980,7.371172,0.583835,32.276489,5.656569,2.560660
4,0.000986,0.008201,0.185920,6.025324,0.472093,31.746052,7.437396,0.832526,32.336800,6.485674,2.180882
5,-0.008742,0.029946,0.231697,5.921187,0.563884,31.480755,7.534291,0.904928,32.384640,7.136138,1.966080
6,-0.003053,0.012501,0.179745,5.715582,0.653229,31.833483,9.377924,5.678020,32.432144,7.668334,1.822454
7,-0.026805,0.001135,0.172107,5.468481,0.743137,31.549208,9.354589,0.284677,32.462101,8.159571,1.741114
8,-0.002018,0.002355,0.153900,5.221811,0.831766,31.268764,9.331570,0.280753,32.488934,8.574816,1.719190
9,0.013981,0.001606,0.158218,4.981614,0.918836,30.994715,9.316784,0.275268,32.522957,8.969750,1.634966
10,-0.003298,0.001944,0.113285,4.730978,1.004247,30.727243,9.311030,0.267987,32.553757,9.318894,1.617110
11,0.000289,0.001421,0.140533,4.512011,1.087824,30.468374,9.311582,0.263404,32.579086,9.638166,1.515369
12,-0.001690,0.003940,0.140477,4.342250,1.169397,30.216579,9.319047,0.260753,32.604889,9.924964,1.484432
13,0.001436,0.008945,0.134100,4.149990,1.248778,29.972597,9.332143,0.266284,32.627213,10.189625,1.470407
14,0.012387,0.002648,0.108634,3.998813,1.325823,29.736681,9.351654,0.248654,32.642681,10.442787,1.386999
15,0.007563,0.003582,0.144387,3.896971,1.400196,29.557240,9.538815,1.775209,32.656982,10.669319,1.371038
16,-0.022791,0.003596,0.153964,3.813186,1.471100,29.364307,9.642784,0.458088,32.667049,10.883364,1.329087
17,-0.004139,0.004989,0.152322,3.777909,1.534634,29.152584,9.672374,0.221956,32.667274,11.067133,1.237035
18,-0.004044,0.006471,0.126064,3.716166,1.585488,28.951927,9.703768,0.210909,32.672661,11.262612,1.247930
19,0.004593,0.002829,0.105888,3.699013,1.624827,28.762943,9.737540,0.196825,32.675755,11.421451,1.187748
20,0.005845,0.002336,0.131097,3.727749,1.656945,28.583889,9.770493,0.248889,32.674580,11.574149,1.179843
21,0.008729,0.001503,0.136735,3.727875,1.684156,28.412725,9.808555,0.192766,32.670570,11.707012,1.131235
22,-0.007728,0.001720,0.110439,3.702937,1.708404,28.247198,9.848689,0.209167,32.671692,11.848716,1.071932
23,-0.003834,0.008760,0.138213,3.742517,1.726858,28.091949,9.887538,0.186415,32.667732,11.966458,1.013846
24,-0.007425,0.002394,0.115327,3.767558,1.742998,27.949169,9.929877,0.254595,32.656097,12.058336,0.941731
25,-0.003095,0.020252,0.111318,3.804049,1.757604,27.842602,10.073656,1.349926,32.644405,12.140602,0.898382
26,-0.002569,0.000758,0.106353,3.820536,1.769424,27.714527,10.110965,0.148662,32.634136,12.223689,0.883925
27,-0.000708,0.003537,0.132324,3.839782,1.780959,27.595961,10.144630,0.119925,32.621136,12.298688,0.806581
28,-0.002125,0.001604,0.116972,3.846170,1.789074,27.485903,10.177220,0.113216,32.609245,12.363189,0.755656
29,0.000743,0.002650,0.107192,3.894717,1.797417,27.384768,10.208312,0.101853,32.598793,12.419537,0.698812
30,-0.000068,0.001692,0.099572,3.947121,1.804767,27.291601,10.238010,0.096598,32.585781,12.469415,0.669474
31,-0.003671,0.001596,0.120273,3.954722,1.810447,27.206533,10.265182,0.097207,32.572556,12.511682,0.619725
32,-0.000245,0.002179,0.147454,3.958299,1.815463,27.128395,10.290767,0.094854,32.563793,12.555096,0.578478
33,0.001144,0.004401,0.121304,3.993511,1.819802,27.058851,10.314428,0.076827,32.553253,12.588791,0.510309
34,-0.000158,0.001804,0.120464,4.039317,1.823842,26.996042,10.337027,0.130681,32.540058,12.615294,0.488766
35,0.000753,0.002187,0.120024,4.058647,1.826999,26.939932,10.356818,0.184119,32.529377,12.637759,0.436541
36,-0.021892,0.007800,0.131590,4.085519,1.829722,26.899019,10.379960,0.484231,32.519032,12.658588,0.389305
37,-0.023826,0.016462,0.118747,4.100251,1.832657,26.897476,10.502453,1.340582,32.510017,12.673870,0.352693
38,0.016172,0.026816,0.129889,4.139691,1.834680,26.862696,10.536728,0.443561,32.501682,12.687613,0.309781
39,-0.023579,0.008519,0.135422,4.162762,1.836311,26.838440,10.560530,0.451129,32.493530,12.698436,0.273011
40,0.006139,0.016668,0.128272,4.183220,1.837610,26.813679,10.577061,0.178785,32.486797,12.703758,0.227812
41,0.009148,0.025333,0.148777,4.189445,1.838776,26.793459,10.586744,0.084235,32.481010,12.709155,0.192900
42,0.009096,0.023464,0.123076,4.222272,1.839813,26.777342,10.597946,0.139876,32.476494,12.714599,0.153105
43,0.000279,0.013639,0.134254,4.232420,1.840804,26.765774,10.608625,0.163102,32.472282,12.716733,0.125160
