Category,precision,recall,f1-score,support
Community,0.4110,0.4519,0.4302,27.6000
Entertainment,0.4126,0.4436,0.4246,41.6000
Food,0.0333,0.1000,0.0500,4.2000
Nightlife,0.1886,0.2708,0.2174,15.4000
Outdoors,0.2714,0.2856,0.2586,7.0000
Shopping,0.3610,0.2988,0.3166,15.0000
Travel,0.0000,0.0000,0.0000,4.8000
None,0.1250,0.2400,0.1641,2.8000
Unknown-8,0.5426,0.5435,0.5381,24.6000
Unknown-9,0.0000,0.0000,0.0000,4.2000
Unknown-10,0.0500,0.2400,0.0752,2.0000
Unknown-11,0.2257,0.1971,0.2050,6.6000
Unknown-12,0.2500,0.3409,0.2786,4.0000
Unknown-13,0.1067,0.0833,0.0889,3.4000
Unknown-14,0.0622,0.0533,0.0574,6.4000
Unknown-15,0.3729,0.4493,0.4073,51.6000
Unknown-16,0.4127,0.4568,0.4301,36.2000
Unknown-17,0.1705,0.1500,0.1339,2.7500
Unknown-18,0.5571,0.5402,0.5480,98.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.0000,0.0000,0.0000,2.5000
Unknown-21,0.0000,0.0000,0.0000,2.3333
Unknown-22,0.6344,0.7025,0.6649,23.8000
Unknown-24,0.0000,0.0000,0.0000,2.6000
Unknown-25,0.5305,0.4679,0.4960,28.2000
Unknown-26,0.7143,0.7786,0.7228,5.0000
Unknown-27,0.0000,0.0000,0.0000,4.0000
Unknown-28,0.8994,0.9164,0.9078,7081.8000
Unknown-29,0.0917,0.3429,0.1354,3.2000
Unknown-30,0.2863,0.3111,0.2904,6.2000
Unknown-31,0.3802,0.3125,0.3063,3.0000
Unknown-32,0.2897,0.2574,0.2687,54.2000
Unknown-33,0.1429,0.2267,0.1667,4.0000
Unknown-34,0.0000,0.0000,0.0000,2.0000
Unknown-35,0.0000,0.0000,0.0000,1.4000
Unknown-36,0.0000,0.0000,0.0000,1.4000
Unknown-37,0.5577,0.5529,0.5537,106.6000
Unknown-38,0.0250,0.1000,0.0400,1.4000
Unknown-39,0.2000,0.2000,0.2000,1.2000
Unknown-40,0.3996,0.3163,0.3468,36.8000
Unknown-41,0.5112,0.4842,0.4953,96.0000
Unknown-42,0.6785,0.4329,0.5268,214.2000
Unknown-43,0.2168,0.1876,0.2008,32.2000
Unknown-44,0.6058,0.5943,0.5997,299.2000
