epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.022134,0.625034,0.965876,2.912477,0.250000,0.750000,0.113803,32.170448,3.299887,3.299887,32.026279,1.067970,1.067970
2,0.040124,0.148112,0.289932,3.274578,0.250000,0.750000,0.128310,32.298809,4.681479,1.576308,32.040741,1.537200,0.574336
3,-0.028820,0.018382,0.094670,3.275852,0.250000,0.750000,0.143750,32.393379,5.531989,0.987572,32.055416,1.880930,0.463390
4,-0.026540,0.015281,0.105839,3.341047,0.250000,0.750000,0.159666,32.457096,6.062809,0.653361,32.067245,2.141565,0.510895
5,-0.048980,0.011384,0.455097,3.395329,0.250000,0.750000,0.175433,32.490273,6.399965,0.473473,32.077972,2.354307,0.447098
6,-0.064778,0.012104,0.369710,3.445755,0.250000,0.750000,0.191164,32.507893,6.615830,0.353316,32.087883,2.530528,0.404478
7,-0.069282,0.014197,0.360221,3.484650,0.250000,0.750000,0.207111,32.522942,6.759284,0.340495,32.097469,2.688017,0.403982
8,-0.109284,0.024180,0.248340,3.581746,0.250000,0.750000,0.223486,32.551529,6.863540,0.384703,32.112610,2.846293,0.461599
9,-0.042175,0.018657,0.234142,3.649872,0.250000,0.750000,0.239984,32.607765,6.961188,0.456585,32.138157,3.028982,0.496050
10,0.013815,0.006817,0.239437,3.707818,0.250000,0.750000,0.256760,32.698608,7.054686,0.429223,32.174427,3.229540,0.524084
11,-0.015326,0.005088,0.292217,3.735142,0.250000,0.750000,0.273200,32.818974,7.131886,0.490445,32.218735,3.429267,0.541814
12,-0.007497,0.007453,0.814565,3.740953,0.250000,0.750000,0.288678,32.954071,7.223141,0.498732,32.265312,3.605853,0.486714
