epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.000894,0.711380,1.951397,3.259319,0.250000,0.750000,0.132571,32.321945,4.927264,4.927264,32.060432,1.667779,1.667779
2,-0.049041,0.080141,0.271577,3.862143,0.250000,0.750000,0.168312,32.467644,6.162941,1.560999,32.085831,2.248612,0.938900
3,0.000455,0.004994,0.399475,3.871872,0.250000,0.750000,0.204049,32.527416,6.718337,0.880255,32.098434,2.598797,0.726686
4,-0.048569,0.002370,0.252406,3.985002,0.250000,0.750000,0.240785,32.571381,7.042934,0.904557,32.107601,2.882510,0.737978
5,-0.002377,0.002080,0.231903,4.031141,0.250000,0.750000,0.277782,32.632893,7.319117,0.869721,32.131279,3.201442,0.854603
6,-0.042683,0.005911,0.384921,3.993190,0.250000,0.750000,0.312225,32.701656,7.455647,0.619639,32.173828,3.515652,0.797966
7,0.016873,0.005045,0.150643,4.020930,0.250000,0.750000,0.347697,32.808605,7.546331,0.662405,32.231503,3.815133,0.934801
8,0.019559,0.002963,0.417512,3.976527,0.250000,0.750000,0.382182,32.961533,7.647366,0.885025,32.302517,4.120113,0.968497
9,0.036273,0.004895,0.428874,3.941324,0.250000,0.750000,0.416045,33.243523,7.866447,1.235137,32.401489,4.469676,1.055040
10,0.065968,0.005080,0.519119,3.856005,0.250000,0.750000,0.448659,33.541721,8.222125,1.474330,32.491795,4.757514,0.767796
11,-0.055814,0.010877,0.914615,3.820837,0.250000,0.750000,0.480093,33.700619,8.577738,1.444803,32.540462,4.931898,0.648867
12,-0.019594,0.025845,0.216086,3.846499,0.250000,0.750000,0.513739,33.762642,8.840418,1.275385,32.565910,5.074190,0.638638
13,0.013331,0.039646,0.391440,3.813964,0.250000,0.750000,0.548334,33.765839,9.019179,1.045129,32.582268,5.209405,0.649751
14,0.012210,0.036117,0.168508,3.808596,0.250000,0.750000,0.583077,33.751713,9.165105,1.110015,32.595852,5.350882,0.687965
15,0.039577,0.076951,0.218722,3.769836,0.250000,0.750000,0.616746,33.727074,9.286050,1.004211,32.608173,5.491244,0.653226
16,-0.004190,0.062962,0.183220,3.758606,0.250000,0.750000,0.650165,33.689171,9.375740,0.828263,32.622242,5.637434,0.694772
17,-0.132867,0.024552,0.258117,3.693416,0.250000,0.750000,0.683185,33.631794,9.453495,1.225647,32.636616,5.782781,0.706912
18,0.112553,0.068493,0.350511,3.670309,0.250000,0.750000,0.715672,33.599178,9.623794,1.439790,32.652706,5.934652,0.741537
19,-0.006855,0.062344,0.210801,3.613552,0.250000,0.750000,0.747064,33.576405,9.787345,1.189034,32.668140,6.077468,0.714207
20,0.046119,0.023729,0.187869,3.603982,0.250000,0.750000,0.777933,33.563763,9.939706,1.128887,32.685062,6.230102,0.718086
21,-0.041920,0.018150,0.399947,3.604678,0.250000,0.750000,0.807769,33.523735,10.028772,0.843300,32.701183,6.368280,0.710523
22,-0.018596,0.062349,0.178269,3.605104,0.250000,0.750000,0.837002,33.480469,10.078182,0.896070,32.719425,6.512368,0.733702
23,0.023031,0.036476,0.344426,3.639985,0.250000,0.750000,0.865142,33.462875,10.192245,1.181804,32.738907,6.664951,0.752699
24,0.048359,0.106198,0.223205,3.657748,0.250000,0.750000,0.892603,33.439056,10.291302,0.774310,32.757153,6.806020,0.763921
25,0.014508,0.009011,0.247961,3.651722,0.250000,0.750000,0.919098,33.408775,10.366402,0.800440,32.776276,6.950404,0.750061
26,-0.037469,0.012669,0.367774,3.635258,0.250000,0.750000,0.944182,33.369595,10.432090,0.712306,32.798134,7.100151,0.765046
27,-0.087098,0.031801,0.247200,3.764324,0.250000,0.750000,0.968924,33.320030,10.484410,0.733003,32.820282,7.245984,0.757021
28,0.053861,0.019044,0.284328,3.793489,0.250000,0.750000,0.992472,33.261345,10.530917,0.807266,32.842293,7.384832,0.769064
29,0.009225,0.095097,0.245465,3.881987,0.250000,0.750000,1.015360,33.204212,10.571017,0.700323,32.863979,7.520778,0.764049
30,-0.032187,0.036189,0.237771,4.005851,0.250000,0.750000,1.037428,33.160946,10.648039,1.028752,32.888611,7.668901,0.814511
31,-0.048614,0.025581,0.488744,4.101764,0.250000,0.750000,1.058045,33.142387,10.770136,0.986120,32.910973,7.803561,0.789242
32,0.017162,0.025167,0.298565,4.251074,0.250000,0.750000,1.078384,33.108089,10.850153,0.806646,32.934464,7.937716,0.790808
33,-0.049361,0.017926,0.268307,4.428427,0.250000,0.750000,1.098179,33.054691,10.891485,0.594566,32.953827,8.064964,0.766307
34,0.052339,0.014006,0.293248,4.470830,0.250000,0.750000,1.116737,32.982685,10.917300,0.645631,32.973587,8.186701,0.759495
35,-0.030540,0.027158,0.331874,4.670187,0.250000,0.750000,1.134915,32.914978,10.938354,0.609508,32.995056,8.312385,0.749406
36,-0.024847,0.032335,0.324411,4.851523,0.250000,0.750000,1.152285,32.863651,10.985136,0.784988,33.013485,8.430207,0.739876
37,-0.071407,0.018007,0.400422,5.060125,0.250000,0.750000,1.169228,32.809105,11.024714,0.714877,33.030197,8.546401,0.770565
38,-0.010506,0.014266,0.281851,5.258219,0.250000,0.750000,1.185472,32.744720,11.051850,0.558806,33.046452,8.659093,0.739050
39,0.028247,0.070623,0.305292,5.528873,0.250000,0.750000,1.201629,32.685501,11.084282,0.565454,33.061024,8.763339,0.726981
40,-0.076988,0.034349,0.290529,5.645409,0.250000,0.750000,1.217125,32.643238,11.125775,0.702603,33.075748,8.866549,0.743738
41,-0.012547,0.013862,0.274715,5.879015,0.250000,0.750000,1.231795,32.590584,11.156320,0.557856,33.092133,8.971467,0.756896
42,-0.008171,0.015313,0.230307,5.961278,0.250000,0.750000,1.245978,32.527138,11.185303,0.732955,33.106876,9.074509,0.750018
43,-0.006038,0.017616,0.279861,6.166700,0.250000,0.750000,1.259357,32.460468,11.225334,0.773092,33.121670,9.173447,0.717578
44,-0.020387,0.045007,0.313385,6.490605,0.250000,0.750000,1.272103,32.410099,11.273442,0.817470,33.136135,9.272212,0.697591
45,0.007569,0.008315,0.302544,6.854075,0.250000,0.750000,1.284598,32.353218,11.317344,0.666348,33.145908,9.355613,0.654559
46,-0.018497,0.020055,0.251562,7.317552,0.250000,0.750000,1.296809,32.307190,11.354321,0.606326,33.155155,9.440744,0.676721
47,0.056286,0.006042,0.227356,7.536020,0.250000,0.750000,1.308680,32.252014,11.374990,0.454631,33.163445,9.524901,0.650568
48,-0.060754,0.005967,0.239746,7.831670,0.250000,0.750000,1.320156,32.196884,11.390944,0.539854,33.170681,9.597174,0.675242
49,0.040621,0.003377,0.236954,8.216471,0.250000,0.750000,1.331252,32.143974,11.406477,0.573232,33.178402,9.669806,0.637493
50,0.000429,0.003292,0.203427,8.348365,0.250000,0.750000,1.341884,32.088898,11.440440,0.787672,33.187176,9.747306,0.670959
