epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.000913,0.629533,1.661698,2.985410,0.250000,0.750000,0.114718,32.165344,3.263911,3.263911,32.027977,1.096847,1.096847
2,-0.010264,0.128449,0.187312,3.320203,0.250000,0.750000,0.129413,32.302204,4.702952,1.616267,32.044140,1.577683,0.616459
3,0.142795,0.030730,1.653941,3.295705,0.250000,0.750000,0.144649,32.383984,5.454273,0.952639,32.055752,1.867626,0.449608
4,-0.055096,0.008833,0.459911,3.372674,0.250000,0.750000,0.160684,32.445312,5.953032,0.633376,32.064243,2.069901,0.378062
5,-0.047004,0.005717,0.308009,3.411436,0.250000,0.750000,0.177215,32.484684,6.288181,0.495871,32.068043,2.228028,0.398694
6,0.007531,0.004641,0.157440,3.406725,0.250000,0.750000,0.193844,32.509323,6.526310,0.423653,32.071995,2.372475,0.347401
7,0.103230,0.005001,0.291183,3.442066,0.250000,0.750000,0.210219,32.527275,6.699211,0.377270,32.076214,2.497602,0.332457
8,-0.160385,0.008289,0.262623,3.490387,0.250000,0.750000,0.226446,32.541470,6.822158,0.337250,32.083763,2.620907,0.330400
9,0.161995,0.006112,0.224455,3.545764,0.250000,0.750000,0.242432,32.559216,6.914157,0.348246,32.095943,2.750394,0.364811
10,0.058628,0.009255,0.230369,3.615327,0.250000,0.750000,0.258186,32.576656,6.983692,0.358717,32.109196,2.883870,0.377129
11,-0.041141,0.010566,0.282274,3.642401,0.250000,0.750000,0.274041,32.577690,7.038904,0.388535,32.119507,3.010830,0.390106
12,-0.082737,0.006651,0.169699,3.675969,0.250000,0.750000,0.289633,32.566776,7.090008,0.388174,32.129009,3.136122,0.392993
13,-0.022669,0.004853,0.417824,3.749005,0.250000,0.750000,0.305209,32.555294,7.125566,0.349015,32.138344,3.254277,0.393416
14,-0.016722,0.005908,0.298577,3.769893,0.250000,0.750000,0.320799,32.546436,7.155804,0.289043,32.148468,3.376183,0.402259
15,0.005345,0.009703,0.212277,3.792545,0.250000,0.750000,0.336484,32.542103,7.177629,0.304112,32.160038,3.497568,0.417274
16,0.018076,0.008526,0.253131,3.810577,0.250000,0.750000,0.352303,32.547016,7.196509,0.322915,32.175388,3.633845,0.433631
17,-0.026429,0.006698,0.270379,3.819058,0.250000,0.750000,0.368233,32.565758,7.213706,0.344238,32.194447,3.761312,0.430343
18,0.010169,0.007566,0.297396,3.845145,0.250000,0.750000,0.384206,32.602634,7.236268,0.362528,32.218956,3.890082,0.442085
19,0.000146,0.006397,0.470559,3.769438,0.250000,0.750000,0.399441,32.643272,7.268974,0.362389,32.244652,4.016528,0.406574
20,0.051151,0.007435,0.329736,3.783921,0.250000,0.750000,0.413973,32.683182,7.297859,0.367218,32.269928,4.135368,0.375877
21,-0.099896,0.014426,0.376929,3.832819,0.250000,0.750000,0.428056,32.722290,7.334681,0.384568,32.293270,4.244159,0.359531
22,-0.054962,0.009023,0.432736,3.812678,0.250000,0.750000,0.441857,32.764965,7.382232,0.377815,32.316559,4.349462,0.363217
23,-0.013144,0.007938,0.518281,3.854234,0.250000,0.750000,0.455592,32.823189,7.439223,0.428058,32.341679,4.451743,0.374684
24,-0.035988,0.007118,0.373974,3.942189,0.250000,0.750000,0.470008,32.901123,7.511643,0.473895,32.370941,4.555562,0.405617
25,0.001645,0.006450,0.668256,3.919696,0.250000,0.750000,0.483965,32.997803,7.610490,0.500657,32.402843,4.654593,0.387028
26,-0.050843,0.007830,0.442275,3.918065,0.250000,0.750000,0.497537,33.094231,7.715434,0.558746,32.435833,4.757444,0.369946
27,0.006745,0.014039,0.462592,3.963259,0.250000,0.750000,0.511002,33.187412,7.837781,0.631575,32.466400,4.853003,0.367157
28,-0.029677,0.009258,0.737838,4.041241,0.250000,0.750000,0.524285,33.270218,7.974525,0.699986,32.496326,4.949178,0.363728
29,-0.031088,0.007583,0.577825,4.053793,0.250000,0.750000,0.537825,33.337677,8.118101,0.793528,32.522221,5.045412,0.386126
30,-0.008606,0.009666,0.446279,4.085655,0.250000,0.750000,0.551367,33.384884,8.256936,0.722730,32.543697,5.136129,0.414163
31,-0.025209,0.004126,0.488741,4.189115,0.250000,0.750000,0.564995,33.407177,8.372014,0.651818,32.562428,5.233950,0.404135
32,0.047644,0.010663,0.347020,4.219705,0.250000,0.750000,0.578877,33.412815,8.469188,0.613572,32.577709,5.331488,0.411858
33,-0.041285,0.008316,0.447293,4.364714,0.250000,0.750000,0.592875,33.406063,8.551902,0.653501,32.592194,5.423281,0.431530
34,0.019113,0.008349,0.353907,4.454332,0.250000,0.750000,0.606965,33.400509,8.642727,0.740087,32.606518,5.520099,0.439049
35,-0.001636,0.010547,0.615632,4.553126,0.250000,0.750000,0.620749,33.395046,8.737917,0.663286,32.619686,5.613278,0.434635
36,-0.047594,0.014453,0.503928,4.537527,0.250000,0.750000,0.633738,33.387852,8.824348,0.528448,32.630768,5.701440,0.394256
37,-0.021886,0.039184,0.520623,4.680261,0.250000,0.750000,0.646034,33.371655,8.891120,0.454869,32.640873,5.785369,0.378070
38,0.001540,0.014891,0.508360,4.746328,0.250000,0.750000,0.658256,33.351097,8.946458,0.515230,32.651932,5.868796,0.375851
39,-0.011392,0.023201,0.412140,4.992809,0.250000,0.750000,0.670688,33.330200,8.990414,0.517097,32.661858,5.948082,0.391740
40,-0.012566,0.019324,0.467615,5.214034,0.250000,0.750000,0.683488,33.309299,9.030250,0.529859,32.671913,6.028467,0.396802
41,0.043180,0.020180,0.452386,5.246197,0.250000,0.750000,0.696345,33.288631,9.073809,0.518154,32.680809,6.106738,0.410051
42,-0.022653,0.016563,0.436126,5.359612,0.250000,0.750000,0.708800,33.268673,9.120356,0.433725,32.691021,6.185560,0.392931
43,-0.010036,0.016667,0.406510,5.518459,0.250000,0.750000,0.721116,33.244884,9.154464,0.434820,32.701855,6.263217,0.382601
44,-0.008117,0.027219,0.313350,5.909273,0.250000,0.750000,0.733833,33.219646,9.187811,0.448733,32.711742,6.339108,0.403829
45,0.006693,0.038980,0.525842,5.896152,0.250000,0.750000,0.746355,33.195248,9.219541,0.420746,32.720787,6.415051,0.439943
46,-0.010424,0.016312,0.442899,6.083084,0.250000,0.750000,0.758928,33.171852,9.247849,0.416947,32.730541,6.491131,0.428684
47,0.028334,0.023943,0.399300,6.111774,0.250000,0.750000,0.771665,33.154556,9.279772,0.439205,32.740231,6.568621,0.426895
48,-0.003946,0.017721,0.394478,6.174094,0.250000,0.750000,0.783956,33.136173,9.312895,0.472051,32.750923,6.648029,0.409977
49,0.031685,0.014301,0.333395,6.406593,0.250000,0.750000,0.795918,33.115414,9.353474,0.563319,32.760273,6.717463,0.393221
50,-0.005323,0.022294,0.400930,6.541976,0.250000,0.750000,0.807934,33.093933,9.396663,0.459851,32.768311,6.781734,0.388785
