epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.009481,0.549381,1.862878,3.369305,0.250000,0.750000,0.132445,32.324528,4.866850,4.866850,32.047531,1.627955,1.627955
2,0.121299,0.370106,0.946882,3.703152,0.250000,0.750000,0.167130,32.452702,6.068755,1.452765,32.067608,2.134817,0.809686
3,0.060957,0.004213,0.294981,3.808468,0.250000,0.750000,0.204137,32.482780,6.549870,0.781703,32.076168,2.428008,0.640087
4,0.004029,0.002187,0.392452,3.887950,0.250000,0.750000,0.241659,32.483139,6.791222,0.739598,32.080425,2.671143,0.653908
5,0.026960,0.002129,0.228968,3.935038,0.250000,0.750000,0.278819,32.483673,6.953423,0.654067,32.089725,2.948497,0.712121
6,-0.005458,0.003803,0.412156,3.919403,0.250000,0.750000,0.314550,32.523720,7.102256,0.799522,32.111568,3.220822,0.722300
7,-0.019213,0.004735,0.248439,3.871306,0.250000,0.750000,0.349564,32.720367,7.286206,0.989873,32.177563,3.501328,0.881726
8,0.014525,0.010193,0.375267,3.859403,0.250000,0.750000,0.384559,33.063820,7.513270,1.248992,32.285213,3.814895,0.923768
9,-0.017144,0.018981,0.481992,3.743763,0.250000,0.750000,0.417638,33.502003,7.936532,1.473741,32.407707,4.111230,0.814119
10,0.003124,0.013204,0.799939,3.706230,0.250000,0.750000,0.448539,33.775848,8.362916,1.655465,32.480797,4.312421,0.569719
11,0.014025,0.014696,0.329866,3.703817,0.250000,0.750000,0.481525,33.906612,8.729712,1.493168,32.513855,4.462008,0.526196
12,0.077198,0.015561,0.331660,3.688262,0.250000,0.750000,0.515761,33.953037,9.009462,1.493811,32.529343,4.590598,0.545576
13,0.007888,0.023867,0.385713,3.642347,0.250000,0.750000,0.549552,33.951797,9.194266,1.186910,32.536480,4.713243,0.537763
14,-0.004475,0.021379,0.241438,3.585033,0.250000,0.750000,0.583521,33.935490,9.334759,1.099056,32.544025,4.843597,0.570049
15,0.059635,0.016110,0.352444,3.552782,0.250000,0.750000,0.618191,33.920055,9.460772,1.009720,32.552559,4.975399,0.601611
16,-0.034419,0.013243,0.208206,3.533100,0.250000,0.750000,0.652990,33.891560,9.546402,0.677248,32.560688,5.115615,0.632130
17,-0.033848,0.016367,0.302791,3.503229,0.250000,0.750000,0.687153,33.855381,9.599677,0.654688,32.569786,5.260214,0.649417
18,0.060571,0.036921,0.256864,3.459703,0.250000,0.750000,0.720409,33.819958,9.655752,0.765544,32.579895,5.409922,0.673266
19,-0.068111,0.028078,0.247467,3.417717,0.250000,0.750000,0.752797,33.787212,9.704253,0.758473,32.594990,5.568267,0.670806
20,0.065325,0.134044,0.291676,3.375864,0.250000,0.750000,0.783891,33.751099,9.773805,0.893338,32.614826,5.736940,0.754582
21,0.040984,0.041928,0.292873,3.324807,0.250000,0.750000,0.813662,33.704784,9.848286,1.031381,32.631512,5.903206,0.712483
22,-0.055629,0.062470,0.152613,3.359840,0.250000,0.750000,0.843531,33.652267,9.909247,0.712894,32.649586,6.063845,0.715922
23,-0.028789,0.035840,0.358151,3.333450,0.250000,0.750000,0.872538,33.605755,9.975156,0.880130,32.669456,6.227014,0.730287
24,-0.022481,0.057591,0.222195,3.321883,0.250000,0.750000,0.901004,33.553261,10.025623,0.721985,32.689541,6.389920,0.710055
25,0.011382,0.091287,0.305915,3.333546,0.250000,0.750000,0.927543,33.494926,10.060052,0.631060,32.709682,6.540025,0.718727
26,0.058597,0.050698,0.256996,3.329814,0.250000,0.750000,0.953878,33.439518,10.099396,0.784922,32.729939,6.689540,0.746518
27,0.020909,0.028889,0.302800,3.385443,0.250000,0.750000,0.978978,33.385990,10.142393,0.661946,32.751083,6.846419,0.744019
28,0.004993,0.024121,0.330060,3.372433,0.250000,0.750000,1.002422,33.330181,10.176302,0.693827,32.773190,6.999106,0.725274
29,0.014863,0.067948,0.353202,3.465080,0.250000,0.750000,1.025009,33.270439,10.203207,0.587739,32.797653,7.155735,0.767356
30,0.040128,0.016270,0.291248,3.499363,0.250000,0.750000,1.047676,33.208355,10.232768,0.771435,32.820065,7.302821,0.745757
31,0.014592,0.013138,0.278495,3.643162,0.250000,0.750000,1.069555,33.154873,10.273956,0.688615,32.844032,7.446674,0.759664
32,0.007221,0.011282,0.300145,3.706952,0.250000,0.750000,1.090638,33.100662,10.305002,0.563847,32.868374,7.595723,0.763016
33,-0.060308,0.013143,0.311283,3.807151,0.250000,0.750000,1.110971,33.039005,10.335032,0.677150,32.895641,7.747838,0.771658
34,-0.106094,0.013783,0.279953,3.886566,0.250000,0.750000,1.130679,32.991241,10.385379,0.800425,32.918758,7.899652,0.817647
35,0.101443,0.004471,0.273515,4.020903,0.250000,0.750000,1.149353,32.940121,10.430836,0.668626,32.942650,8.048270,0.800606
36,0.013431,0.004339,0.318326,4.150100,0.250000,0.750000,1.166482,32.888996,10.467796,0.598024,32.968929,8.188690,0.773707
37,0.017432,0.004054,0.283823,4.354688,0.250000,0.750000,1.183647,32.834724,10.499451,0.587423,32.993008,8.327754,0.766537
38,0.026368,0.002462,0.400038,4.357198,0.250000,0.750000,1.200010,32.779186,10.534431,0.671699,33.019810,8.464825,0.775924
39,0.014562,0.010934,0.275255,4.434633,0.250000,0.750000,1.215693,32.717575,10.564128,0.583702,33.043102,8.597425,0.771284
40,-0.039642,0.008466,0.345023,4.622744,0.250000,0.750000,1.230657,32.658421,10.590672,0.621080,33.064106,8.724622,0.750565
41,-0.014136,0.007026,0.304724,4.944760,0.250000,0.750000,1.245230,32.599934,10.628675,0.635740,33.083443,8.835349,0.721613
42,0.018514,0.006421,0.318571,5.175632,0.250000,0.750000,1.259465,32.550446,10.651946,0.708858,33.099319,8.937623,0.693502
43,0.011781,0.008942,0.283454,5.284777,0.250000,0.750000,1.273387,32.501240,10.697964,0.937520,33.115635,9.039497,0.697044
44,0.010617,0.002413,0.282306,5.602692,0.250000,0.750000,1.286726,32.455410,10.749884,0.641486,33.129925,9.139222,0.727126
45,0.038999,0.014975,0.278931,5.717253,0.250000,0.750000,1.299389,32.398449,10.780107,0.539840,33.145061,9.240933,0.698071
46,-0.007944,0.007768,0.283200,6.000952,0.250000,0.750000,1.311382,32.346588,10.807337,0.514865,33.161613,9.344145,0.689424
47,0.022830,0.010339,0.226802,6.102632,0.250000,0.750000,1.322875,32.294323,10.823175,0.436612,33.172905,9.434665,0.682382
48,-0.007306,0.009305,0.241665,6.223066,0.250000,0.750000,1.334039,32.241043,10.833101,0.375589,33.188854,9.530056,0.686181
49,-0.044571,0.006600,0.247784,6.510905,0.250000,0.750000,1.344994,32.178802,10.850651,0.444225,33.202583,9.620508,0.724116
50,-0.012714,0.057101,0.326850,6.872251,0.250000,0.750000,1.355892,32.115318,10.861197,0.377388,33.213291,9.703858,0.667400
