epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.017016,0.733162,1.382202,2.672899,0.250000,0.750000,0.114288,32.173077,3.260167,3.260167,32.051083,1.060788,1.060788
2,0.000968,0.616420,0.289628,3.160577,0.250000,0.750000,0.129059,32.307236,4.645281,1.518781,32.064030,1.502779,0.507409
3,0.021196,0.020718,0.041154,3.177851,0.250000,0.750000,0.144604,32.403606,5.466940,0.878813,32.073265,1.782537,0.329448
4,0.008680,0.007972,0.028343,3.146553,0.250000,0.750000,0.160984,32.464508,5.977473,0.551156,32.079487,1.979406,0.263820
5,-0.002621,0.006193,0.057219,3.107045,0.250000,0.750000,0.177755,32.502037,6.317856,0.480924,32.085625,2.137801,0.263407
6,0.094228,0.008991,0.809959,2.903629,0.250000,0.750000,0.192695,32.512314,6.504313,0.295396,32.089447,2.230413,0.297513
7,0.037205,0.008419,0.032168,2.985600,0.250000,0.750000,0.207444,32.509407,6.619540,0.223675,32.092873,2.317550,0.239624
8,0.011694,0.009140,0.021642,2.978587,0.250000,0.750000,0.222707,32.498306,6.692621,0.143617,32.095238,2.393715,0.177629
9,0.087061,0.019103,0.019372,2.952504,0.250000,0.750000,0.238994,32.481892,6.737998,0.093629,32.096119,2.455950,0.136843
10,-0.048887,0.007868,0.040258,2.957165,0.250000,0.750000,0.256057,32.462677,6.766726,0.077337,32.097706,2.518259,0.169232
11,0.005855,0.003358,0.030588,2.979679,0.250000,0.750000,0.273679,32.443279,6.786872,0.090436,32.099949,2.580646,0.294300
12,-0.041336,0.003307,0.268366,2.970539,0.250000,0.750000,0.291078,32.430462,6.803274,0.146336,32.103733,2.651803,0.364341
13,-0.009415,0.003385,0.180410,2.966066,0.250000,0.750000,0.307649,32.427723,6.824429,0.265798,32.114914,2.773374,0.470597
14,0.086902,0.005785,0.105542,3.042620,0.250000,0.750000,0.323525,32.457733,6.853570,0.397083,32.139542,2.971564,0.575352
15,0.036536,0.003471,0.905435,2.910855,0.250000,0.750000,0.337891,32.506935,6.895005,0.553966,32.173122,3.214676,0.609720
16,0.001601,0.001668,0.555567,3.002100,0.250000,0.750000,0.351951,32.596523,6.958300,0.517531,32.218685,3.472528,0.680469
17,-0.002589,0.001268,0.472885,2.921926,0.250000,0.750000,0.365904,32.769009,7.076891,0.746284,32.283333,3.752984,0.705554
18,0.014955,0.000929,0.572054,2.889000,0.250000,0.750000,0.378754,32.973549,7.230910,0.683825,32.357136,4.020527,0.601475
19,0.010702,0.001244,0.278191,2.922185,0.250000,0.750000,0.391997,33.198143,7.427746,0.747687,32.431820,4.246192,0.514990
20,-0.001159,0.001158,0.372450,2.936547,0.250000,0.750000,0.406151,33.429653,7.683096,0.865384,32.505627,4.435208,0.465124
21,0.110930,0.001236,0.274841,2.928188,0.250000,0.750000,0.420862,33.628559,7.966150,0.901735,32.568489,4.597417,0.430331
22,0.015873,0.001225,0.150757,2.968820,0.250000,0.750000,0.435999,33.776333,8.235221,1.003495,32.615162,4.726191,0.401532
23,0.004258,0.001282,0.247225,2.959294,0.250000,0.750000,0.451526,33.885910,8.509747,1.126169,32.649929,4.843998,0.454772
24,-0.016698,0.001462,0.269000,2.964508,0.250000,0.750000,0.467150,33.956146,8.797604,1.307794,32.676674,4.956766,0.472965
25,-0.018215,0.001532,0.423239,2.981540,0.250000,0.750000,0.482582,34.019493,9.095528,1.145952,32.697659,5.064502,0.483117
26,0.018521,0.001068,0.226109,2.987999,0.250000,0.750000,0.498193,34.085865,9.387721,1.195652,32.715439,5.169556,0.434375
27,-0.013433,0.000932,0.153394,2.997210,0.250000,0.750000,0.514142,34.144020,9.659232,0.974354,32.730625,5.272880,0.447964
28,-0.013968,0.001354,0.314462,2.988795,0.250000,0.750000,0.529667,34.191036,9.881351,0.790491,32.743031,5.366920,0.413895
29,0.014480,0.001327,0.356775,3.007026,0.250000,0.750000,0.545023,34.220295,10.045093,0.648993,32.752857,5.454761,0.388835
30,-0.238547,0.002375,0.316522,3.009243,0.250000,0.750000,0.560256,34.238113,10.169178,0.711972,32.761002,5.534836,0.408821
31,-0.008889,0.001189,0.211255,3.016971,0.250000,0.750000,0.575577,34.253098,10.283240,0.713248,32.769482,5.616833,0.443493
32,0.031067,0.002053,0.188160,2.997190,0.250000,0.750000,0.590898,34.268650,10.414559,1.026528,32.779484,5.705423,0.452977
33,0.051229,0.001467,0.351386,2.999019,0.250000,0.750000,0.605740,34.286743,10.571086,1.129785,32.790184,5.788348,0.425382
34,0.000505,0.003373,0.238044,3.002965,0.250000,0.750000,0.620685,34.306877,10.736028,0.918301,32.799915,5.872778,0.423483
35,-0.077528,0.002539,0.296435,3.000137,0.250000,0.750000,0.635781,34.322712,10.872822,0.767309,32.808952,5.949317,0.410684
36,-0.062571,0.002696,0.207501,3.004096,0.250000,0.750000,0.651105,34.339066,11.001527,0.711800,32.817081,6.023019,0.396935
37,0.108346,0.002074,0.280028,3.002389,0.250000,0.750000,0.666243,34.343945,11.101470,0.575269,32.824741,6.096664,0.382467
38,-0.018452,0.001792,0.302852,2.974459,0.250000,0.750000,0.680986,34.340061,11.171646,0.447206,32.833488,6.169046,0.381837
39,-0.004095,0.002216,0.194749,2.979931,0.250000,0.750000,0.695653,34.326881,11.213362,0.315211,32.842281,6.236985,0.391942
40,-0.042116,0.002945,0.149561,3.015252,0.250000,0.750000,0.710544,34.308563,11.235811,0.291095,32.852272,6.310448,0.378330
41,0.037416,0.003351,0.135819,3.028779,0.250000,0.750000,0.725551,34.290775,11.254214,0.332663,32.861408,6.380718,0.377540
42,0.051623,0.002673,0.280740,2.989568,0.250000,0.750000,0.740361,34.273746,11.276823,0.396851,32.873127,6.461528,0.412541
43,0.011880,0.004165,0.314590,3.006156,0.250000,0.750000,0.755137,34.255608,11.298239,0.390089,32.885323,6.541965,0.436493
