epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.011556,0.844307,0.540423,3.260275,0.250000,0.750000,0.130351,32.317768,4.865923,4.865923,32.064266,1.579467,1.579467
2,-0.048713,0.125791,0.075608,3.534773,0.250000,0.750000,0.164691,32.467598,6.165705,1.493376,32.088192,2.095147,0.732066
3,-0.019796,0.006364,0.621180,3.618126,0.250000,0.750000,0.199814,32.504490,6.622308,0.806526,32.101185,2.377943,0.668324
4,0.152302,0.004464,0.466512,3.705302,0.250000,0.750000,0.235452,32.567383,6.917685,0.916583,32.114338,2.617485,0.718868
5,0.066496,0.002878,0.511608,3.643935,0.250000,0.750000,0.268880,32.732586,7.163770,0.948359,32.165291,2.902592,0.822590
6,-0.063231,0.006854,0.879217,3.670069,0.250000,0.750000,0.301377,33.048378,7.394619,1.123012,32.260750,3.226967,0.840842
7,0.007472,0.008517,0.828471,3.677023,0.250000,0.750000,0.332073,33.418652,7.714328,1.166844,32.364265,3.489411,0.648640
8,-0.036562,0.006108,0.882741,3.672949,0.250000,0.750000,0.363602,33.824078,8.156097,1.235291,32.471596,3.743585,0.610453
9,0.111983,0.005418,0.597786,3.670506,0.250000,0.750000,0.396195,34.104553,8.578158,1.341625,32.547443,3.955166,0.542187
10,0.008230,0.019467,0.322044,3.677900,0.250000,0.750000,0.431605,34.223942,8.894252,1.453872,32.582340,4.110714,0.507287
11,-0.002137,0.006102,0.436514,3.653398,0.250000,0.750000,0.467907,34.269142,9.176946,1.588646,32.597374,4.248392,0.540012
12,-0.020539,0.007640,0.245253,3.614778,0.250000,0.750000,0.504524,34.278282,9.393760,1.171291,32.606056,4.381354,0.556370
13,-0.063020,0.008274,0.331326,3.571324,0.250000,0.750000,0.540364,34.267578,9.543141,0.962310,32.610367,4.507581,0.553627
14,0.077418,0.012271,0.218202,3.527042,0.250000,0.750000,0.576967,34.255138,9.665308,0.976969,32.614483,4.641859,0.579207
15,-0.011770,0.023789,0.302449,3.453470,0.250000,0.750000,0.611501,34.236656,9.758198,0.817752,32.621948,4.781981,0.593915
16,-0.044090,0.047621,0.199129,3.421805,0.250000,0.750000,0.645719,34.203720,9.823915,0.801140,32.628281,4.922236,0.610676
17,0.011453,0.003320,0.302829,3.388905,0.250000,0.750000,0.679505,34.167061,9.891260,0.917604,32.636440,5.063649,0.634731
18,-0.015629,0.006421,0.231651,3.332274,0.250000,0.750000,0.713229,34.120777,9.941441,0.867543,32.648952,5.224711,0.681634
19,-0.021528,0.007504,0.205721,3.321967,0.250000,0.750000,0.746843,34.079472,9.983968,0.715627,32.659363,5.369288,0.670875
20,0.015292,0.004351,0.295128,3.294663,0.250000,0.750000,0.779542,34.053150,10.068025,1.050378,32.672878,5.543628,0.720540
21,0.020962,0.002900,0.196516,3.264950,0.250000,0.750000,0.811257,34.024117,10.158903,0.927757,32.689400,5.709454,0.723705
22,-0.013122,0.003948,0.236704,3.240939,0.250000,0.750000,0.841825,33.982300,10.216520,0.735095,32.703697,5.876156,0.682893
23,0.119764,0.002997,0.239794,3.233940,0.250000,0.750000,0.871362,33.942314,10.261755,0.715206,32.718010,6.042737,0.709402
24,-0.004305,0.003524,0.232654,3.221730,0.250000,0.750000,0.899879,33.897427,10.298644,0.690737,32.734196,6.210915,0.724071
25,0.017066,0.003721,0.215110,3.245571,0.250000,0.750000,0.927776,33.837879,10.328004,0.840848,32.753311,6.378626,0.754555
