Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,8.0000
Entertainment,0.0000,0.0000,0.0000,5.0000
Food,0.0000,0.0000,0.0000,17.0000
Nightlife,0.0000,0.0000,0.0000,6.0000
Outdoors,0.0000,0.0000,0.0000,4.0000
Shopping,0.0000,0.0000,0.0000,19.0000
Travel,0.4485,0.4652,0.4567,187.0000
None,0.3333,0.5000,0.4000,6.0000
Unknown-8,0.2667,0.2353,0.2500,17.0000
Unknown-9,0.0000,0.0000,0.0000,0.0000
Unknown-10,0.0000,0.0000,0.0000,4.0000
Unknown-11,0.4634,0.3725,0.4130,51.0000
Unknown-12,0.3175,0.3540,0.3347,113.0000
Unknown-13,0.0000,0.0000,0.0000,3.0000
Unknown-14,0.0000,0.0000,0.0000,2.0000
Unknown-15,0.0000,0.0000,0.0000,0.0000
Unknown-16,0.0625,0.0385,0.0476,26.0000
Unknown-17,0.1111,0.2000,0.1429,5.0000
Unknown-18,0.4045,0.4138,0.4091,87.0000
Unknown-19,0.1429,0.1667,0.1538,12.0000
Unknown-20,0.7619,0.5794,0.6582,359.0000
Unknown-21,0.6009,0.6598,0.6290,194.0000
Unknown-22,0.5312,0.6071,0.5667,28.0000
Unknown-23,0.3214,0.3103,0.3158,58.0000
Unknown-25,0.5152,0.6296,0.5667,27.0000
Unknown-26,0.1765,0.1667,0.1714,18.0000
Unknown-27,0.4545,0.5556,0.5000,9.0000
Unknown-28,0.0000,0.0000,0.0000,1.0000
Unknown-29,0.6000,0.7500,0.6667,8.0000
Unknown-31,0.6667,1.0000,0.8000,2.0000
Unknown-33,0.4000,0.1538,0.2222,13.0000
Unknown-34,0.0000,0.0000,0.0000,4.0000
Unknown-35,0.0000,0.0000,0.0000,67.0000
Unknown-36,0.3421,0.2500,0.2889,52.0000
Unknown-37,0.1429,0.3333,0.2000,3.0000
Unknown-38,1.0000,0.3333,0.5000,3.0000
Unknown-39,0.3500,0.4516,0.3944,31.0000
Unknown-40,0.7500,0.8276,0.7869,29.0000
Unknown-41,0.0000,0.0000,0.0000,1.0000
Unknown-42,0.0000,0.0000,0.0000,3.0000
Unknown-43,0.0000,0.0000,0.0000,8.0000
Unknown-44,0.0000,0.0000,0.0000,5.0000
Unknown-45,0.3276,0.3725,0.3486,51.0000
Unknown-46,0.5000,0.1667,0.2500,6.0000
Unknown-47,1.0000,0.5000,0.6667,2.0000
Unknown-48,0.5625,0.2727,0.3673,33.0000
Unknown-49,0.2500,0.1481,0.1860,27.0000
Unknown-50,0.4138,0.5333,0.4660,45.0000
Unknown-51,0.0000,0.0000,0.0000,2.0000
Unknown-53,0.0000,0.0000,0.0000,4.0000
Unknown-54,0.0000,0.0000,0.0000,1.0000
Unknown-55,0.0000,0.0000,0.0000,1.0000
Unknown-56,0.3000,0.2727,0.2857,11.0000
Unknown-57,0.0000,0.0000,0.0000,12.0000
Unknown-58,0.2105,0.3077,0.2500,13.0000
Unknown-59,0.5000,0.6154,0.5517,13.0000
Unknown-60,0.0000,0.0000,0.0000,2.0000
Unknown-61,0.5455,0.5000,0.5217,36.0000
Unknown-62,0.1000,0.1250,0.1111,8.0000
Unknown-63,0.0000,0.0000,0.0000,3.0000
Unknown-64,0.0000,0.0000,0.0000,3.0000
Unknown-65,0.0667,0.3333,0.1111,6.0000
Unknown-66,0.7500,0.7500,0.7500,4.0000
Unknown-68,0.0000,0.0000,0.0000,1.0000
Unknown-69,0.0000,0.0000,0.0000,5.0000
Unknown-70,0.3333,0.2000,0.2500,5.0000
Unknown-71,0.0000,0.0000,0.0000,1.0000
Unknown-73,0.0455,0.0714,0.0556,14.0000
Unknown-74,0.0000,0.0000,0.0000,0.0000
Unknown-75,0.1111,0.2222,0.1481,9.0000
Unknown-77,0.0000,0.0000,0.0000,0.0000
Unknown-78,0.0000,0.0000,0.0000,0.0000
Unknown-79,0.0000,0.0000,0.0000,4.0000
Unknown-80,0.0000,0.0000,0.0000,1.0000
Unknown-81,0.0000,0.0000,0.0000,15.0000
Unknown-82,0.6800,0.5000,0.5763,34.0000
Unknown-83,0.2143,0.2727,0.2400,11.0000
Unknown-84,0.0000,0.0000,0.0000,15.0000
Unknown-85,0.4211,0.3810,0.4000,21.0000
Unknown-86,0.2222,0.2000,0.2105,10.0000
Unknown-87,0.4500,0.4091,0.4286,22.0000
Unknown-88,0.0000,0.0000,0.0000,0.0000
Unknown-89,0.4333,0.5652,0.4906,23.0000
Unknown-90,0.4615,0.5455,0.5000,11.0000
Unknown-91,0.1667,0.2000,0.1818,5.0000
Unknown-92,0.0000,0.0000,0.0000,1.0000
Unknown-93,0.1429,0.1429,0.1429,14.0000
Unknown-94,0.0000,0.0000,0.0000,3.0000
Unknown-95,0.0000,0.0000,0.0000,1.0000
Unknown-96,0.0000,0.0000,0.0000,2.0000
Unknown-97,0.2778,0.2273,0.2500,22.0000
Unknown-98,0.0000,0.0000,0.0000,5.0000
Unknown-99,0.6000,0.4286,0.5000,7.0000
Unknown-100,0.3125,0.4167,0.3571,12.0000
Unknown-101,0.4200,0.6000,0.4941,35.0000
Unknown-102,0.0000,0.0000,0.0000,1.0000
Unknown-103,0.2857,0.2222,0.2500,18.0000
Unknown-105,0.3014,0.3438,0.3212,64.0000
Unknown-107,0.0000,0.0000,0.0000,6.0000
Unknown-108,0.0000,0.0000,0.0000,3.0000
Unknown-110,0.0000,0.0000,0.0000,2.0000
Unknown-112,0.0000,0.0000,0.0000,1.0000
Unknown-113,0.0000,0.0000,0.0000,3.0000
Unknown-114,0.3404,0.4211,0.3765,38.0000
Unknown-115,0.0000,0.0000,0.0000,2.0000
Unknown-116,0.0000,0.0000,0.0000,2.0000
Unknown-117,0.0000,0.0000,0.0000,5.0000
Unknown-118,0.1250,0.0833,0.1000,12.0000
Unknown-119,0.0000,0.0000,0.0000,0.0000
Unknown-120,0.0000,0.0000,0.0000,17.0000
Unknown-121,0.0000,0.0000,0.0000,16.0000
Unknown-122,0.0000,0.0000,0.0000,1.0000
Unknown-123,0.0000,0.0000,0.0000,3.0000
Unknown-124,0.0000,0.0000,0.0000,2.0000
Unknown-125,0.0000,0.0000,0.0000,0.0000
Unknown-126,0.1304,0.7500,0.2222,4.0000
Unknown-127,0.0000,0.0000,0.0000,7.0000
Unknown-128,0.0000,0.0000,0.0000,5.0000
Unknown-129,0.0000,0.0000,0.0000,4.0000
Unknown-131,0.0000,0.0000,0.0000,1.0000
Unknown-132,0.0833,0.1250,0.1000,16.0000
Unknown-133,0.0625,0.0909,0.0741,11.0000
Unknown-134,0.2353,0.5000,0.3200,8.0000
Unknown-135,0.0000,0.0000,0.0000,3.0000
Unknown-136,0.2000,1.0000,0.3333,1.0000
Unknown-137,0.2500,0.2222,0.2353,9.0000
Unknown-138,0.2000,0.2609,0.2264,23.0000
Unknown-139,0.0000,0.0000,0.0000,0.0000
Unknown-140,0.1429,0.1429,0.1429,7.0000
Unknown-142,0.0000,0.0000,0.0000,3.0000
Unknown-143,0.0000,0.0000,0.0000,2.0000
Unknown-144,0.0000,0.0000,0.0000,1.0000
Unknown-145,0.7143,0.7143,0.7143,7.0000
Unknown-146,0.0000,0.0000,0.0000,10.0000
Unknown-147,0.0000,0.0000,0.0000,0.0000
Unknown-148,0.0000,0.0000,0.0000,1.0000
Unknown-149,0.0000,0.0000,0.0000,2.0000
Unknown-150,0.1364,0.1875,0.1579,16.0000
Unknown-151,0.0000,0.0000,0.0000,8.0000
Unknown-152,0.1429,0.0833,0.1053,12.0000
Unknown-153,0.0000,0.0000,0.0000,12.0000
Unknown-155,0.5714,0.6667,0.6154,6.0000
Unknown-156,0.0000,0.0000,0.0000,5.0000
Unknown-157,0.0000,0.0000,0.0000,6.0000
Unknown-158,0.0000,0.0000,0.0000,1.0000
Unknown-159,0.0000,0.0000,0.0000,4.0000
Unknown-160,0.1000,0.0667,0.0800,15.0000
Unknown-161,0.0000,0.0000,0.0000,5.0000
Unknown-162,0.3600,0.3750,0.3673,48.0000
Unknown-163,0.0000,0.0000,0.0000,5.0000
Unknown-165,0.1176,0.1538,0.1333,13.0000
Unknown-166,0.0000,0.0000,0.0000,1.0000
Unknown-167,0.0000,0.0000,0.0000,2.0000
Unknown-168,0.0000,0.0000,0.0000,0.0000
Unknown-171,0.0000,0.0000,0.0000,0.0000
Unknown-174,0.0000,0.0000,0.0000,5.0000
Unknown-175,0.0000,0.0000,0.0000,1.0000
Unknown-176,0.0000,0.0000,0.0000,9.0000
Unknown-177,0.0000,0.0000,0.0000,1.0000
Unknown-178,0.0000,0.0000,0.0000,0.0000
Unknown-179,0.2500,0.2000,0.2222,5.0000
Unknown-180,0.0000,0.0000,0.0000,2.0000
Unknown-182,0.3333,0.1667,0.2222,6.0000
Unknown-184,0.2195,0.2045,0.2118,44.0000
Unknown-185,0.0000,0.0000,0.0000,0.0000
Unknown-186,0.0000,0.0000,0.0000,1.0000
Unknown-187,0.2500,0.1818,0.2105,22.0000
Unknown-188,0.0000,0.0000,0.0000,5.0000
Unknown-189,0.7500,0.3600,0.4865,25.0000
Unknown-190,0.4684,0.4568,0.4625,81.0000
Unknown-191,0.0000,0.0000,0.0000,1.0000
Unknown-192,0.0000,0.0000,0.0000,3.0000
Unknown-193,0.0000,0.0000,0.0000,2.0000
Unknown-195,0.0000,0.0000,0.0000,8.0000
Unknown-196,0.0000,0.0000,0.0000,6.0000
Unknown-198,0.3333,0.3000,0.3158,10.0000
Unknown-199,0.0000,0.0000,0.0000,2.0000
Unknown-200,0.0000,0.0000,0.0000,4.0000
Unknown-201,0.0000,0.0000,0.0000,2.0000
Unknown-202,0.0000,0.0000,0.0000,3.0000
Unknown-204,0.1429,0.1667,0.1538,6.0000
Unknown-205,0.0357,0.1667,0.0588,6.0000
Unknown-206,0.0000,0.0000,0.0000,15.0000
Unknown-208,0.0000,0.0000,0.0000,8.0000
Unknown-211,0.0000,0.0000,0.0000,1.0000
Unknown-213,0.0000,0.0000,0.0000,0.0000
Unknown-214,0.1250,0.1200,0.1224,25.0000
Unknown-215,0.1667,0.1111,0.1333,9.0000
Unknown-216,0.0000,0.0000,0.0000,2.0000
Unknown-217,0.0000,0.0000,0.0000,2.0000
Unknown-218,0.0000,0.0000,0.0000,5.0000
Unknown-219,0.0000,0.0000,0.0000,1.0000
Unknown-220,0.2500,0.2727,0.2609,11.0000
Unknown-221,0.0000,0.0000,0.0000,1.0000
Unknown-222,0.1250,0.1667,0.1429,6.0000
Unknown-223,0.3333,0.5000,0.4000,2.0000
Unknown-225,0.0000,0.0000,0.0000,2.0000
Unknown-226,0.0000,0.0000,0.0000,2.0000
Unknown-227,0.0000,0.0000,0.0000,3.0000
Unknown-228,0.0000,0.0000,0.0000,5.0000
Unknown-229,0.5000,0.3333,0.4000,3.0000
Unknown-231,0.0000,0.0000,0.0000,1.0000
Unknown-233,0.0000,0.0000,0.0000,2.0000
Unknown-235,0.0625,0.0833,0.0714,12.0000
Unknown-236,0.0000,0.0000,0.0000,1.0000
Unknown-237,0.0000,0.0000,0.0000,1.0000
Unknown-240,0.4000,0.5000,0.4444,4.0000
Unknown-241,0.0000,0.0000,0.0000,24.0000
Unknown-243,0.2778,0.3125,0.2941,16.0000
Unknown-244,0.1667,0.2000,0.1818,5.0000
Unknown-249,0.0000,0.0000,0.0000,2.0000
Unknown-250,0.2222,0.2222,0.2222,9.0000
Unknown-251,0.0000,0.0000,0.0000,5.0000
Unknown-252,0.0000,0.0000,0.0000,0.0000
Unknown-253,0.0000,0.0000,0.0000,5.0000
Unknown-254,0.0000,0.0000,0.0000,12.0000
Unknown-255,0.3182,0.3684,0.3415,19.0000
Unknown-256,0.0000,0.0000,0.0000,1.0000
Unknown-257,0.3824,0.4062,0.3939,32.0000
Unknown-258,0.0000,0.0000,0.0000,0.0000
Unknown-259,0.5714,0.4211,0.4848,19.0000
Unknown-260,0.2500,0.1667,0.2000,6.0000
Unknown-261,0.0000,0.0000,0.0000,2.0000
Unknown-263,0.0000,0.0000,0.0000,1.0000
Unknown-264,0.0000,0.0000,0.0000,20.0000
Unknown-265,0.2000,1.0000,0.3333,1.0000
Unknown-266,0.1667,0.1429,0.1538,7.0000
Unknown-268,0.2000,0.2500,0.2222,8.0000
Unknown-270,0.3333,1.0000,0.5000,1.0000
Unknown-272,0.0000,0.0000,0.0000,8.0000
Unknown-273,0.0000,0.0000,0.0000,3.0000
Unknown-274,0.0000,0.0000,0.0000,5.0000
Unknown-275,0.2963,0.4444,0.3556,18.0000
Unknown-276,0.0000,0.0000,0.0000,0.0000
Unknown-277,0.0000,0.0000,0.0000,2.0000
Unknown-279,0.0000,0.0000,0.0000,1.0000
Unknown-280,0.0000,0.0000,0.0000,4.0000
Unknown-281,0.1429,0.1667,0.1538,6.0000
Unknown-282,0.1111,0.1250,0.1176,8.0000
Unknown-283,0.0000,0.0000,0.0000,0.0000
Unknown-284,0.1667,0.1481,0.1569,27.0000
Unknown-285,0.0000,0.0000,0.0000,3.0000
Unknown-286,0.0000,0.0000,0.0000,10.0000
Unknown-288,0.0000,0.0000,0.0000,1.0000
Unknown-289,0.0000,0.0000,0.0000,2.0000
Unknown-290,0.0000,0.0000,0.0000,1.0000
Unknown-291,0.2500,0.1667,0.2000,6.0000
Unknown-292,1.0000,0.3333,0.5000,3.0000
Unknown-293,0.0000,0.0000,0.0000,5.0000
Unknown-294,0.0000,0.0000,0.0000,0.0000
Unknown-295,0.0000,0.0000,0.0000,2.0000
Unknown-296,0.0000,0.0000,0.0000,9.0000
Unknown-297,0.0000,0.0000,0.0000,7.0000
Unknown-298,0.0000,0.0000,0.0000,1.0000
Unknown-299,0.0714,0.0588,0.0645,17.0000
Unknown-300,0.0000,0.0000,0.0000,0.0000
Unknown-301,0.0000,0.0000,0.0000,2.0000
Unknown-302,0.0000,0.0000,0.0000,3.0000
Unknown-303,0.1111,0.1250,0.1176,8.0000
Unknown-304,0.0000,0.0000,0.0000,3.0000
Unknown-305,0.0000,0.0000,0.0000,1.0000
Unknown-306,0.0000,0.0000,0.0000,5.0000
