Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 151.66
Entertainment,0.75 ± 1.69,1.03 ± 2.29,0.87 ± 1.94,2080.00 ± 1480.54
Food,5.64 ± 6.50,7.95 ± 8.84,6.55 ± 7.46,1260.00 ± 296.65
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 258.84
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 454.97
Shopping,3.16 ± 7.06,5.45 ± 12.20,4.00 ± 8.94,1480.00 ± 664.83
Travel,42.20 ± 9.26,44.82 ± 9.26,43.42 ± 9.19,13960.00 ± 3293.63
None,19.48 ± 17.96,19.80 ± 21.58,18.98 ± 18.63,1240.00 ± 1250.20
Unknown-8,24.83 ± 14.63,24.29 ± 14.16,24.41 ± 14.09,1320.00 ± 576.19
Unknown-10,26.50 ± 41.97,13.00 ± 12.04,14.19 ± 14.45,400.00 ± 122.47
Unknown-11,40.77 ± 9.57,38.52 ± 10.94,39.43 ± 9.91,5920.00 ± 2854.30
Unknown-12,34.92 ± 2.90,35.99 ± 3.59,35.37 ± 2.65,10100.00 ± 1467.99
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 130.38
Unknown-14,2.86 ± 6.39,6.67 ± 14.91,4.00 ± 8.94,140.00 ± 134.16
Unknown-15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-16,17.99 ± 11.22,18.54 ± 13.68,18.04 ± 12.37,2960.00 ± 568.33
Unknown-17,19.49 ± 22.61,20.67 ± 21.65,19.81 ± 22.09,480.00 ± 432.43
Unknown-18,36.38 ± 8.68,36.88 ± 10.84,36.57 ± 9.72,7880.00 ± 1672.42
Unknown-19,42.47 ± 16.97,41.50 ± 16.18,41.61 ± 15.82,2820.00 ± 1342.39
Unknown-20,74.01 ± 3.41,55.67 ± 4.80,63.51 ± 4.30,39240.00 ± 5201.73
Unknown-21,37.76 ± 24.48,38.64 ± 25.67,38.17 ± 25.00,12280.00 ± 5866.60
Unknown-22,38.57 ± 16.90,48.72 ± 14.64,42.41 ± 15.60,3300.00 ± 1816.59
Unknown-23,37.78 ± 6.96,37.76 ± 4.48,37.64 ± 5.23,4780.00 ± 970.57
Unknown-25,34.23 ± 9.75,42.26 ± 13.98,37.62 ± 11.39,1920.00 ± 722.50
Unknown-26,25.26 ± 21.84,23.69 ± 20.68,24.42 ± 21.18,1160.00 ± 716.24
Unknown-27,28.92 ± 19.86,34.25 ± 18.49,30.98 ± 18.89,960.00 ± 444.97
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-29,48.94 ± 12.15,55.54 ± 12.78,51.52 ± 11.25,880.00 ± 130.38
Unknown-31,25.00 ± 31.91,50.00 ± 57.74,32.50 ± 39.48,225.00 ± 263.00
