epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.006620,0.722981,1.357633,2.819029,0.250000,0.750000,0.114138,32.127174,3.307798,3.307798,32.028030,1.096243,1.096243
2,0.059503,0.549533,0.090532,3.242281,0.250000,0.750000,0.128899,32.256096,4.675316,1.490043,32.043289,1.555027,0.518438
3,0.003387,0.009600,0.029517,3.186628,0.250000,0.750000,0.144550,32.349495,5.483502,0.858884,32.053719,1.841280,0.326995
4,0.020964,0.005560,0.024605,3.136228,0.250000,0.750000,0.160812,32.408707,5.986043,0.541090,32.060432,2.039866,0.258796
5,0.072221,0.004830,0.051498,2.947495,0.250000,0.750000,0.177078,32.444229,6.320021,0.509521,32.066345,2.194419,0.272790
6,0.081159,0.004832,0.489143,2.999430,0.250000,0.750000,0.191870,32.452789,6.504537,0.352623,32.071754,2.319452,0.389802
7,-0.031492,0.005600,0.068161,2.999627,0.250000,0.750000,0.206852,32.452045,6.635975,0.252716,32.077240,2.453247,0.302207
8,0.152668,0.010791,0.104369,3.020095,0.250000,0.750000,0.222488,32.448318,6.720878,0.199140,32.082199,2.587090,0.311200
9,0.002922,0.004129,0.040283,3.042960,0.250000,0.750000,0.238425,32.442139,6.776073,0.207303,32.087463,2.698481,0.325001
10,-0.031099,0.002288,0.111008,2.991488,0.250000,0.750000,0.253912,32.432751,6.819424,0.233471,32.092316,2.786247,0.333066
11,0.085843,0.002305,0.311127,2.987750,0.250000,0.750000,0.268857,32.422058,6.862257,0.277167,32.096272,2.872390,0.296403
12,-0.093055,0.002412,0.133439,2.999658,0.250000,0.750000,0.284281,32.428631,6.889036,0.356967,32.103912,2.945565,0.359570
13,-0.122513,0.002836,0.287177,2.983517,0.250000,0.750000,0.299975,32.465443,6.922240,0.449638,32.120426,3.034119,0.421770
14,0.005392,0.002879,0.361661,2.964121,0.250000,0.750000,0.315347,32.539371,6.976611,0.518876,32.153362,3.165428,0.494666
15,-0.101239,0.003232,0.507017,2.978720,0.250000,0.750000,0.329943,32.608131,7.027644,0.426238,32.189198,3.317563,0.436279
16,0.006903,0.002931,0.708830,2.973917,0.250000,0.750000,0.344211,32.680996,7.080285,0.441769,32.224941,3.453108,0.412381
17,0.051345,0.003852,0.348606,3.017987,0.250000,0.750000,0.359207,32.785019,7.158070,0.457399,32.264214,3.583525,0.467987
18,0.000419,0.004600,0.285904,2.976766,0.250000,0.750000,0.374249,32.933147,7.278184,0.580481,32.312969,3.727579,0.484946
19,0.143308,0.006042,0.900698,2.954686,0.250000,0.750000,0.387730,33.073059,7.419619,0.591342,32.359035,3.868094,0.390372
20,0.190752,1.098603,0.401572,3.045684,0.250000,0.750000,0.402009,33.193039,7.606376,1.076617,32.398926,4.006902,0.434293
21,-0.020390,0.013614,0.337472,3.041200,0.250000,0.750000,0.417167,33.299072,7.847798,1.033395,32.430393,4.140918,0.397735
22,-0.027832,0.004872,0.438325,3.059699,0.250000,0.750000,0.432163,33.375488,8.081182,0.916441,32.453957,4.262641,0.380848
23,0.138321,0.150990,0.180676,3.110887,0.250000,0.750000,0.447347,33.426250,8.275095,0.741224,32.471676,4.366300,0.370161
24,0.045458,0.005792,0.680156,3.111127,0.250000,0.750000,0.462351,33.459091,8.432177,0.615677,32.483410,4.455115,0.342438
25,0.034188,0.004928,0.318445,3.109277,0.250000,0.750000,0.476922,33.474613,8.553433,0.508718,32.493080,4.542366,0.333943
26,0.010207,0.011294,0.349419,3.136566,0.250000,0.750000,0.491420,33.478577,8.646473,0.454658,32.500465,4.624162,0.354993
27,-0.020329,0.009912,0.246763,3.160216,0.250000,0.750000,0.506710,33.476147,8.717268,0.410845,32.507030,4.702642,0.369462
28,0.020664,0.009195,0.234844,3.175697,0.250000,0.750000,0.522762,33.472958,8.777915,0.461160,32.513626,4.780137,0.374985
29,-0.051517,0.009175,0.283499,3.141578,0.250000,0.750000,0.538903,33.468220,8.840494,0.602777,32.519844,4.856691,0.377448
30,0.007562,0.016003,0.254513,3.132691,0.250000,0.750000,0.554688,33.458706,8.899855,0.519433,32.528767,4.941229,0.392708
31,0.019300,0.010433,0.124250,3.143764,0.250000,0.750000,0.570709,33.448189,8.949567,0.435800,32.537018,5.023440,0.398559
32,-0.028642,0.018165,0.152743,3.155059,0.250000,0.750000,0.586779,33.437878,8.996946,0.485060,32.544609,5.110279,0.397506
33,-0.008171,0.017813,0.249447,3.149226,0.250000,0.750000,0.602862,33.427673,9.042080,0.473508,32.553444,5.198157,0.396643
34,0.003517,0.010808,0.297805,3.152516,0.250000,0.750000,0.618649,33.419510,9.086357,0.435380,32.560699,5.280648,0.371337
35,-0.035338,0.011000,0.278192,3.147795,0.250000,0.750000,0.634403,33.408173,9.123592,0.394666,32.569111,5.359658,0.359589
36,-0.034194,0.009111,0.357887,3.153657,0.250000,0.750000,0.649909,33.392048,9.153881,0.398265,32.577980,5.441932,0.381526
37,-0.036360,0.009783,0.219784,3.161570,0.250000,0.750000,0.665204,33.371609,9.175793,0.513644,32.588642,5.530660,0.397301
38,0.114213,0.009349,0.234384,3.145757,0.250000,0.750000,0.680349,33.350018,9.200396,0.469974,32.598728,5.618526,0.452107
39,0.012270,0.004307,0.306520,3.149143,0.250000,0.750000,0.695315,33.327236,9.228307,0.484447,32.611332,5.709438,0.439343
40,0.018424,0.003194,0.279874,3.146059,0.250000,0.750000,0.709806,33.306145,9.249894,0.435613,32.623257,5.798921,0.449264
41,0.016595,0.003643,0.189346,3.210040,0.250000,0.750000,0.724465,33.287155,9.269995,0.400598,32.636803,5.896088,0.449437
42,-0.011629,0.006259,0.297999,3.195107,0.250000,0.750000,0.739065,33.265095,9.289986,0.371143,32.647961,5.989414,0.450462
43,0.024332,0.004920,0.377835,3.186643,0.250000,0.750000,0.753190,33.242199,9.307385,0.392308,32.661385,6.084114,0.449405
44,0.005502,0.003593,0.194324,3.262817,0.250000,0.750000,0.767343,33.220280,9.328595,0.350228,32.676582,6.186647,0.458422
45,0.012652,0.002401,0.316190,3.293460,0.250000,0.750000,0.781303,33.196960,9.347070,0.337523,32.689701,6.278379,0.435824
46,0.011292,0.004326,0.221680,3.341142,0.250000,0.750000,0.795224,33.175106,9.368876,0.334993,32.704334,6.373982,0.459480
47,-0.002102,0.003824,0.335434,3.348933,0.250000,0.750000,0.808896,33.148117,9.377340,0.254756,32.718315,6.465719,0.440933
48,0.013478,0.003981,0.306505,3.447838,0.250000,0.750000,0.822500,33.118774,9.379246,0.269737,32.733120,6.565824,0.447914
49,-0.022866,0.004336,0.259836,3.498179,0.250000,0.750000,0.835849,33.090645,9.384234,0.335544,32.746761,6.656375,0.471906
50,0.006379,0.004545,0.292811,3.484534,0.250000,0.750000,0.848743,33.063339,9.396573,0.360363,32.761040,6.751083,0.456015
