Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,12.0000
Entertainment,0.0400,0.0588,0.0476,17.0000
Food,0.4583,0.3235,0.3793,34.0000
Nightlife,0.1923,0.3125,0.2381,16.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.0000,0.0000,0.0000,2.0000
Travel,0.1875,0.2000,0.1935,15.0000
None,0.5385,0.6364,0.5833,11.0000
Unknown-8,0.6364,0.5385,0.5833,13.0000
Unknown-9,0.3333,0.1667,0.2222,18.0000
Unknown-10,0.1667,0.1429,0.1538,7.0000
Unknown-11,0.3077,0.2857,0.2963,42.0000
Unknown-12,0.1765,0.2727,0.2143,11.0000
Unknown-13,0.5439,0.5254,0.5345,59.0000
Unknown-14,0.0000,0.0000,0.0000,8.0000
Unknown-15,0.0000,0.0000,0.0000,1.0000
Unknown-16,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.3143,0.4400,0.3667,25.0000
Unknown-18,0.3000,0.1667,0.2143,18.0000
Unknown-20,0.3571,0.2083,0.2632,24.0000
Unknown-21,1.0000,0.5000,0.6667,2.0000
Unknown-23,0.0000,0.0000,0.0000,1.0000
Unknown-24,0.0000,0.0000,0.0000,2.0000
Unknown-26,0.3333,0.3333,0.3333,3.0000
Unknown-27,0.0500,0.1667,0.0769,6.0000
Unknown-28,0.0000,0.0000,0.0000,2.0000
Unknown-29,0.0000,0.0000,0.0000,4.0000
Unknown-30,0.0000,0.0000,0.0000,2.0000
Unknown-31,0.2326,0.2857,0.2564,35.0000
Unknown-32,0.2000,0.3333,0.2500,3.0000
Unknown-33,0.8559,0.8487,0.8523,119.0000
Unknown-34,0.1176,0.1333,0.1250,15.0000
Unknown-35,0.3333,0.5000,0.4000,2.0000
Unknown-36,0.2000,0.2143,0.2069,14.0000
Unknown-38,0.0000,0.0000,0.0000,2.0000
Unknown-39,0.1667,0.1667,0.1667,6.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.0667,0.0625,0.0645,16.0000
Unknown-42,0.0000,0.0000,0.0000,5.0000
Unknown-43,0.1333,0.1667,0.1481,12.0000
Unknown-44,0.2222,0.4000,0.2857,5.0000
Unknown-45,0.0000,0.0000,0.0000,1.0000
Unknown-46,0.2885,0.2830,0.2857,53.0000
Unknown-47,0.6667,0.6667,0.6667,3.0000
Unknown-48,0.4286,0.7500,0.5455,4.0000
Unknown-49,0.1429,0.1667,0.1538,6.0000
Unknown-50,0.2500,0.2000,0.2222,10.0000
Unknown-51,0.0769,0.0769,0.0769,13.0000
Unknown-52,0.0000,0.0000,0.0000,0.0000
Unknown-53,0.2000,0.3000,0.2400,10.0000
Unknown-54,0.0000,0.0000,0.0000,0.0000
Unknown-55,0.2353,0.2105,0.2222,19.0000
