epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.015032,0.671098,2.723961,3.325181,0.250000,0.750000,0.132779,32.304043,4.793666,4.793666,32.057682,1.643986,1.643986
2,0.064460,0.101848,0.190367,3.893677,0.250000,0.750000,0.168021,32.451153,6.017634,1.488087,32.084518,2.197218,0.906637
3,0.028371,0.003242,0.206254,3.964478,0.250000,0.750000,0.204945,32.529984,6.582762,0.953089,32.094032,2.512925,0.728276
4,0.007822,0.001738,0.300799,3.992020,0.250000,0.750000,0.239979,32.562634,6.886105,0.767478,32.105778,2.802990,0.726061
5,-0.001445,0.001580,0.282685,4.011842,0.250000,0.750000,0.273227,32.547871,7.004652,0.560598,32.121395,3.085595,0.682604
6,-0.014989,0.002948,0.162942,4.049340,0.250000,0.750000,0.308793,32.538708,7.057537,0.590994,32.141445,3.341440,0.745699
7,-0.022020,0.004544,0.150542,4.020814,0.250000,0.750000,0.344810,32.678257,7.159708,0.834299,32.193722,3.603908,0.878072
8,-0.034613,0.014649,0.260083,3.900226,0.250000,0.750000,0.378083,32.973984,7.341492,1.141312,32.288830,3.901041,0.928770
9,0.137859,0.005183,0.653310,3.869896,0.250000,0.750000,0.410102,33.359196,7.687001,1.304350,32.397594,4.188256,0.798384
10,0.019176,0.002993,0.521839,3.799546,0.250000,0.750000,0.440396,33.731033,8.171252,1.506402,32.494034,4.428487,0.649503
11,0.053359,0.003919,0.276039,3.794746,0.250000,0.750000,0.471492,33.906410,8.571710,1.546353,32.547241,4.610563,0.600767
12,-0.064685,0.003092,0.278515,3.790441,0.250000,0.750000,0.502974,33.946342,8.809647,1.263457,32.571518,4.745204,0.557872
13,-0.056927,0.004196,0.445650,3.768963,0.250000,0.750000,0.535742,33.944542,8.975989,0.982191,32.584064,4.871200,0.583312
14,0.066150,0.006410,0.287862,3.745178,0.250000,0.750000,0.569441,33.930340,9.103264,1.015862,32.593422,5.001439,0.612148
15,0.008025,0.006473,0.215082,3.724792,0.250000,0.750000,0.603601,33.909664,9.228066,1.134275,32.601841,5.137648,0.643537
16,-0.019712,0.003177,0.200027,3.710150,0.250000,0.750000,0.637788,33.886398,9.352622,1.074291,32.612801,5.274618,0.668681
17,-0.028256,0.003326,0.240039,3.632774,0.250000,0.750000,0.671116,33.855034,9.454683,0.847518,32.622261,5.415113,0.669738
18,-0.005357,0.003528,0.226707,3.630617,0.250000,0.750000,0.704377,33.820271,9.529519,0.810431,32.636574,5.565543,0.692635
19,0.025923,0.006014,0.412556,3.605153,0.250000,0.750000,0.736126,33.772343,9.597702,0.958119,32.650028,5.717896,0.704275
20,0.002879,0.005824,0.197069,3.554432,0.250000,0.750000,0.767384,33.744751,9.718162,1.306475,32.665634,5.878660,0.735798
21,0.014474,0.004924,0.201698,3.577014,0.250000,0.750000,0.798602,33.725227,9.823107,0.961395,32.683315,6.032949,0.731829
22,0.005740,0.003167,0.218966,3.592207,0.250000,0.750000,0.828853,33.689415,9.896589,0.808653,32.701302,6.186635,0.735520
23,0.003880,0.008520,0.227533,3.636277,0.250000,0.750000,0.858532,33.649555,9.977592,0.901402,32.717373,6.334980,0.751363
24,0.044925,0.009586,0.274513,3.625891,0.250000,0.750000,0.886661,33.607056,10.087519,1.141826,32.741856,6.511858,0.862421
