epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.021219,0.623101,1.137008,3.053901,0.250000,0.750000,0.114617,32.169552,3.287626,3.287626,32.029274,1.075253,1.075253
2,-0.013437,0.137045,0.212788,3.330633,0.250000,0.750000,0.129574,32.297245,4.692407,1.547652,32.046669,1.543077,0.581793
3,0.048597,0.024850,1.018375,3.278253,0.250000,0.750000,0.144875,32.376648,5.451046,0.914014,32.059193,1.829226,0.452691
4,-0.080685,0.007662,0.284299,3.410011,0.250000,0.750000,0.160756,32.431473,5.964670,0.669153,32.070450,2.064953,0.406576
5,-0.026328,0.006428,0.507888,3.465351,0.250000,0.750000,0.176823,32.470188,6.333915,0.626583,32.077454,2.234224,0.356988
6,0.043430,0.004427,0.205160,3.502176,0.250000,0.750000,0.193366,32.499409,6.642324,0.664756,32.082451,2.374968,0.343921
7,0.013213,0.005656,0.425273,3.529230,0.250000,0.750000,0.209767,32.519329,6.878656,0.590628,32.086876,2.498573,0.338262
8,0.025856,0.004987,0.123204,3.572030,0.250000,0.750000,0.226088,32.534725,7.046383,0.488474,32.092117,2.612236,0.330731
9,0.087830,0.006563,0.128388,3.619640,0.250000,0.750000,0.242433,32.552418,7.174632,0.406206,32.100990,2.731137,0.373454
10,0.037501,0.007635,0.243483,3.654291,0.250000,0.750000,0.259089,32.578190,7.280869,0.396634,32.112770,2.853585,0.392536
11,0.035247,0.016643,0.408633,3.659648,0.250000,0.750000,0.275507,32.609562,7.357111,0.370368,32.128548,2.984940,0.395884
12,-0.047156,0.008736,0.330654,3.688894,0.250000,0.750000,0.291770,32.647282,7.409669,0.379253,32.146633,3.112674,0.378637
13,0.016951,0.004863,0.399330,3.689584,0.250000,0.750000,0.308029,32.697124,7.457276,0.401251,32.168621,3.249040,0.387482
