Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 320.94
Entertainment,9.77 ± 13.99,9.37 ± 12.19,9.51 ± 13.04,2420.00 ± 752.99
Food,52.21 ± 10.12,32.72 ± 4.47,39.80 ± 4.27,3360.00 ± 472.23
Nightlife,35.27 ± 11.87,32.21 ± 7.80,32.96 ± 8.81,1780.00 ± 892.75
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 357.77
Shopping,15.71 ± 22.81,10.71 ± 14.73,12.38 ± 17.04,520.00 ± 540.37
Travel,32.26 ± 18.79,34.58 ± 16.04,33.24 ± 17.48,4000.00 ± 3121.70
None,45.83 ± 16.03,54.14 ± 12.20,49.22 ± 13.90,1160.00 ± 167.33
Unknown-8,60.56 ± 9.03,63.81 ± 7.33,61.80 ± 6.91,1980.00 ± 912.14
Unknown-9,33.63 ± 12.42,30.22 ± 13.16,31.23 ± 12.66,2280.00 ± 870.06
Unknown-10,32.74 ± 20.87,37.29 ± 22.58,34.71 ± 21.70,1900.00 ± 2581.67
Unknown-11,41.37 ± 9.94,45.77 ± 10.71,42.85 ± 8.79,5240.00 ± 1479.19
Unknown-12,10.62 ± 7.20,12.31 ± 10.15,11.25 ± 8.18,1160.00 ± 527.26
Unknown-13,40.51 ± 11.33,41.91 ± 12.75,40.95 ± 11.64,4720.00 ± 1888.65
Unknown-14,1.00 ± 2.24,10.00 ± 22.36,1.82 ± 4.07,320.00 ± 303.32
Unknown-17,42.69 ± 14.49,46.40 ± 13.35,44.17 ± 13.63,4700.00 ± 3168.60
Unknown-18,19.21 ± 11.39,19.37 ± 13.20,18.45 ± 10.78,2480.00 ± 1138.86
Unknown-20,35.54 ± 7.98,33.54 ± 12.17,34.11 ± 9.91,5840.00 ± 2621.64
Unknown-21,33.33 ± 57.74,16.67 ± 28.87,22.22 ± 38.49,133.33 ± 57.74
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-26,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,280.00 ± 268.33
Unknown-27,18.94 ± 11.84,24.67 ± 11.87,19.54 ± 10.35,640.00 ± 260.77
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 249.00
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 249.00
