epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.025551,0.868922,0.941557,3.284875,0.250000,0.750000,0.131103,32.324345,4.901940,4.901940,32.071033,1.655552,1.655552
2,0.111349,0.130144,0.182319,3.718291,0.250000,0.750000,0.166472,32.464466,6.144431,1.431430,32.094021,2.186370,0.835543
3,0.116367,0.011371,1.150285,3.779856,0.250000,0.750000,0.201542,32.483711,6.591568,0.822804,32.110210,2.520287,0.707778
4,0.011268,0.004530,0.155870,3.909461,0.250000,0.750000,0.238035,32.495869,6.832957,0.745616,32.121414,2.777721,0.683383
5,0.028273,0.002606,0.226501,3.949353,0.250000,0.750000,0.274861,32.526230,7.022192,0.729919,32.139477,3.039915,0.708608
6,-0.045202,0.004958,0.526928,3.941526,0.250000,0.750000,0.309945,32.603783,7.163322,0.690767,32.175129,3.296808,0.704782
7,-0.054631,0.008292,0.318921,3.915168,0.250000,0.750000,0.344598,32.778797,7.307494,0.835536,32.237926,3.562670,0.851275
8,0.018256,0.010543,0.390697,3.857528,0.250000,0.750000,0.378926,32.998611,7.512038,1.150630,32.309055,3.823617,0.732709
9,0.076806,0.005537,0.424499,3.861496,0.250000,0.750000,0.413776,33.149712,7.801973,1.516500,32.357445,4.034374,0.597720
10,-0.014080,0.005096,0.431862,3.841983,0.250000,0.750000,0.448267,33.215458,8.041929,1.240204,32.386711,4.203889,0.583084
11,-0.009338,0.008522,0.353713,3.781148,0.250000,0.750000,0.482102,33.224060,8.193812,0.868801,32.403481,4.360050,0.585458
12,-0.021946,0.007506,0.291795,3.758074,0.250000,0.750000,0.515567,33.192318,8.261307,0.618144,32.416691,4.509252,0.611753
13,0.000851,0.009620,0.248491,3.728276,0.250000,0.750000,0.548640,33.144688,8.294026,0.499828,32.427597,4.668306,0.623404
14,-0.003991,0.010339,0.228913,3.737794,0.250000,0.750000,0.582964,33.089252,8.312360,0.484372,32.438946,4.831910,0.651736
15,-0.046683,0.009831,0.193193,3.706145,0.250000,0.750000,0.617039,33.033890,8.338000,0.558032,32.451565,5.000564,0.655231
16,-0.000332,0.004619,0.275792,3.641724,0.250000,0.750000,0.650462,32.976601,8.363353,0.613819,32.466198,5.169966,0.689577
17,-0.011285,0.006440,0.186147,3.646307,0.250000,0.750000,0.682790,32.921906,8.404205,0.685265,32.481220,5.335179,0.688536
18,-0.042929,0.007845,0.397411,3.619421,0.250000,0.750000,0.714847,32.864311,8.436107,0.519079,32.496704,5.501256,0.677230
19,0.002492,0.006335,0.220985,3.574175,0.250000,0.750000,0.746591,32.807743,8.467457,0.515373,32.515747,5.673110,0.716349
20,-0.008837,0.004745,0.242312,3.548150,0.250000,0.750000,0.777235,32.746777,8.504775,0.586906,32.535191,5.836735,0.714007
21,-0.026584,0.005845,0.260656,3.512383,0.250000,0.750000,0.806798,32.696663,8.566371,0.720579,32.554031,6.001312,0.704545
22,-0.029661,0.004226,0.198951,3.553517,0.250000,0.750000,0.836286,32.646797,8.627574,0.619687,32.572552,6.172179,0.730089
23,-0.009758,0.004017,0.227932,3.547462,0.250000,0.750000,0.865643,32.586235,8.679382,0.710563,32.595806,6.346700,0.784717
24,0.054795,0.004745,0.246955,3.625587,0.250000,0.750000,0.894364,32.528316,8.735958,0.730585,32.617039,6.514287,0.796865
25,0.019338,0.022219,0.260693,3.620157,0.250000,0.750000,0.921583,32.484921,8.844927,1.012457,32.642673,6.679916,0.803037
26,0.036422,0.001948,0.376815,3.626020,0.250000,0.750000,0.947601,32.425808,8.931099,0.747569,32.666946,6.840074,0.789126
27,-0.000115,0.002520,0.237104,3.703689,0.250000,0.750000,0.972941,32.371941,9.034583,1.084461,32.692726,6.996789,0.793106
28,-0.020840,0.001273,0.256837,3.730997,0.250000,0.750000,0.996978,32.322437,9.125154,1.344598,32.719059,7.160594,0.780791
29,-0.001760,0.001295,0.333884,3.862494,0.250000,0.750000,1.019691,32.273937,9.249656,0.938778,32.744698,7.313023,0.755773
30,-0.009972,0.001464,0.271022,3.994009,0.250000,0.750000,1.041954,32.224354,9.329300,0.793931,32.770901,7.461948,0.791383
31,-0.022177,0.000940,0.392939,4.072552,0.250000,0.750000,1.063376,32.167889,9.402003,0.725098,32.794720,7.604208,0.760778
32,0.001847,0.000773,0.322135,4.151458,0.250000,0.750000,1.082999,32.113377,9.489401,0.881764,32.820339,7.746241,0.760526
33,0.007207,0.000725,0.210111,4.421384,0.250000,0.750000,1.103024,32.057316,9.541966,0.719781,32.840824,7.874938,0.749930
34,0.004182,0.000749,0.272007,4.518469,0.250000,0.750000,1.122335,32.008102,9.597897,0.694188,32.862736,8.005750,0.736721
35,0.010704,0.001193,0.221488,4.730724,0.250000,0.750000,1.140872,31.956429,9.657570,0.678089,32.884850,8.133184,0.759513
36,-0.027704,0.000842,0.276705,4.920456,0.250000,0.750000,1.158611,31.910891,9.726233,0.618987,32.904800,8.259545,0.759552
37,0.044793,0.000912,0.312764,5.141950,0.250000,0.750000,1.175722,31.872211,9.831888,1.155133,32.925148,8.381654,0.728158
38,-0.003447,0.000609,0.266875,5.311821,0.250000,0.750000,1.192521,31.820620,9.893968,0.759463,32.944656,8.493220,0.734958
39,0.010574,0.001160,0.305699,5.435639,0.250000,0.750000,1.208289,31.770426,9.947184,0.641788,32.963448,8.602424,0.705999
40,0.000983,0.001136,0.282462,5.597756,0.250000,0.750000,1.223571,31.719576,9.992972,0.651412,32.977654,8.705138,0.708423
41,0.007947,0.000905,0.258079,5.936412,0.250000,0.750000,1.238577,31.671114,10.043143,0.544270,32.994823,8.811603,0.699255
42,-0.087750,30.109928,0.292302,5.787680,0.250000,0.750000,1.251343,31.632582,10.088818,0.842276,33.010929,8.917789,0.760737
43,-0.005119,0.000753,0.260547,6.083523,0.250000,0.750000,1.264351,31.585974,10.146799,0.543166,33.029671,9.023572,0.693755
44,0.049459,0.001143,0.286699,6.429807,0.250000,0.750000,1.277524,31.532640,10.176131,0.386253,33.045258,9.114636,0.668978
45,-0.054059,0.185420,0.214341,6.860740,0.250000,0.750000,1.290132,31.479818,10.201675,0.374582,33.057251,9.204831,0.641889
46,-0.067836,0.015890,0.252026,6.971435,0.250000,0.750000,1.302474,31.423977,10.226283,0.391901,33.069374,9.291880,0.666473
47,-0.035102,0.035670,0.323251,6.493949,0.250000,0.750000,1.311942,31.382746,10.312064,1.163492,33.090076,9.411397,0.969182
48,-0.022505,0.380417,0.464032,6.794834,0.250000,0.750000,1.321383,31.335789,10.461061,1.030299,33.112629,9.538595,0.905806
49,-0.065283,0.873815,0.309277,7.079262,0.250000,0.750000,1.331108,31.300228,10.563434,0.650589,33.137299,9.668623,0.961929
50,0.051040,0.078056,0.278704,7.407607,0.250000,0.750000,1.340835,31.261734,10.642933,0.669677,33.160408,9.792095,0.821125
