epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.011712,0.519330,1.497158,2.281102,0.250000,0.750000,0.000000,32.155140,3.397331,3.397331,32.175945,3.396617,3.396617
2,0.151523,0.478006,0.514270,3.227032,0.250000,0.750000,0.000000,32.326187,4.977628,1.798557,32.346954,4.889975,1.637824
3,-0.001349,0.070231,0.026859,3.502942,0.250000,0.750000,0.000000,32.458027,5.933154,1.030767,32.470718,5.774301,0.933984
4,-0.000157,0.004626,0.004181,3.491242,0.250000,0.750000,0.000000,32.544418,6.524107,0.625999,32.549389,6.317716,0.566889
5,-0.000074,0.003491,0.005937,3.480856,0.250000,0.750000,0.000000,32.594887,6.893214,0.388205,32.594013,6.656143,0.351463
6,0.000143,0.003075,0.003371,3.444150,0.250000,0.750000,0.000000,32.620235,7.126046,0.253273,32.614723,6.867240,0.219381
7,0.000879,0.012858,0.001998,3.456442,0.250000,0.750000,0.000000,32.627899,7.266687,0.183411,32.619843,6.998118,0.141193
8,0.000078,0.002327,0.003350,3.441810,0.250000,0.750000,0.000000,32.625874,7.351616,0.487098,32.616653,7.079679,0.162299
9,-0.000008,0.000704,0.008378,3.422065,0.250000,0.750000,0.000000,32.619095,7.418533,0.303927,32.605885,7.130204,0.101809
10,0.000148,0.000682,0.002080,3.439125,0.250000,0.750000,0.000000,32.607063,7.464275,0.189268,32.590111,7.160410,0.064891
11,0.000005,0.000671,0.022014,3.444552,0.250000,0.750000,0.000000,32.590836,7.493081,0.118147,32.571098,7.177652,0.043443
12,-0.000001,0.000632,0.010977,3.443823,0.250000,0.750000,0.000000,32.571674,7.509964,0.074759,32.550049,7.186694,0.032053
13,0.000032,0.001031,0.012187,3.383602,0.250000,0.750000,0.000000,32.550602,7.518960,0.049247,32.527721,7.190637,0.026869
14,-0.000270,0.001248,0.000322,3.417266,0.250000,0.750000,0.000000,32.528316,7.522909,0.035281,32.504612,7.191434,0.024897
15,-0.000046,0.000989,0.000035,3.435451,0.250000,0.750000,0.000000,32.505234,7.523695,0.028518,32.481026,7.190308,0.024260
16,0.000288,0.001403,0.000026,3.445583,0.250000,0.750000,0.000000,32.481667,7.522542,0.025696,32.457150,7.188029,0.024126
17,0.000046,0.001393,0.000013,3.448321,0.250000,0.750000,0.000000,32.457798,7.520219,0.024668,32.433105,7.185074,0.024138
18,-0.000139,0.001971,0.000012,3.431740,0.250000,0.750000,0.000000,32.433758,7.517209,0.024338,32.408962,7.181739,0.024177
19,-0.000249,0.002376,0.000003,3.446279,0.250000,0.750000,0.000000,32.409622,7.513808,0.024249,32.384769,7.178204,0.024207
20,-0.000008,0.005029,0.000001,3.456682,0.250000,0.750000,0.000000,32.385429,7.510201,0.024233,32.360550,7.174579,0.024224
21,-0.000077,0.003604,0.000001,3.442807,0.250000,0.750000,0.000000,32.361210,7.506499,0.024233,32.336323,7.170932,0.024229
22,0.000032,0.002661,0.000001,3.446291,0.250000,0.750000,0.000000,32.336983,7.502771,0.024232,32.312099,7.167305,0.024225
23,0.000009,0.006602,0.000002,3.446161,0.250000,0.750000,0.000000,32.312756,7.499057,0.024227,32.287884,7.163721,0.024216
24,-0.000011,0.011180,0.000002,3.450899,0.250000,0.750000,0.000000,32.288540,7.495384,0.024217,32.263676,7.160197,0.024204
25,-0.000046,0.004681,0.000027,3.436970,0.250000,0.750000,0.000000,32.264339,7.491767,0.024204,32.239491,7.156742,0.024189
26,-0.000021,0.003032,0.000000,3.451059,0.250000,0.750000,0.000000,32.240150,7.488214,0.024190,32.215313,7.153360,0.024173
27,-0.000058,0.004656,0.000026,3.432502,0.250000,0.750000,0.000000,32.215973,7.484733,0.024174,32.191158,7.150056,0.024156
28,-0.000061,0.007327,0.000061,3.435706,0.250000,0.750000,0.000000,32.191818,7.481325,0.024157,32.167019,7.146832,0.024139
29,0.000021,0.007456,0.000001,3.437229,0.250000,0.750000,0.000000,32.167679,7.477992,0.024139,32.142895,7.143687,0.024122
30,-0.000021,0.006370,0.000001,3.448473,0.250000,0.750000,0.000000,32.143559,7.474736,0.024121,32.118793,7.140624,0.024104
31,-0.000058,0.009691,0.000003,3.440765,0.250000,0.750000,0.000000,32.119453,7.471558,0.024104,32.094707,7.137642,0.024086
32,-0.000019,0.012670,0.000001,3.456117,0.250000,0.750000,0.000000,32.095367,7.468458,0.024086,32.070641,7.134742,0.024068
33,0.000075,0.007647,0.000011,3.425114,0.250000,0.750000,0.000000,32.071301,7.465437,0.024068,32.046589,7.131925,0.024050
34,0.000041,0.006514,0.000000,3.437013,0.250000,0.750000,0.000000,32.047249,7.462494,0.024050,32.022560,7.129189,0.024032
