Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,5.0000
Entertainment,0.0000,0.0000,0.0000,17.0000
Food,0.0000,0.0000,0.0000,35.0000
Nightlife,0.0000,0.0000,0.0000,25.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.0000,0.0000,0.0000,6.0000
Travel,0.0000,0.0000,0.0000,50.0000
None,0.0000,0.0000,0.0000,13.0000
Unknown-8,0.0000,0.0000,0.0000,13.0000
Unknown-9,0.0000,0.0000,0.0000,31.0000
Unknown-10,0.0000,0.0000,0.0000,65.0000
Unknown-11,0.0000,0.0000,0.0000,46.0000
Unknown-12,0.0000,0.0000,0.0000,14.0000
Unknown-13,0.0000,0.0000,0.0000,64.0000
Unknown-14,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.0000,0.0000,0.0000,41.0000
Unknown-18,0.0000,0.0000,0.0000,31.0000
Unknown-20,0.0000,0.0000,0.0000,74.0000
Unknown-21,0.0000,0.0000,0.0000,1.0000
Unknown-23,0.0000,0.0000,0.0000,2.0000
Unknown-26,0.0000,0.0000,0.0000,1.0000
Unknown-27,0.0000,0.0000,0.0000,5.0000
Unknown-30,0.0000,0.0000,0.0000,3.0000
Unknown-31,0.0000,0.0000,0.0000,46.0000
Unknown-32,0.0000,0.0000,0.0000,7.0000
Unknown-33,0.0000,0.0000,0.0000,8.0000
Unknown-34,0.0000,0.0000,0.0000,20.0000
Unknown-35,0.0000,0.0000,0.0000,4.0000
Unknown-36,0.0000,0.0000,0.0000,14.0000
Unknown-38,0.0000,0.0000,0.0000,1.0000
Unknown-39,0.0000,0.0000,0.0000,4.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.0000,0.0000,0.0000,25.0000
Unknown-43,0.0000,0.0000,0.0000,19.0000
Unknown-44,0.0000,0.0000,0.0000,14.0000
Unknown-45,0.0000,0.0000,0.0000,1.0000
Unknown-46,0.0000,0.0000,0.0000,45.0000
Unknown-47,0.0000,0.0000,0.0000,4.0000
Unknown-48,0.0000,0.0000,0.0000,4.0000
Unknown-49,0.0000,0.0000,0.0000,9.0000
Unknown-50,0.0000,0.0000,0.0000,2.0000
Unknown-51,0.0000,0.0000,0.0000,12.0000
Unknown-53,0.0000,0.0000,0.0000,15.0000
Unknown-54,0.0000,0.0000,0.0000,3.0000
Unknown-55,0.0000,0.0000,0.0000,21.0000
Unknown-56,0.0000,0.0000,0.0000,11.0000
Unknown-57,0.0000,0.0000,0.0000,30.0000
Unknown-60,0.0000,0.0000,0.0000,12.0000
Unknown-61,0.0000,0.0000,0.0000,6.0000
Unknown-62,0.0000,0.0000,0.0000,4.0000
Unknown-63,0.0000,0.0000,0.0000,2.0000
Unknown-64,0.0000,0.0000,0.0000,3.0000
Unknown-65,0.0000,0.0000,0.0000,4.0000
Unknown-67,0.0000,0.0000,0.0000,8.0000
Unknown-68,0.0000,0.0000,0.0000,5.0000
Unknown-69,0.0000,0.0000,0.0000,19.0000
Unknown-70,0.0000,0.0000,0.0000,19.0000
Unknown-72,0.0000,0.0000,0.0000,24.0000
Unknown-74,0.0000,0.0000,0.0000,2.0000
Unknown-75,0.0000,0.0000,0.0000,5.0000
Unknown-76,0.0000,0.0000,0.0000,5.0000
Unknown-77,0.0000,0.0000,0.0000,3.0000
Unknown-78,0.0000,0.0000,0.0000,2.0000
