Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,12.0000
Entertainment,0.0000,0.0000,0.0000,17.0000
Food,0.0000,0.0000,0.0000,34.0000
Nightlife,0.0000,0.0000,0.0000,16.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.0000,0.0000,0.0000,2.0000
Travel,0.0000,0.0000,0.0000,15.0000
None,0.0000,0.0000,0.0000,11.0000
Unknown-8,0.0000,0.0000,0.0000,13.0000
Unknown-9,0.0000,0.0000,0.0000,18.0000
Unknown-10,0.0000,0.0000,0.0000,7.0000
Unknown-11,0.0000,0.0000,0.0000,42.0000
Unknown-12,0.0000,0.0000,0.0000,11.0000
Unknown-13,0.0000,0.0000,0.0000,59.0000
Unknown-14,0.0000,0.0000,0.0000,8.0000
Unknown-15,0.0000,0.0000,0.0000,1.0000
Unknown-16,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.0000,0.0000,0.0000,25.0000
Unknown-18,0.0000,0.0000,0.0000,18.0000
Unknown-20,0.0000,0.0000,0.0000,24.0000
Unknown-21,0.0000,0.0000,0.0000,2.0000
Unknown-23,0.0000,0.0000,0.0000,1.0000
Unknown-24,0.0000,0.0000,0.0000,2.0000
Unknown-26,0.0000,0.0000,0.0000,3.0000
Unknown-27,0.0000,0.0000,0.0000,6.0000
Unknown-28,0.0000,0.0000,0.0000,2.0000
Unknown-29,0.0000,0.0000,0.0000,4.0000
Unknown-30,0.0000,0.0000,0.0000,2.0000
Unknown-31,0.0000,0.0000,0.0000,35.0000
Unknown-32,0.0000,0.0000,0.0000,3.0000
Unknown-33,0.0000,0.0000,0.0000,119.0000
Unknown-34,0.0000,0.0000,0.0000,15.0000
Unknown-35,0.0000,0.0000,0.0000,2.0000
Unknown-36,0.0000,0.0000,0.0000,14.0000
Unknown-38,0.0000,0.0000,0.0000,2.0000
Unknown-39,0.0000,0.0000,0.0000,6.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.0000,0.0000,0.0000,16.0000
Unknown-42,0.0000,0.0000,0.0000,5.0000
Unknown-43,0.0000,0.0000,0.0000,12.0000
Unknown-44,0.0000,0.0000,0.0000,5.0000
Unknown-45,0.0000,0.0000,0.0000,1.0000
Unknown-46,0.0000,0.0000,0.0000,53.0000
Unknown-47,0.0000,0.0000,0.0000,3.0000
Unknown-48,0.0000,0.0000,0.0000,4.0000
Unknown-49,0.0000,0.0000,0.0000,6.0000
Unknown-50,0.0000,0.0000,0.0000,10.0000
Unknown-51,0.0000,0.0000,0.0000,13.0000
Unknown-53,0.0000,0.0000,0.0000,10.0000
Unknown-55,0.0000,0.0000,0.0000,19.0000
Unknown-56,0.0000,0.0000,0.0000,8.0000
Unknown-57,0.0000,0.0000,0.0000,28.0000
Unknown-58,0.0000,0.0000,0.0000,1.0000
Unknown-60,0.0000,0.0000,0.0000,4.0000
Unknown-61,0.0000,0.0000,0.0000,6.0000
Unknown-62,0.0000,0.0000,0.0000,9.0000
Unknown-63,0.0000,0.0000,0.0000,3.0000
Unknown-64,0.0000,0.0000,0.0000,7.0000
Unknown-65,0.0000,0.0000,0.0000,6.0000
Unknown-67,0.0000,0.0000,0.0000,2.0000
Unknown-68,0.0000,0.0000,0.0000,1.0000
Unknown-69,0.0000,0.0000,0.0000,4.0000
Unknown-70,0.0000,0.0000,0.0000,17.0000
Unknown-72,0.0000,0.0000,0.0000,5.0000
Unknown-74,0.0000,0.0000,0.0000,2.0000
Unknown-75,0.0000,0.0000,0.0000,30.0000
Unknown-76,0.0000,0.0000,0.0000,6.0000
Unknown-77,0.0000,0.0000,0.0000,6.0000
Unknown-78,0.0000,0.0000,0.0000,1.0000
Unknown-79,0.0000,0.0000,0.0000,21.0000
Unknown-80,0.0000,0.0000,0.0000,19.0000
Unknown-81,0.0000,0.0000,0.0000,25.0000
Unknown-82,0.0000,0.0000,0.0000,7.0000
Unknown-84,0.0000,0.0000,0.0000,3.0000
Unknown-85,0.0000,0.0000,0.0000,2.0000
Unknown-87,0.0000,0.0000,0.0000,4.0000
Unknown-88,0.0000,0.0000,0.0000,2.0000
Unknown-89,0.0000,0.0000,0.0000,2.0000
Unknown-90,0.0000,0.0000,0.0000,2.0000
Unknown-91,0.0000,0.0000,0.0000,1.0000
Unknown-92,0.0000,0.0000,0.0000,1.0000
Unknown-94,0.0000,0.0000,0.0000,5.0000
Unknown-95,0.0000,0.0000,0.0000,7.0000
Unknown-96,0.0000,0.0000,0.0000,6.0000
Unknown-97,0.0000,0.0000,0.0000,6.0000
Unknown-98,0.0000,0.0000,0.0000,11.0000
Unknown-99,0.0000,0.0000,0.0000,1.0000
Unknown-100,0.0000,0.0000,0.0000,2.0000
Unknown-101,0.0000,0.0000,0.0000,5.0000
Unknown-102,0.0000,0.0000,0.0000,2.0000
Unknown-103,0.0000,0.0000,0.0000,1.0000
Unknown-104,0.0000,0.0000,0.0000,2.0000
Unknown-105,0.0000,0.0000,0.0000,15.0000
Unknown-106,0.0000,0.0000,0.0000,2.0000
Unknown-107,0.0000,0.0000,0.0000,11.0000
Unknown-109,0.0000,0.0000,0.0000,11.0000
Unknown-110,0.0000,0.0000,0.0000,3.0000
Unknown-111,0.0000,0.0000,0.0000,15.0000
Unknown-112,0.0000,0.0000,0.0000,2.0000
Unknown-113,0.0000,0.0000,0.0000,2.0000
Unknown-114,0.0000,0.0000,0.0000,1.0000
Unknown-115,0.0000,0.0000,0.0000,1.0000
Unknown-117,0.0000,0.0000,0.0000,10.0000
Unknown-118,0.0000,0.0000,0.0000,3.0000
Unknown-119,0.0000,0.0000,0.0000,3.0000
Unknown-120,0.0000,0.0000,0.0000,3.0000
Unknown-127,0.0000,0.0000,0.0000,26.0000
Unknown-129,0.0000,0.0000,0.0000,2.0000
Unknown-130,0.0051,1.0000,0.0102,13.0000
Unknown-131,0.0000,0.0000,0.0000,9.0000
Unknown-132,0.0000,0.0000,0.0000,4.0000
Unknown-133,0.0000,0.0000,0.0000,10.0000
Unknown-134,0.0000,0.0000,0.0000,9.0000
Unknown-135,0.0000,0.0000,0.0000,1.0000
Unknown-136,0.0000,0.0000,0.0000,9.0000
Unknown-137,0.0000,0.0000,0.0000,1.0000
Unknown-138,0.0000,0.0000,0.0000,13.0000
Unknown-140,0.0000,0.0000,0.0000,21.0000
Unknown-141,0.0000,0.0000,0.0000,1.0000
Unknown-142,0.0000,0.0000,0.0000,2.0000
Unknown-143,0.0000,0.0000,0.0000,7.0000
Unknown-144,0.0000,0.0000,0.0000,1.0000
Unknown-145,0.0000,0.0000,0.0000,1.0000
Unknown-146,0.0000,0.0000,0.0000,3.0000
Unknown-148,0.0000,0.0000,0.0000,43.0000
Unknown-149,0.0000,0.0000,0.0000,12.0000
Unknown-152,0.0000,0.0000,0.0000,30.0000
Unknown-153,0.0000,0.0000,0.0000,3.0000
Unknown-155,0.0000,0.0000,0.0000,7.0000
Unknown-156,0.0000,0.0000,0.0000,1.0000
Unknown-157,0.0000,0.0000,0.0000,1.0000
Unknown-158,0.0000,0.0000,0.0000,28.0000
Unknown-159,0.0000,0.0000,0.0000,9.0000
Unknown-160,0.0000,0.0000,0.0000,14.0000
Unknown-161,0.0000,0.0000,0.0000,1.0000
Unknown-162,0.0000,0.0000,0.0000,5.0000
Unknown-163,0.0000,0.0000,0.0000,4.0000
Unknown-164,0.0000,0.0000,0.0000,3.0000
Unknown-166,0.0000,0.0000,0.0000,1.0000
Unknown-167,0.0000,0.0000,0.0000,3.0000
Unknown-168,0.0000,0.0000,0.0000,1.0000
Unknown-169,0.0000,0.0000,0.0000,4.0000
Unknown-170,0.0000,0.0000,0.0000,7.0000
Unknown-171,0.0000,0.0000,0.0000,13.0000
Unknown-172,0.0000,0.0000,0.0000,1.0000
Unknown-173,0.0000,0.0000,0.0000,1.0000
Unknown-174,0.0000,0.0000,0.0000,12.0000
Unknown-175,0.0000,0.0000,0.0000,13.0000
Unknown-176,0.0000,0.0000,0.0000,9.0000
Unknown-177,0.0000,0.0000,0.0000,2.0000
Unknown-178,0.0000,0.0000,0.0000,3.0000
