Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 320.94
Entertainment,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2420.00 ± 752.99
Food,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3360.00 ± 472.23
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1780.00 ± 892.75
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 357.77
Shopping,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,650.00 ± 525.99
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4000.00 ± 3121.70
None,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1160.00 ± 167.33
Unknown-8,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1980.00 ± 912.14
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2280.00 ± 870.06
Unknown-10,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1900.00 ± 2581.67
Unknown-11,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5240.00 ± 1479.19
Unknown-12,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1160.00 ± 527.26
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4720.00 ± 1888.65
Unknown-14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 282.84
Unknown-17,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4700.00 ± 3168.60
Unknown-18,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2480.00 ± 1138.86
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5840.00 ± 2621.64
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 251.66
