epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.003685,0.752143,1.402716,4.753332,0.000000,32.402340,6.532880,6.532880,32.150032,3.215290,3.215290
2,-0.040930,0.012572,0.378561,6.253995,0.000000,32.130787,6.598096,0.723756,32.263054,4.602004,2.652312
3,0.052441,0.006887,0.146546,7.115901,0.000000,32.134682,7.561164,3.402178,32.392216,5.770437,2.595344
4,-0.003815,0.001745,0.272442,7.781093,0.000000,31.888496,7.705242,0.469201,32.481766,6.649920,2.230163
5,0.005281,0.000842,0.246303,8.232777,0.000000,31.595079,7.680220,0.294590,32.547535,7.334409,2.048778
6,0.011185,0.002602,0.158782,8.470133,0.000000,31.306452,7.666236,0.291144,32.625809,7.922931,2.097332
7,0.003314,0.000595,0.163886,8.761430,0.000000,31.023867,7.663623,0.283349,32.659058,8.357043,1.725344
8,-0.005880,0.000687,0.151459,8.931458,0.000000,30.746506,7.671236,0.279629,32.698643,8.768382,1.684479
9,0.003666,0.001310,0.216996,9.212844,0.000000,30.473698,7.689041,0.276688,32.722626,9.110925,1.565815
10,0.004689,0.000965,0.214329,9.338869,0.000000,30.208059,7.717008,0.279187,32.746689,9.436355,1.603771
11,-0.004850,0.005572,0.174327,9.486687,0.000000,29.949434,7.751060,0.298502,32.767704,9.749026,1.551302
12,0.004768,0.008984,0.127542,9.688516,0.000000,29.729187,7.885832,1.385666,32.798244,10.052772,1.515605
13,-0.002662,0.000977,0.125176,9.825990,0.000000,29.489758,7.930589,0.239927,32.819965,10.320950,1.451139
14,0.003016,0.000758,0.153117,9.925758,0.000000,29.259573,7.979272,0.230488,32.835903,10.565059,1.431512
15,0.000168,0.000782,0.136818,10.079891,0.000000,29.037203,8.032922,0.223190,32.850071,10.793011,1.364057
16,-0.003746,0.000443,0.123758,10.212299,0.000000,28.824322,8.089267,0.216403,32.855492,10.994654,1.339365
17,0.000806,0.000468,0.134229,10.271430,0.000000,28.619261,8.148548,0.205146,32.866188,11.187345,1.292476
18,-0.000581,0.000449,0.157382,10.370576,0.000000,28.422419,8.209997,0.197012,32.873856,11.374426,1.272915
19,-0.010169,0.000422,0.138028,10.473747,0.000000,28.235229,8.272092,0.187214,32.876255,11.536918,1.223333
20,-0.000425,0.000524,0.117075,10.623272,0.000000,28.056961,8.334842,0.178332,32.876774,11.689788,1.181648
21,-0.002167,0.000338,0.137330,10.694434,0.000000,27.887852,8.397387,0.169113,32.877052,11.833336,1.143175
22,-0.002578,0.000372,0.121896,10.838199,0.000000,27.727737,8.459269,0.160127,32.876953,11.967224,1.137555
23,0.001486,0.000350,0.120752,10.840326,0.000000,27.576563,8.520062,0.151179,32.872532,12.073884,1.051551
24,-0.002022,0.000112,0.108095,10.994789,0.000000,27.434292,8.579260,0.142299,32.869816,12.192006,1.046219
25,-0.001707,0.000133,0.126856,11.070102,0.000000,27.301006,8.636460,0.133326,32.862812,12.287458,0.940447
26,0.002345,0.000211,0.122333,11.211075,0.000000,27.176271,8.691577,0.124752,32.854580,12.372931,0.885764
27,-0.000588,0.000178,0.101971,11.325300,0.000000,27.060114,8.744213,0.116247,32.845112,12.435719,0.821069
28,-0.009067,0.000235,0.130044,11.369728,0.000000,26.952761,8.793857,0.107402,32.836193,12.511940,0.794195
29,-0.003575,0.000237,0.135952,11.482402,0.000000,26.853365,8.840784,0.099402,32.824505,12.570217,0.728257
30,0.000476,0.000153,0.106355,11.601197,0.000000,26.761833,8.885385,0.097384,32.812664,12.619433,0.683892
31,-0.000959,0.000199,0.109371,11.669661,0.000000,26.678280,8.926152,0.083556,32.802341,12.664420,0.658460
32,0.000050,0.000158,0.139736,11.740869,0.000000,26.602312,8.963713,0.075996,32.793209,12.709973,0.593203
33,0.004481,0.000395,0.120568,11.856517,0.000000,26.533691,8.998053,0.068687,32.780857,12.743055,0.545588
34,0.002300,0.000359,0.115732,12.017843,0.000000,26.472143,9.029236,0.061565,32.769173,12.771274,0.471515
35,0.002113,0.000761,0.117572,12.069111,0.000000,26.417423,9.057283,0.055100,32.758221,12.794033,0.433448
36,-0.001512,0.000199,0.112257,12.166486,0.000000,26.369055,9.082195,0.048374,32.748631,12.813437,0.395907
37,0.000308,0.000293,0.101261,12.220917,0.000000,26.326750,9.104165,0.042318,32.740768,12.832172,0.354046
38,-0.000905,0.000214,0.114983,12.302092,0.000000,26.290262,9.123216,0.036505,32.733406,12.844296,0.316208
39,-0.001065,0.000272,0.153357,12.401580,0.000000,26.259176,9.139515,0.031106,32.727543,12.856133,0.279429
40,0.000720,0.000900,0.115741,12.493291,0.000000,26.233095,9.153254,0.026084,32.720955,12.862867,0.241717
41,0.001956,0.000282,0.119679,12.557257,0.000000,26.211611,9.164603,0.021492,32.716373,12.870770,0.201358
