Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2760.00 ± 1397.50
Entertainment,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4160.00 ± 1502.66
Food,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 605.81
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1540.00 ± 1293.45
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,700.00 ± 353.55
Shopping,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 130.38
Unknown-8,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 191.49
Unknown-11,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,660.00 ± 364.69
Unknown-12,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,500.00 ± 408.25
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 194.94
Unknown-14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 270.19
Unknown-15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5160.00 ± 1137.10
Unknown-16,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3620.00 ± 947.10
Unknown-18,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-22,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2380.00 ± 742.97
Unknown-25,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2820.00 ± 2558.71
Unknown-26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,500.00 ± 282.84
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,708180.00 ± 15898.80
Unknown-29,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 249.00
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,620.00 ± 327.11
Unknown-32,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5420.00 ± 2291.72
Unknown-33,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 339.12
Unknown-37,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10660.00 ± 5767.41
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-39,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-40,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3680.00 ± 1331.16
Unknown-41,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9600.00 ± 3506.42
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21420.00 ± 2610.94
Unknown-43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3220.00 ± 1213.26
Unknown-44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,29920.00 ± 7232.36
Unknown-45,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,18960.00 ± 1693.52
Unknown-46,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,800.00 ± 1097.72
Unknown-47,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7380.00 ± 1706.46
Unknown-48,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9880.00 ± 2928.65
Unknown-49,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14200.00 ± 2100.00
Unknown-50,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1120.00 ± 901.11
Unknown-51,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1080.00 ± 432.43
Unknown-53,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3160.00 ± 973.65
Unknown-54,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,58180.00 ± 5199.23
Unknown-55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4340.00 ± 829.46
Unknown-56,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,825.00 ± 853.91
Unknown-57,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3720.00 ± 1249.80
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9620.00 ± 5100.20
Unknown-59,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,99580.00 ± 4516.30
Unknown-60,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3520.00 ± 3139.59
Unknown-62,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1900.00 ± 484.77
Unknown-63,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1350.00 ± 2111.08
Unknown-65,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,11280.00 ± 5299.25
Unknown-66,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2740.00 ± 1021.27
Unknown-67,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2560.00 ± 450.56
Unknown-68,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5940.00 ± 2578.37
Unknown-69,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7380.00 ± 1840.38
Unknown-70,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2400.00 ± 1433.53
Unknown-71,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1260.00 ± 594.14
Unknown-72,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1240.00 ± 740.27
Unknown-73,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1480.00 ± 601.66
Unknown-74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20120.00 ± 6003.08
Unknown-75,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1300.00 ± 200.00
Unknown-76,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9340.00 ± 1771.44
Unknown-77,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,880.00 ± 630.08
Unknown-78,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2360.00 ± 482.70
Unknown-79,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1500.00 ± 648.07
Unknown-80,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 207.36
Unknown-81,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2640.00 ± 730.07
Unknown-82,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 181.66
Unknown-83,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1220.00 ± 593.30
Unknown-84,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 303.32
Unknown-85,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,10120.00 ± 4232.26
Unknown-86,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9140.00 ± 4386.68
Unknown-87,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2200.00 ± 1518.22
Unknown-89,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2780.00 ± 576.19
Unknown-90,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 164.32
Unknown-91,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,720.00 ± 334.66
Unknown-92,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1120.00 ± 192.35
Unknown-94,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2540.00 ± 1301.15
Unknown-95,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2180.00 ± 785.49
Unknown-96,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14320.00 ± 3917.52
Unknown-97,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1220.00 ± 506.95
Unknown-98,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 216.79
Unknown-100,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3380.00 ± 622.09
Unknown-101,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1480.00 ± 798.12
Unknown-102,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,4240.00 ± 2056.21
Unknown-103,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1720.00 ± 683.37
Unknown-104,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 114.02
Unknown-105,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5360.00 ± 1006.48
Unknown-106,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1460.00 ± 568.33
Unknown-107,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1380.00 ± 396.23
Unknown-108,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5320.00 ± 1382.75
Unknown-111,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7440.00 ± 1818.79
Unknown-112,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,580.00 ± 294.96
