epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.006761,0.931469,1.239043,4.698302,0.000000,32.462784,6.785422,6.785422,32.123234,2.962835,2.962835
2,-0.014988,0.068489,0.193153,6.011352,0.000000,32.330803,7.362969,2.539945,32.187897,4.216711,2.415533
3,0.058195,0.123669,0.203368,6.545805,0.000000,32.037479,7.340687,0.867997,32.267620,5.280462,2.248700
4,0.012659,0.003672,0.159822,7.034642,0.000000,31.808708,7.450254,1.331684,32.344189,6.173886,2.113539
5,0.092030,0.006380,0.169417,7.323919,0.000000,31.545631,7.518135,0.959431,32.409267,6.909982,1.912894
6,0.002361,0.000762,0.152305,7.619640,0.000000,31.266420,7.531210,0.369945,32.464413,7.557962,1.982403
7,-0.013882,0.000828,0.209877,7.790193,0.000000,30.985128,7.532250,0.282155,32.495419,8.048819,1.696169
8,-0.010276,0.001513,0.162120,8.037816,0.000000,30.710091,7.542651,0.276508,32.512699,8.449286,1.586730
9,0.038255,0.003393,0.170498,8.186765,0.000000,30.441366,7.562822,0.270417,32.527664,8.806125,1.551683
10,0.009758,0.001416,0.167871,8.357281,0.000000,30.176825,7.593822,0.275061,32.540806,9.141599,1.462394
11,-0.011220,0.002283,0.138561,8.531039,0.000000,29.921810,7.630509,0.266835,32.550060,9.444924,1.441399
12,-0.004248,0.006035,0.160068,8.691184,0.000000,29.674334,7.673777,0.266131,32.554806,9.721154,1.397449
13,-0.003873,0.003504,0.157066,8.857006,0.000000,29.437262,7.721522,0.242396,32.554165,9.973844,1.357953
14,0.001281,0.003694,0.155987,8.978089,0.000000,29.205767,7.774112,0.236331,32.563953,10.217777,1.360637
15,0.007483,0.002363,0.166566,9.116853,0.000000,28.985048,7.833867,0.234022,32.564331,10.446525,1.348176
16,-0.003578,0.003004,0.242136,9.227789,0.000000,28.772392,7.894011,0.231908,32.564816,10.656131,1.251817
17,0.002164,0.004053,0.119995,9.419175,0.000000,28.568775,7.958205,0.215493,32.561733,10.854542,1.211566
18,0.009195,0.004202,0.174189,9.557701,0.000000,28.376261,8.020641,0.212427,32.556450,11.022810,1.161097
19,-0.000914,0.003146,0.154697,9.595536,0.000000,28.188057,8.088847,0.200271,32.561954,11.213742,1.175924
20,0.000872,0.002418,0.141520,9.757724,0.000000,28.011969,8.164253,0.321255,32.555897,11.356033,1.069081
21,-0.003005,0.002802,0.168635,9.835941,0.000000,27.845247,8.236022,0.212113,32.550579,11.491299,1.030774
22,0.000219,0.002670,0.153079,9.901490,0.000000,27.687057,8.299695,0.174402,32.549580,11.619484,0.959835
23,0.005152,0.001904,0.172788,10.094777,0.000000,27.532562,8.368429,0.182129,32.533897,11.720991,0.894783
24,0.004466,0.002779,0.130851,10.155167,0.000000,27.391216,8.435407,0.281503,32.525349,11.820500,0.862368
25,-0.000307,0.005569,0.130550,10.272254,0.000000,27.258667,8.504969,0.254821,32.513000,11.913793,0.835456
26,-0.024938,0.005523,0.118340,10.339862,0.000000,27.139629,8.564098,0.165712,32.500320,11.998034,0.795959
27,0.003910,0.002732,0.131479,10.456055,0.000000,27.024668,8.617490,0.131073,32.489052,12.066766,0.724695
