epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,8.659810384114584,5.497051097336225e-05,7.330332381791802e-05,1.4772219401493203e-05,4.6472574467770755e-05,0.0012525185011327267,0.000157058602781035,0.00011321182682877406,0.00030626426450908184,0.00017506220319774002
2,8.624668666294642,0.00011779395572375506,8.977898366891655e-05,9.060292541107628e-06,0.0001677512627793476,0.0018170493422076106,0.0004476170288398862,0.0003104663919657469,0.0007852929993532598,0.0004499856731854379
3,8.542967781187995,1.57058602781035e-05,5.8016878894612756e-05,1.11989209017338e-07,4.944572395970681e-08,0.0010247982572764158,7.067636761348695e-05,4.62756615888793e-05,0.00011779395572375506,6.519151793327183e-05
4,8.457028343563987,7.85293013905175e-06,8.492569255221422e-05,1.1476444115032791e-06,1.0612068024329346e-07,0.001043786876834929,3.1411720556207e-05,2.2716872990713455e-05,6.2823441112414e-05,3.5212728107580915e-05
5,8.405397445436508,0.0,0.0,0.0,0.0,0.0009276136406697333,3.926465069525875e-05,2.2716872990713455e-05,7.85293013905175e-05,3.790651317103766e-05
6,8.372010246155755,3.1411720556207e-05,0.00015468608042237106,7.990894346221467e-07,6.282097047005664e-07,0.0011268171947449446,5.497051097336225e-05,4.421929770614952e-05,0.00011779395572375506,6.921101157786325e-05
7,8.361595517113095,7.85293013905175e-06,0.00025477707006369424,2.6279220577407614e-08,8.099979020848025e-10,0.0010926318354904652,3.926465069525875e-05,2.4586972358520143e-05,3.926465069525875e-05,2.4586972358520143e-05
8,8.345441545758929,7.85293013905175e-06,0.00025477707006369424,7.32117996449233e-07,2.256589048954538e-08,0.000976637238636613,3.1411720556207e-05,1.9632325347629376e-05,9.4235161668621e-05,4.462404103833251e-05
9,8.337982662140377,2.355879041715525e-05,0.00014979446010225138,5.529537247639382e-06,6.628195933444658e-06,0.0010057779727503657,5.497051097336225e-05,4.1321014577988535e-05,0.000157058602781035,8.253480336861685e-05
10,8.329185849144345,3.1411720556207e-05,3.4586673329590235e-05,8.328120770784153e-07,2.055251798083191e-06,0.0011926150182262063,9.4235161668621e-05,6.590798875549808e-05,0.00017276447033509612,9.869628411252052e-05
11,8.328643314422123,2.355879041715525e-05,0.00022292993630573248,5.053108452557353e-06,3.668644922072417e-06,0.0009070575470104814,3.1411720556207e-05,2.8513437428046018e-05,0.0001099410219467245,6.0957590903854e-05
12,8.323758564298116,7.85293013905175e-06,2.8308563551325706e-05,4.122272656559289e-08,1.1435381530588984e-08,0.0009406753815710545,7.85293013905175e-06,7.85293013905175e-06,7.85293013905175e-06,7.85293013905175e-06
13,8.320610894097221,3.1411720556207e-05,0.0003502292409577178,1.3158921774447663e-07,1.7349860215176705e-08,0.001064661075361073,6.2823441112414e-05,4.917394835501909e-05,0.00011779395572375506,7.181602268246934e-05
14,8.317269461495536,7.85293013905175e-06,0.00012729124236252545,6.421554843427657e-08,3.961624805981501e-09,0.0009204313391819596,2.355879041715525e-05,1.7762224160833284e-05,7.067636761348695e-05,3.7022229662397876e-05
15,8.315645732576884,7.85293013905175e-06,8.492569255221422e-05,4.878449999523582e-08,4.51101778153884e-09,0.0009384140139445662,3.1411720556207e-05,2.271687117172405e-05,6.2823441112414e-05,3.5212728107580915e-05
16,8.317508758060516,1.57058602781035e-05,0.00033970277020885687,4.132415938329359e-07,2.1995044008349396e-08,0.0010394486598670483,5.497051097336225e-05,3.8422727811848745e-05,8.638223516754806e-05,5.126273390487768e-05
