epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.003122,0.751305,1.402716,4.517821,0.193202,32.615715,7.979403,7.979403,32.155880,3.192211,3.192211
2,0.115782,0.024702,0.291877,5.550617,0.286589,32.580536,9.059071,2.029945,32.246651,4.520854,2.591021
3,-0.102845,0.023974,0.151828,5.990877,0.379670,32.314251,9.110616,1.005976,32.416634,5.775955,2.764305
4,0.005574,0.015956,0.139648,6.098484,0.472127,32.029907,9.095367,0.705563,32.498417,6.631461,2.172940
5,0.015036,0.052325,0.188933,6.005452,0.563818,31.806454,9.283428,1.403807,32.545055,7.281815,1.968075
6,-0.003683,0.049932,0.138899,5.774765,0.654579,31.583052,9.491690,1.500315,32.566444,7.768479,1.769487
7,-0.005733,0.040492,0.139376,5.527086,0.744241,31.348560,9.671429,1.454931,32.589890,8.224450,1.738453
8,-0.000988,0.051886,0.124542,5.246751,0.832628,31.122183,9.831760,1.147887,32.609169,8.633185,1.668398
9,0.031556,0.052386,0.160760,5.030586,0.919530,30.882517,9.931657,1.086278,32.616756,8.983180,1.573698
10,-0.001688,0.012719,0.149942,4.774225,1.004754,30.623707,9.944542,0.370452,32.627274,9.314568,1.590614
11,0.010064,0.005956,0.137781,4.549219,1.088187,30.368919,9.951157,0.511958,32.641788,9.633324,1.549305
12,-0.001044,0.041876,0.128465,4.394840,1.169565,30.160881,10.088730,1.188047,32.659046,9.945751,1.525293
13,-0.004011,0.019952,0.121897,4.262810,1.246598,30.687897,12.135632,6.599637,32.679508,10.236045,1.459300
14,0.087850,0.010060,0.186803,4.120196,1.323257,30.492571,12.227848,0.384755,32.688488,10.480423,1.450397
15,-0.000711,0.050285,0.140948,4.049712,1.395912,30.712721,13.213372,5.108443,32.693661,10.702829,1.371888
16,0.040050,0.017791,0.139238,3.975411,1.461270,30.549900,13.346935,1.367123,32.698933,10.909207,1.320113
17,0.005468,0.018929,0.119899,3.916836,1.516076,30.350855,13.360865,0.923825,32.705769,11.108421,1.304824
18,-0.010841,0.022205,0.120539,3.930740,1.557603,30.186644,13.458305,1.649722,32.708340,11.295069,1.225193
19,0.003807,0.004758,0.113516,3.923973,1.590805,29.999681,13.466558,0.532310,32.702366,11.448782,1.210024
20,-0.038291,0.006546,0.123746,3.925715,1.616630,29.815144,13.470884,0.797269,32.698986,11.598312,1.142345
21,-0.001355,0.003276,0.121385,3.944553,1.639498,29.631493,13.464869,0.352950,32.693935,11.741630,1.158134
22,0.026715,0.004209,0.115215,3.956470,1.658493,29.463341,13.468035,0.332076,32.689491,11.877292,1.078129
23,0.027778,0.004191,0.116203,3.978511,1.673683,29.307512,13.474636,0.479466,32.679375,11.987538,1.032027
24,-0.019848,0.014418,0.103497,3.995192,1.687509,29.171978,13.510111,0.954257,32.675129,12.100743,0.997903
25,-0.015550,0.002678,0.138462,4.022733,1.699707,29.030550,13.511104,0.160973,32.670021,12.201679,0.922897
26,-0.014923,0.002270,0.114392,4.045773,1.709807,28.897747,13.510324,0.175124,32.657757,12.281914,0.857612
27,0.003654,0.016780,0.106447,4.091533,1.716201,28.776342,13.505733,0.541339,32.645771,12.351861,0.812358
28,0.029618,0.004226,0.124426,4.115320,1.723274,28.663345,13.507948,0.388586,32.634251,12.422008,0.783736
29,-0.017436,0.002940,0.104788,4.165791,1.729171,28.557680,13.511707,0.110157,32.622971,12.480873,0.721863
30,0.002926,0.002522,0.112692,4.187408,1.734345,28.463923,13.523710,0.269284,32.610676,12.528751,0.687327
31,0.017221,0.001500,0.115570,4.226122,1.738272,28.375050,13.528580,0.097551,32.598846,12.571602,0.615850
32,0.020940,0.003222,0.122325,4.226609,1.742294,28.294657,13.533907,0.088423,32.587471,12.614087,0.584887
