epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.004263,0.900740,1.256325,4.185751,0.193352,32.450516,6.680710,6.680710,32.108368,3.017798,3.017798
2,0.001163,0.124080,0.318231,5.086371,0.286558,32.221195,6.886660,1.426124,32.191326,4.348231,2.486451
3,-0.037858,0.004789,0.174053,5.357398,0.379471,31.942106,6.937174,0.610491,32.292408,5.475982,2.440385
4,-0.000605,0.006079,0.240360,5.389810,0.471913,31.654806,6.943340,0.409245,32.383270,6.414695,2.146402
5,0.012606,0.001680,0.131320,5.281718,0.563670,31.373461,6.970236,0.493222,32.442368,7.091952,1.897960
6,-0.006195,0.008203,0.185206,5.072271,0.654530,31.093435,6.988954,0.464664,32.495090,7.665620,1.765987
7,-0.005756,0.044338,0.164598,4.876192,0.742409,31.278605,8.419095,5.264847,32.540665,8.140450,1.731694
8,-0.000584,0.001329,0.185894,4.651108,0.830930,31.004478,8.420534,0.277850,32.580578,8.555409,1.619732
9,0.001350,0.001398,0.127731,4.420781,0.918041,30.734238,8.420922,0.271823,32.619949,8.929790,1.560265
10,-0.002743,0.000931,0.181305,4.236417,1.003470,30.472034,8.429445,0.263642,32.652267,9.288480,1.520714
11,-0.006679,0.001405,0.157614,4.056922,1.087041,30.213291,8.447527,0.261684,32.682888,9.624641,1.491842
12,-0.003290,0.003642,0.147229,3.885379,1.168590,29.966286,8.472015,0.251343,32.703262,9.917251,1.551722
13,0.004548,0.003675,0.155513,3.749176,1.247931,29.727451,8.500915,0.248211,32.721222,10.192533,1.449757
14,0.002141,0.003297,0.203139,3.635446,1.324884,29.501467,8.534674,0.242685,32.730202,10.442779,1.356446
15,0.000024,0.003907,0.139277,3.562052,1.399265,29.286119,8.575166,0.274986,32.748112,10.667476,1.322311
16,-0.004881,0.002245,0.196629,3.490452,1.470624,29.064791,8.620709,0.244337,32.766323,10.887137,1.262447
17,0.002470,0.002248,0.149063,3.451400,1.533036,28.861002,8.671796,0.268601,32.779598,11.090491,1.253461
18,-0.008147,0.001682,0.142151,3.441989,1.584015,28.671051,8.717191,0.218562,32.774982,11.266499,1.168597
19,-0.007432,0.001278,0.157557,3.423114,1.625437,28.484312,8.767146,0.250195,32.784225,11.439585,1.118768
20,-0.007227,0.002438,0.168716,3.432193,1.657349,28.315498,8.814882,0.195538,32.786297,11.588058,1.077101
21,0.008421,0.001696,0.148494,3.479553,1.685517,28.141325,8.866957,0.191290,32.775803,11.721514,1.046224
22,-0.006607,0.001176,0.134055,3.458018,1.709184,27.987286,8.915589,0.180421,32.769012,11.848413,0.989516
23,-0.005263,0.000922,0.134276,3.486842,1.728640,27.835882,8.965302,0.154172,32.760384,11.954906,0.939573
24,0.000213,0.000848,0.145927,3.506743,1.745183,27.698353,9.012280,0.149086,32.748882,12.062469,0.993684
25,0.001572,0.008583,0.155030,3.520509,1.759869,27.570974,9.057293,0.151815,32.740002,12.163955,0.872385
26,-0.005417,0.000634,0.132017,3.539854,1.771435,27.440454,9.105240,0.135601,32.730488,12.251135,0.772979
27,-0.000584,0.000689,0.134063,3.597620,1.782158,27.319105,9.153744,0.137899,32.717651,12.318634,0.732187
28,0.013149,0.000566,0.137426,3.600128,1.791047,27.235199,9.246411,1.080682,32.709499,12.389908,0.719728
29,0.001353,0.001412,0.148767,3.638415,1.799110,27.149565,9.326643,0.339650,32.699997,12.447278,0.653653
30,0.004254,0.000569,0.152389,3.653057,1.805856,27.057835,9.363131,0.092974,32.690861,12.499326,0.638344
31,0.003595,0.000316,0.172937,3.688234,1.812014,26.972893,9.398268,0.087705,32.677151,12.543015,0.566760
32,-0.002564,0.000591,0.189942,3.704319,1.817955,26.895641,9.430777,0.078019,32.665176,12.585068,0.539944
33,0.000687,0.000377,0.170468,3.749432,1.822814,26.826410,9.460260,0.071533,32.651260,12.614451,0.459638
34,0.000215,0.002887,0.132451,3.771002,1.825650,26.766171,9.485556,0.066820,32.638367,12.639935,0.440424
35,-0.004726,0.000657,0.147945,3.795087,1.829610,26.711802,9.508529,0.058145,32.625900,12.661603,0.395410
36,-0.000068,0.000660,0.128061,3.820259,1.832205,26.663036,9.529657,0.050178,32.616631,12.680277,0.347142
37,0.000520,0.000502,0.163651,3.850196,1.834794,26.619370,9.549392,0.047847,32.608387,12.696030,0.309542
38,-0.000027,0.000537,0.139311,3.866419,1.836908,26.582081,9.566368,0.046661,32.599178,12.706849,0.284600
39,-0.002029,0.000527,0.119416,3.867717,1.838744,26.550711,9.580277,0.032325,32.594189,12.720750,0.253531
40,-0.000344,0.000462,0.154888,3.898413,1.839970,26.524403,9.592209,0.026733,32.588619,12.730468,0.211535
41,0.002650,0.000472,0.161428,3.923467,1.841421,26.502789,9.602138,0.021902,32.583431,12.737502,0.182895
42,-0.001249,0.000488,0.147028,3.911626,1.842875,26.485161,9.610194,0.018001,32.579216,12.742743,0.159263
43,-0.000606,0.001134,0.148312,3.940326,1.843840,26.470898,9.616519,0.015988,32.575657,12.745474,0.124425
44,0.001334,0.000675,0.152738,3.954577,1.844574,26.459299,9.621655,0.056768,32.573353,12.748893,0.104002
45,-0.001160,0.001191,0.132414,3.954760,1.845149,26.452541,9.624548,0.019551,32.571941,12.750717,0.087688
46,-0.003456,0.001403,0.129216,3.950599,1.845618,26.447485,9.626868,0.006482,32.570904,12.751673,0.064327
47,-0.002101,0.004094,0.131219,3.967780,1.845889,26.444242,9.628394,0.005840,32.570431,12.752832,0.039686
48,-0.001053,0.002871,0.136718,3.956681,1.846022,26.442469,9.629271,0.003937,32.570011,12.752934,0.021464
49,0.001042,0.002535,0.146190,3.964936,1.846075,26.441826,9.629611,0.001592,32.569866,12.753034,0.008193
50,-0.007418,0.007348,0.162732,3.954890,1.846082,26.441725,9.629662,0.000227,32.569847,12.753042,0.001468
