Category,precision,recall,f1-score,support
Community,32.01 ± 22.70,35.19 ± 25.50,33.50 ± 24.01,2760.00 ± 1397.50
Entertainment,22.95 ± 22.68,26.91 ± 24.99,24.63 ± 23.49,4160.00 ± 1502.66
Food,12.56 ± 20.12,18.00 ± 24.90,13.57 ± 19.63,420.00 ± 605.81
Nightlife,9.33 ± 13.62,14.17 ± 19.45,11.11 ± 15.71,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,36.10 ± 24.98,29.88 ± 27.35,31.66 ± 25.78,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,12.50 ± 12.50,24.00 ± 25.10,16.41 ± 16.68,280.00 ± 130.38
Unknown-8,55.02 ± 5.69,54.35 ± 11.28,54.08 ± 6.88,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,5.00 ± 6.85,24.00 ± 43.36,7.52 ± 10.58,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,25.00 ± 25.00,34.09 ± 41.47,27.86 ± 29.40,400.00 ± 418.33
Unknown-13,10.67 ± 15.35,8.33 ± 11.79,8.89 ± 12.17,340.00 ± 194.94
Unknown-14,6.22 ± 9.08,5.33 ± 7.67,5.74 ± 8.31,640.00 ± 270.19
Unknown-15,23.95 ± 21.94,28.37 ± 26.29,25.95 ± 23.88,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,17.05 ± 23.58,15.00 ± 19.15,13.39 ± 15.53,275.00 ± 263.00
Unknown-18,34.96 ± 32.36,33.22 ± 30.44,34.05 ± 31.32,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,39.77 ± 36.76,43.19 ± 39.49,41.34 ± 37.93,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,53.05 ± 19.84,46.79 ± 15.84,49.60 ± 17.63,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 838.65
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,708180.00 ± 15898.80
Unknown-29,15.83 ± 16.77,40.95 ± 44.24,20.20 ± 20.19,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-31,38.02 ± 43.51,31.25 ± 23.94,30.63 ± 27.40,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
Unknown-33,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,400.00 ± 339.12
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 346.41
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-36,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-37,43.42 ± 27.35,44.42 ± 26.17,43.81 ± 26.53,10660.00 ± 5767.41
Unknown-38,2.50 ± 5.59,10.00 ± 22.36,4.00 ± 8.94,140.00 ± 54.77
Unknown-39,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,120.00 ± 109.54
Unknown-40,21.89 ± 20.10,12.86 ± 17.78,14.21 ± 18.44,3680.00 ± 1331.16
Unknown-41,51.12 ± 16.13,48.42 ± 18.39,49.53 ± 17.30,9600.00 ± 3506.42
Unknown-42,25.89 ± 35.46,16.96 ± 23.25,20.49 ± 28.07,21420.00 ± 2610.94
Unknown-43,11.59 ± 11.01,10.38 ± 9.68,10.94 ± 10.28,3220.00 ± 1213.26
Unknown-44,49.15 ± 27.91,47.46 ± 27.32,48.28 ± 27.59,29920.00 ± 7232.36
Unknown-45,35.78 ± 32.70,22.78 ± 20.86,27.80 ± 25.39,18960.00 ± 1693.52
Unknown-46,22.18 ± 25.19,26.11 ± 26.47,21.01 ± 22.24,800.00 ± 1097.72
Unknown-47,58.38 ± 7.46,59.55 ± 10.90,58.73 ± 8.52,7380.00 ± 1706.46
Unknown-48,38.79 ± 9.51,40.20 ± 9.31,39.20 ± 8.91,9880.00 ± 2928.65
Unknown-49,62.51 ± 4.01,63.25 ± 3.26,62.86 ± 3.46,14200.00 ± 2100.00
Unknown-50,33.83 ± 33.30,32.00 ± 29.50,32.62 ± 30.83,1120.00 ± 901.11
Unknown-51,45.27 ± 20.15,51.02 ± 15.98,47.72 ± 18.51,1080.00 ± 432.43
Unknown-52,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 130.38
Unknown-53,15.23 ± 21.54,14.48 ± 20.45,14.85 ± 20.98,3160.00 ± 973.65
Unknown-54,44.92 ± 41.05,47.33 ± 43.27,46.09 ± 42.12,58180.00 ± 5199.23
Unknown-55,20.05 ± 27.47,18.20 ± 24.98,19.05 ± 26.09,4340.00 ± 829.46
Unknown-56,39.68 ± 22.64,43.33 ± 36.51,39.36 ± 24.87,660.00 ± 826.44
Unknown-57,26.47 ± 12.93,31.25 ± 14.11,28.45 ± 13.01,3720.00 ± 1249.80
Unknown-58,56.01 ± 11.83,59.40 ± 12.17,57.64 ± 11.95,9620.00 ± 5100.20
Unknown-59,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,99580.00 ± 4516.30
Unknown-60,47.00 ± 21.15,50.87 ± 19.71,48.68 ± 20.64,3520.00 ± 3139.59
Unknown-62,37.30 ± 21.80,39.69 ± 24.28,37.97 ± 22.26,1900.00 ± 484.77
Unknown-63,39.73 ± 41.76,34.67 ± 40.93,36.78 ± 41.12,1080.00 ± 1925.36
Unknown-64,3.70 ± 6.42,2.38 ± 4.12,2.90 ± 5.02,533.33 ± 757.19
Unknown-65,55.06 ± 5.98,58.61 ± 5.59,56.72 ± 5.50,11280.00 ± 5299.25
Unknown-66,37.10 ± 7.49,38.30 ± 8.46,37.54 ± 7.45,2740.00 ± 1021.27
Unknown-67,24.45 ± 16.87,24.71 ± 16.06,24.52 ± 16.42,2560.00 ± 450.56
Unknown-68,43.41 ± 25.06,44.12 ± 29.92,43.39 ± 26.62,5940.00 ± 2578.37
Unknown-69,42.75 ± 5.00,41.96 ± 4.10,42.28 ± 4.16,7380.00 ± 1840.38
Unknown-70,74.79 ± 14.28,70.93 ± 17.11,72.76 ± 15.84,2400.00 ± 1433.53
Unknown-71,48.23 ± 12.04,40.83 ± 10.77,43.61 ± 9.04,1260.00 ± 594.14
Unknown-72,26.62 ± 7.44,23.11 ± 6.38,23.93 ± 4.23,1240.00 ± 740.27
Unknown-73,47.58 ± 16.93,50.89 ± 11.49,48.46 ± 14.61,1480.00 ± 601.66
Unknown-74,40.84 ± 24.07,42.19 ± 24.56,41.49 ± 24.29,20120.00 ± 6003.08
Unknown-75,39.36 ± 15.57,34.29 ± 10.77,36.29 ± 12.30,1300.00 ± 200.00
Unknown-76,71.83 ± 8.00,76.10 ± 8.20,73.83 ± 7.64,9340.00 ± 1771.44
Unknown-77,26.67 ± 20.54,31.87 ± 14.87,26.67 ± 14.83,880.00 ± 630.08
Unknown-78,40.86 ± 13.50,41.60 ± 7.63,40.20 ± 8.35,2360.00 ± 482.70
Unknown-79,22.36 ± 5.27,24.75 ± 6.17,23.18 ± 4.62,1500.00 ± 648.07
Unknown-80,28.00 ± 26.37,33.33 ± 31.18,30.43 ± 28.56,440.00 ± 207.36
Unknown-81,2.79 ± 4.57,2.91 ± 4.43,2.84 ± 4.48,2640.00 ± 730.07
Unknown-82,38.57 ± 41.53,16.50 ± 20.59,19.39 ± 19.75,560.00 ± 181.66
Unknown-83,49.35 ± 9.22,66.18 ± 11.99,56.34 ± 10.00,1220.00 ± 593.30
Unknown-84,42.77 ± 17.20,47.88 ± 12.04,44.70 ± 14.61,820.00 ± 303.32
Unknown-85,28.81 ± 26.71,29.70 ± 27.50,29.16 ± 26.90,10120.00 ± 4232.26
Unknown-86,54.29 ± 30.49,56.87 ± 32.90,55.46 ± 31.49,9140.00 ± 4386.68
Unknown-87,11.87 ± 16.10,12.34 ± 13.53,11.87 ± 14.61,2200.00 ± 1518.22
Unknown-89,2.35 ± 5.26,2.29 ± 5.11,2.32 ± 5.19,2780.00 ± 576.19
Unknown-90,13.33 ± 21.73,12.86 ± 21.67,9.44 ± 12.97,820.00 ± 164.32
Unknown-91,26.67 ± 43.46,5.54 ± 8.74,7.86 ± 11.41,720.00 ± 334.66
Unknown-92,60.12 ± 8.39,73.23 ± 15.57,65.50 ± 10.41,1120.00 ± 192.35
Unknown-93,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 100.00
Unknown-94,7.50 ± 16.77,5.45 ± 12.20,6.32 ± 14.12,2540.00 ± 1301.15
Unknown-95,12.00 ± 16.81,13.87 ± 19.01,12.73 ± 17.51,2180.00 ± 785.49
Unknown-96,47.67 ± 27.42,46.63 ± 26.42,47.12 ± 26.88,14320.00 ± 3917.52
Unknown-97,11.97 ± 11.35,12.37 ± 8.87,10.74 ± 9.10,1220.00 ± 506.95
Unknown-98,31.67 ± 21.92,27.71 ± 21.37,29.38 ± 21.43,420.00 ± 216.79
Unknown-100,23.59 ± 8.23,22.78 ± 8.60,23.16 ± 8.39,3380.00 ± 622.09
Unknown-101,1.60 ± 3.58,1.54 ± 3.44,1.57 ± 3.51,1480.00 ± 798.12
Unknown-102,28.57 ± 16.13,26.95 ± 16.02,27.65 ± 15.89,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,8.89 ± 8.17,8.93 ± 8.35,8.89 ± 8.20,5360.00 ± 1006.48
Unknown-106,22.70 ± 19.25,16.32 ± 10.76,17.64 ± 11.55,1460.00 ± 568.33
Unknown-107,9.16 ± 9.71,7.21 ± 7.79,8.06 ± 8.63,1380.00 ± 396.23
Unknown-108,11.93 ± 16.52,9.88 ± 13.80,10.81 ± 15.03,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,15.70 ± 10.24,16.71 ± 12.37,16.10 ± 11.06,5320.00 ± 1382.75
Unknown-111,49.63 ± 8.23,50.22 ± 9.73,49.86 ± 8.77,7440.00 ± 1818.79
Unknown-112,50.87 ± 8.59,47.70 ± 10.36,49.12 ± 9.23,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,11.15 ± 8.07,9.74 ± 5.83,10.29 ± 6.70,1840.00 ± 654.22
Unknown-116,21.11 ± 44.17,16.67 ± 23.57,12.00 ± 21.68,160.00 ± 114.02
Unknown-117,22.00 ± 30.13,23.21 ± 31.80,22.59 ± 30.93,31160.00 ± 4368.98
Unknown-118,9.85 ± 13.48,26.67 ± 32.66,12.98 ± 16.15,325.00 ± 263.00
Unknown-119,11.33 ± 15.82,12.91 ± 17.95,12.07 ± 16.82,9600.00 ± 1776.23
Unknown-120,44.80 ± 40.94,27.72 ± 25.31,34.25 ± 31.27,70240.00 ± 1190.80
Unknown-121,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1000.00 ± 463.68
Unknown-122,25.56 ± 30.83,21.71 ± 24.79,21.77 ± 24.55,400.00 ± 264.58
Unknown-123,30.14 ± 27.72,29.74 ± 27.16,29.88 ± 27.32,9160.00 ± 2294.12
Unknown-124,11.94 ± 26.69,12.33 ± 27.58,12.13 ± 27.13,3100.00 ± 1869.49
Unknown-125,25.86 ± 6.59,27.61 ± 5.83,26.47 ± 5.39,2260.00 ± 1154.56
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-127,8.44 ± 8.52,9.71 ± 9.17,8.69 ± 8.07,840.00 ± 439.32
Unknown-128,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 83.67
Unknown-129,17.98 ± 7.66,22.78 ± 9.55,19.82 ± 8.23,780.00 ± 109.54
Unknown-130,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-131,29.96 ± 18.33,33.45 ± 19.76,31.33 ± 18.41,880.00 ± 465.83
Unknown-132,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,500.00 ± 234.52
Unknown-133,10.00 ± 22.36,5.71 ± 12.78,7.27 ± 16.26,780.00 ± 420.71
Unknown-134,3.75 ± 8.39,5.45 ± 12.20,4.44 ± 9.94,620.00 ± 349.28
Unknown-135,28.33 ± 13.17,28.75 ± 12.78,28.52 ± 12.97,5660.00 ± 753.66
Unknown-136,8.23 ± 10.58,10.47 ± 13.56,9.22 ± 11.89,2380.00 ± 476.45
Unknown-137,35.63 ± 23.07,45.84 ± 35.92,35.79 ± 20.33,860.00 ± 965.92
Unknown-138,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,400.00 ± 300.00
Unknown-139,46.67 ± 17.24,43.53 ± 19.62,44.84 ± 18.25,1260.00 ± 844.39
