epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.004083,0.899280,1.256325,4.424461,0.193328,32.461533,6.762718,6.762718,32.101631,2.952709,2.952709
2,-0.002658,0.061073,0.359252,5.236932,0.286484,32.298428,7.264390,2.227088,32.175762,4.221132,2.443362
3,0.047122,0.030951,0.212489,5.468271,0.378960,32.679085,9.538821,6.220441,32.287498,5.359914,2.457107
4,0.070966,0.012332,0.309704,5.498683,0.471281,32.483116,9.838039,0.906380,32.388256,6.283193,2.179903
5,0.012507,0.024030,0.161318,5.382884,0.563023,32.195068,9.829072,0.918099,32.467377,7.027525,1.997554
6,0.005172,0.005287,0.170305,5.157993,0.653977,31.901800,9.785419,0.296608,32.520973,7.621290,1.804835
7,-0.001404,0.009695,0.166087,4.951298,0.743802,31.613913,9.749317,0.290957,32.548183,8.085531,1.683068
8,0.000886,0.007320,0.144654,4.728668,0.832280,31.332047,9.721272,0.286822,32.565727,8.488158,1.631731
9,0.003295,0.002472,0.134862,4.484778,0.919266,31.057817,9.701787,0.276416,32.588188,8.871306,1.589549
10,0.000936,0.005608,0.178776,4.291124,1.004579,30.790962,9.690248,0.274003,32.602985,9.214128,1.516034
11,0.003718,0.008937,0.206913,4.123389,1.088042,30.531027,9.687335,0.272526,32.618008,9.548056,1.524268
12,-0.003154,0.006923,0.157416,3.959329,1.169485,30.281586,9.691709,0.302882,32.633053,9.848301,1.472385
13,0.003658,0.040598,0.148135,3.838855,1.248663,30.042604,9.703360,0.446947,32.644924,10.121370,1.419122
14,-0.011153,0.007188,0.176452,3.755790,1.325305,29.809752,9.721010,0.367964,32.656506,10.363891,1.322605
15,-0.002471,0.022377,0.127279,3.685373,1.399125,29.601641,9.793834,1.016497,32.663811,10.579328,1.318489
16,0.002902,0.004340,0.205107,3.634307,1.464632,29.413446,9.892064,1.022083,32.668953,10.801861,1.279444
17,-0.019521,0.012374,0.123342,3.633077,1.517450,29.215431,9.957606,0.571190,32.668446,10.994861,1.208361
18,0.015174,0.003046,0.184768,3.627950,1.559346,29.015558,9.984774,0.325308,32.668270,11.172849,1.175715
19,-0.000840,0.003744,0.142052,3.624642,1.593073,28.826757,10.028607,0.361317,32.669235,11.346281,1.140229
20,-0.003527,0.003720,0.181365,3.647695,1.618703,28.653284,10.077936,0.383079,32.665882,11.494388,1.058806
21,0.015976,0.011553,0.108414,3.696333,1.640896,28.479410,10.115582,0.348626,32.658085,11.622884,1.011188
22,0.007489,0.006682,0.134223,3.691649,1.660421,28.313919,10.143380,0.240497,32.653057,11.757718,1.021932
23,-0.004577,0.019634,0.125175,3.719325,1.676146,28.154549,10.166045,0.493903,32.645741,11.869977,0.956446
24,-0.003537,0.003464,0.135516,3.735014,1.688749,28.016472,10.214542,0.665133,32.638058,11.976593,0.907697
25,0.022623,0.030060,0.141927,3.770082,1.699958,27.882854,10.258361,0.295584,32.629749,12.076872,0.851492
26,-0.004642,0.001947,0.142681,3.783523,1.708979,27.757175,10.294712,0.318734,32.618237,12.158574,0.792850
27,0.025470,0.007637,0.122081,3.836242,1.717698,27.648853,10.341981,0.674522,32.606823,12.235574,0.768789
28,-0.001854,0.004008,0.164583,3.838284,1.724670,27.543800,10.379903,0.314514,32.596916,12.306896,0.719068
29,-0.002455,0.003753,0.172463,3.879254,1.731004,27.442652,10.402458,0.202242,32.586033,12.363553,0.661225
30,0.013722,0.002826,0.149591,3.903116,1.736210,27.352936,10.429157,0.238734,32.575436,12.418648,0.619177
