epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.013887,0.862896,1.287387,4.417412,0.193389,32.446918,6.688762,6.688762,32.113201,2.943904,2.943904
2,-0.004935,0.039467,0.292002,5.186332,0.286674,32.485237,7.842820,3.771961,32.196194,4.290980,2.507067
3,-0.054971,0.444798,0.137672,5.373599,0.379618,32.187832,7.785893,0.657662,32.275497,5.352673,2.350405
4,0.013598,0.000959,0.207001,5.403743,0.472138,31.885954,7.755099,0.336545,32.362526,6.290539,2.203845
5,0.013445,0.001486,0.186596,5.299420,0.563947,31.599409,7.744738,0.613769,32.409145,6.979745,1.896077
6,0.009802,0.002109,0.165240,5.073628,0.654826,31.359694,7.787666,1.029093,32.451729,7.564430,1.759930
7,0.027570,0.002984,0.209848,4.860781,0.744595,31.084028,7.791842,0.317596,32.478096,8.036296,1.672524
8,0.015267,0.011689,0.204156,4.654180,0.833056,30.808990,7.801400,0.303986,32.492508,8.441442,1.579924
9,-0.009306,0.005028,0.142608,4.433197,0.920016,30.542015,7.821050,0.350451,32.520878,8.836316,1.591681
10,0.033289,0.008771,0.201759,4.208328,1.005311,30.281656,7.835489,0.570278,32.551018,9.198865,1.566205
11,-0.057281,0.389482,0.145263,4.044848,1.086782,30.434179,9.089019,4.626296,32.583065,9.499360,1.449707
12,-0.015027,0.001247,0.191470,3.891259,1.168276,30.185574,9.104956,0.251616,32.602825,9.772452,1.458239
13,-0.006068,0.001197,0.159231,3.751186,1.247589,29.941191,9.123287,0.247190,32.615150,10.021335,1.371493
14,-0.001273,0.000755,0.152684,3.649018,1.324510,29.707808,9.145371,0.236070,32.617313,10.264219,1.476976
15,-0.005211,0.000820,0.186669,3.564865,1.398939,29.478045,9.173436,0.274066,32.627254,10.489893,1.322966
16,0.006717,0.001389,0.157542,3.514846,1.469906,29.261044,9.205744,0.220862,32.633659,10.704639,1.267870
17,0.000176,0.001726,0.127160,3.470825,1.532521,29.054073,9.240858,0.210866,32.643692,10.901534,1.251824
18,-0.000258,0.002065,0.176485,3.452378,1.583267,28.855770,9.278571,0.199503,32.649403,11.077371,1.160857
19,0.004863,0.000762,0.147021,3.443557,1.622576,28.664856,9.319273,0.192202,32.655888,11.242578,1.083258
20,-0.003108,0.000541,0.130633,3.476717,1.655214,28.483112,9.364543,0.280857,32.652164,11.394981,1.040709
21,0.001851,0.001655,0.154541,3.472032,1.681702,28.312923,9.417827,0.296569,32.649086,11.526715,1.028215
22,-0.002708,0.000256,0.193693,3.473675,1.703198,28.150259,9.460445,0.162806,32.649403,11.658077,0.983513
23,0.003713,0.000216,0.164413,3.504508,1.721840,27.996778,9.503352,0.153597,32.642693,11.770989,0.913907
24,-0.000084,0.000969,0.107129,3.541895,1.738980,27.852646,9.546333,0.144938,32.634136,11.867066,0.846412
25,0.005659,0.000297,0.124349,3.553568,1.754198,27.718246,9.587350,0.135090,32.621815,11.953111,0.813822
26,0.004402,0.000418,0.144550,3.581659,1.765961,27.592710,9.627056,0.126500,32.610161,12.029941,0.783322
27,-0.003841,0.000800,0.157777,3.615909,1.776182,27.475985,9.665473,0.119206,32.597965,12.099314,0.746516
28,0.003392,0.003783,0.142064,3.649839,1.785112,27.366913,9.702847,0.123420,32.586609,12.160089,0.689602
29,-0.000391,0.000903,0.140825,3.654723,1.792989,27.265326,9.739052,0.102625,32.579353,12.220789,0.673893
30,0.001146,0.001457,0.177124,3.682366,1.800082,27.172791,9.772202,0.092829,32.567833,12.270127,0.601373
31,-0.002243,0.001284,0.132390,3.692402,1.806074,27.087931,9.803313,0.085918,32.562035,12.322147,0.600550
32,0.000169,0.001507,0.130363,3.740821,1.811990,27.024038,9.873724,1.110226,32.551907,12.362349,0.536031
33,0.002470,0.005415,0.136199,3.770248,1.816641,27.059288,10.297016,2.629364,32.542381,12.394856,0.480520
34,-0.034809,0.089051,0.168057,3.746639,1.818867,27.669289,12.036582,5.423090,32.539513,12.430415,0.459209
35,-0.007898,0.015546,0.214168,3.786310,1.822149,27.824471,12.579575,3.130263,32.533527,12.453657,0.404993
36,-0.151101,0.025158,0.174921,3.788823,1.824928,27.830645,12.637746,0.830368,32.529163,12.478914,0.365714
37,-0.037112,0.007409,0.163171,3.842150,1.827965,27.797352,12.659584,0.537732,32.519943,12.491385,0.324457
38,-0.023115,0.012734,0.145441,3.861663,1.829819,27.773708,12.686774,0.511413,32.513214,12.507595,0.279290
39,-0.007301,0.012594,0.121571,3.892519,1.831695,27.742855,12.691031,0.093172,32.505650,12.516668,0.243063
40,-0.004711,0.012514,0.134066,3.933442,1.833214,27.715466,12.695325,0.044756,32.499458,12.524580,0.208548
41,-0.018277,0.107655,0.137986,3.942010,1.834285,27.697296,12.698838,0.297975,32.493511,12.530571,0.168479
42,-0.029989,0.033090,0.125464,3.943390,1.835604,27.680742,12.703000,0.087646,32.489170,12.534719,0.149640
43,0.002092,0.017385,0.144235,3.950354,1.836432,27.667398,12.706093,0.183492,32.485573,12.537704,0.114211
44,-0.001997,0.052025,0.135825,3.962804,1.836989,27.656940,12.707725,0.022858,32.482712,12.540035,0.085389
45,0.007363,0.036169,0.154304,3.985230,1.837425,27.649300,12.709471,0.074063,32.480293,12.540694,0.064513
46,0.005577,0.010156,0.161348,4.018070,1.837754,27.644087,12.710298,0.013713,32.479080,12.542308,0.043535
47,0.014459,0.015568,0.143880,4.000333,1.837968,27.640921,12.710671,0.012097,32.478069,12.543024,0.028157
48,-0.015965,0.069875,0.149402,3.995753,1.838064,27.639236,12.710855,0.007643,32.477650,12.543432,0.015897
49,-0.016616,0.022864,0.137310,4.020324,1.838098,27.638632,12.710942,0.001543,32.477451,12.543545,0.006234
50,-0.000948,0.066307,0.143879,4.005453,1.838103,27.638548,12.710954,0.001541,32.477421,12.543538,0.001079
