epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.030022,0.882431,1.441382,4.448666,0.193432,32.443653,6.619422,6.619422,32.113171,3.002904,3.002904
2,0.009144,0.147062,0.181042,5.271896,0.286605,32.537476,8.196028,4.454366,32.187260,4.308010,2.526191
3,0.009388,0.010460,0.191575,5.441649,0.379508,32.377609,8.627490,2.147515,32.268326,5.388434,2.269543
4,0.022892,0.003091,0.259692,5.471837,0.471949,32.160465,8.847857,0.980367,32.333263,6.264735,2.064041
5,-0.011503,0.000620,0.151003,5.319456,0.563811,31.863977,8.808019,0.296907,32.384487,6.946333,1.854215
6,0.005105,0.001291,0.162239,5.107201,0.654760,31.572674,8.778907,0.295753,32.418705,7.468386,1.697038
7,0.013208,0.003175,0.182111,4.853260,0.744594,31.285389,8.763814,0.314466,32.453289,7.942898,1.674301
8,0.028320,0.008821,0.161273,4.634312,0.833118,31.003386,8.757506,0.337995,32.500458,8.458612,2.107577
9,0.005937,0.006698,0.207530,4.431662,0.920119,30.727737,8.761671,0.454238,32.518185,8.802062,1.628357
10,0.012573,0.016001,0.166243,4.220537,1.005451,30.468302,8.778343,0.388222,32.536598,9.132231,1.473727
11,-0.002048,0.027302,0.142506,4.046876,1.088922,30.229877,8.843795,0.743637,32.545677,9.424488,1.519450
12,-0.005087,0.010844,0.159922,3.875036,1.170385,29.984289,8.883370,0.348765,32.553223,9.702591,1.507859
13,-0.001068,0.002485,0.151257,3.755820,1.249700,29.743914,8.907216,0.246728,32.574211,9.985473,1.441815
14,0.011713,0.004733,0.191218,3.641336,1.326598,29.511971,8.937900,0.239958,32.583633,10.224569,1.321868
15,-0.001627,0.003253,0.166104,3.567589,1.400913,29.286531,8.981359,0.457710,32.594269,10.464413,1.319954
16,0.006361,0.005399,0.146699,3.511285,1.471482,29.073545,9.015209,0.334953,32.596260,10.672723,1.269557
17,0.000635,0.003626,0.121531,3.495069,1.533953,28.868004,9.056586,0.218991,32.594067,10.855570,1.204084
18,-0.002776,0.003967,0.174567,3.455718,1.585125,28.671501,9.100790,0.208150,32.595341,11.029527,1.135600
19,0.003829,0.004098,0.136365,3.452753,1.623938,28.489685,9.140687,0.241602,32.599194,11.203092,1.127920
20,-0.001678,0.003854,0.149338,3.489809,1.656083,28.309872,9.188216,0.191759,32.591995,11.341625,1.073846
21,0.002584,0.003119,0.155552,3.485666,1.682622,28.136276,9.235433,0.204212,32.588135,11.475833,1.061402
22,-0.002010,0.010122,0.179997,3.478683,1.704217,27.975868,9.279777,0.207448,32.584404,11.601961,0.967667
23,-0.000819,0.003886,0.155638,3.519729,1.722295,27.827641,9.332787,0.365074,32.578201,11.712580,0.945577
24,0.007529,0.002683,0.152589,3.537548,1.739761,27.685463,9.376050,0.181325,32.570255,11.811651,0.892506
25,0.004578,0.001313,0.149344,3.542221,1.755324,27.547716,9.425782,0.167131,32.559635,11.897109,0.832845
26,0.000191,0.003520,0.118507,3.582331,1.766499,27.425251,9.471573,0.416051,32.546219,11.973277,0.776576
27,-0.001857,0.003310,0.139765,3.600076,1.777632,27.303402,9.518648,0.165578,32.532204,12.041190,0.748254
28,-0.001673,0.004970,0.137332,3.585207,1.785685,28.314785,12.254111,7.665236,32.522118,12.095249,0.748895
29,-0.037097,0.007928,0.495315,3.591635,1.793210,28.964420,13.802083,4.227432,32.526829,12.154099,0.717800
30,-0.045701,0.018160,0.157143,3.643855,1.800592,28.893038,13.876301,1.322374,32.515427,12.198724,0.608853
31,-0.005387,0.005200,0.157494,3.665212,1.806196,28.824345,13.948845,1.298293,32.509327,12.239706,0.587603
32,-0.007674,0.010956,0.150710,3.709269,1.811435,28.743240,13.953833,0.382014,32.498322,12.275403,0.539155
33,-0.005143,0.012246,0.134131,3.742189,1.816097,28.792719,14.255968,2.479923,32.486504,12.306505,0.468668
34,-0.021232,0.075160,0.136307,3.775423,1.819113,28.810705,14.449739,2.419508,32.475594,12.330352,0.428781
35,-0.061488,0.491230,0.179257,3.809245,1.822647,28.769453,14.540895,0.756119,32.465187,12.351089,0.397419
36,-0.028775,0.005679,0.174342,3.804579,1.825027,28.745319,14.649450,2.062960,32.455845,12.368828,0.351015
37,-0.022794,0.001742,0.171945,3.829748,1.827914,28.695116,14.678911,0.719891,32.446800,12.384369,0.314565
38,0.021960,0.005538,0.128511,3.852762,1.830032,28.654366,14.679391,0.172173,32.437027,12.395381,0.267357
39,0.004331,0.005337,0.121397,3.875641,1.831910,28.621916,14.679702,0.187236,32.428841,12.403435,0.234553
40,-0.023843,0.066013,0.139441,3.928907,1.833859,28.596439,14.686871,0.745018,32.421967,12.411814,0.204033
41,-0.048368,0.072436,0.152110,3.920825,1.834857,28.574778,14.694218,0.532277,32.417496,12.419601,0.177424
42,-0.014395,0.015898,0.143192,3.908987,1.836042,28.556293,14.694324,0.165433,32.412304,12.423482,0.141411
43,-0.043815,0.035579,0.149497,3.923891,1.836722,28.540628,14.699365,0.468934,32.408684,12.426223,0.112220
44,0.029707,0.028693,0.142705,3.933358,1.837331,28.529633,14.701236,0.172462,32.405678,12.427990,0.095481
45,0.015155,0.344148,0.133741,3.971248,1.837740,28.520683,14.700487,0.111012,32.403534,12.429616,0.065627
46,-0.012844,0.074747,0.146773,3.998999,1.838060,28.516222,14.702326,0.130219,32.402222,12.430975,0.045227
47,-0.001218,0.195474,0.137409,3.982197,1.838273,28.512402,14.701434,0.035062,32.401295,12.431621,0.031673
48,-0.006335,0.026604,0.149839,3.982142,1.838368,28.510445,14.701116,0.042649,32.400875,12.431920,0.017294
