epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.002200,0.694899,1.293913,4.234542,0.193343,32.401684,6.637220,6.637220,32.136410,3.283442,3.283442
2,-0.009110,0.023484,0.290552,4.351433,0.286593,32.141865,6.791373,1.079282,32.260429,4.501351,2.522328
3,0.140800,0.023195,0.133646,4.136274,0.379505,31.877884,6.861499,1.037253,32.363911,5.460577,2.434217
4,-0.032450,0.007232,0.126398,3.878467,0.471920,31.614450,6.997412,1.074278,32.429966,6.191980,2.314856
5,0.028151,0.006139,0.124804,3.621391,0.563671,31.486288,7.756732,2.523392,32.481155,6.806135,2.165469
6,-0.016418,0.103816,0.089801,3.374968,0.654525,31.243319,7.802088,1.595648,32.528202,7.348172,2.112427
7,-0.042337,0.002425,0.082594,3.143644,0.744271,30.968536,7.831802,0.464370,32.581337,7.850714,2.096412
8,0.012465,0.000820,0.063900,2.942748,0.832719,30.693340,7.841348,0.279170,32.651562,8.328393,2.114677
9,-0.070376,0.006322,0.077007,2.748822,0.919664,30.426004,7.864242,0.279153,32.735180,8.791115,2.143204
10,0.027424,0.002412,0.073008,2.584065,1.004859,31.200794,10.958196,7.496040,32.820240,9.247207,2.152024
11,0.014252,0.002679,0.095476,2.420360,1.088314,30.984667,11.059582,0.439040,32.883938,9.659299,2.079892
12,-0.039279,0.003058,0.111579,2.295307,1.169782,30.734257,11.074046,0.544954,32.960052,10.051169,2.148303
13,0.008310,0.001804,0.091695,2.184601,1.249002,30.494316,11.080371,0.345590,33.033199,10.425382,2.122796
14,-0.036980,0.001558,0.141527,2.089661,1.325978,30.257769,11.090987,0.336682,33.096451,10.782395,2.145002
15,-0.107425,0.003790,0.081406,2.025551,1.400234,30.026281,11.085428,0.273848,33.167278,11.134757,2.145477
16,-0.017315,0.003067,0.087095,1.968897,1.470920,29.804306,11.083287,0.292518,33.241306,11.481666,2.181132
17,-0.024780,0.000711,0.093528,1.926611,1.534963,29.589985,11.078789,0.322345,33.306168,11.796754,2.124446
18,0.031870,0.000964,0.068346,1.901526,1.586426,29.389345,11.097158,0.317629,33.360085,12.062204,1.991152
