Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,12.0000
Entertainment,0.0851,0.2353,0.1250,17.0000
Food,0.4400,0.3235,0.3729,34.0000
Nightlife,0.1923,0.3125,0.2381,16.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.0000,0.0000,0.0000,2.0000
Travel,0.1875,0.2000,0.1935,15.0000
None,0.5385,0.6364,0.5833,11.0000
Unknown-8,0.4000,0.7692,0.5263,13.0000
Unknown-9,0.1071,0.1667,0.1304,18.0000
Unknown-10,0.1667,0.1429,0.1538,7.0000
Unknown-11,0.3077,0.2857,0.2963,42.0000
Unknown-12,0.0000,0.0000,0.0000,11.0000
Unknown-13,0.4921,0.5254,0.5082,59.0000
Unknown-14,0.0345,0.1250,0.0541,8.0000
Unknown-15,0.0000,0.0000,0.0000,1.0000
Unknown-16,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.3143,0.4400,0.3667,25.0000
Unknown-18,0.3000,0.1667,0.2143,18.0000
Unknown-20,0.3333,0.2083,0.2564,24.0000
Unknown-21,0.1250,1.0000,0.2222,2.0000
Unknown-23,0.0000,0.0000,0.0000,1.0000
Unknown-24,0.0000,0.0000,0.0000,2.0000
Unknown-26,0.0000,0.0000,0.0000,3.0000
Unknown-27,0.0000,0.0000,0.0000,6.0000
Unknown-28,0.0000,0.0000,0.0000,2.0000
Unknown-29,0.0000,0.0000,0.0000,4.0000
Unknown-30,0.0000,0.0000,0.0000,2.0000
Unknown-31,0.2326,0.2857,0.2564,35.0000
Unknown-32,0.0000,0.0000,0.0000,3.0000
Unknown-33,0.7955,0.8824,0.8367,119.0000
Unknown-34,0.1176,0.1333,0.1250,15.0000
Unknown-35,0.0000,0.0000,0.0000,2.0000
Unknown-36,0.2000,0.2857,0.2353,14.0000
Unknown-38,0.0000,0.0000,0.0000,2.0000
Unknown-39,0.0000,0.0000,0.0000,6.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.0556,0.0625,0.0588,16.0000
Unknown-42,0.0000,0.0000,0.0000,5.0000
Unknown-43,0.1333,0.1667,0.1481,12.0000
Unknown-44,0.2500,0.2000,0.2222,5.0000
Unknown-45,0.0000,0.0000,0.0000,1.0000
Unknown-46,0.2885,0.2830,0.2857,53.0000
Unknown-47,0.6667,0.6667,0.6667,3.0000
Unknown-48,0.3750,0.7500,0.5000,4.0000
Unknown-49,0.0526,0.1667,0.0800,6.0000
Unknown-50,0.2500,0.2000,0.2222,10.0000
Unknown-51,0.0000,0.0000,0.0000,13.0000
Unknown-53,0.2727,0.3000,0.2857,10.0000
Unknown-54,0.0000,0.0000,0.0000,0.0000
Unknown-55,0.2093,0.4737,0.2903,19.0000
Unknown-56,0.0000,0.0000,0.0000,8.0000
Unknown-57,0.2909,0.5714,0.3855,28.0000
Unknown-58,0.0000,0.0000,0.0000,1.0000
Unknown-60,0.0000,0.0000,0.0000,4.0000
Unknown-61,0.5000,0.1667,0.2500,6.0000
Unknown-62,0.2143,0.3333,0.2609,9.0000
Unknown-63,0.0000,0.0000,0.0000,3.0000
Unknown-64,0.5455,0.8571,0.6667,7.0000
Unknown-65,0.1579,0.5000,0.2400,6.0000
Unknown-67,0.0000,0.0000,0.0000,2.0000
Unknown-68,0.0000,0.0000,0.0000,1.0000
Unknown-69,0.0000,0.0000,0.0000,4.0000
Unknown-70,0.3529,0.3529,0.3529,17.0000
Unknown-72,0.0000,0.0000,0.0000,5.0000
Unknown-74,0.0000,0.0000,0.0000,2.0000
Unknown-75,0.2500,0.2333,0.2414,30.0000
Unknown-76,0.1429,0.1667,0.1538,6.0000
Unknown-77,0.0000,0.0000,0.0000,6.0000
Unknown-78,0.0000,0.0000,0.0000,1.0000
Unknown-79,0.2250,0.4286,0.2951,21.0000
Unknown-80,0.5000,0.7368,0.5957,19.0000
Unknown-81,0.0000,0.0000,0.0000,25.0000
Unknown-82,0.0000,0.0000,0.0000,7.0000
Unknown-84,0.0000,0.0000,0.0000,3.0000
Unknown-85,0.0000,0.0000,0.0000,2.0000
Unknown-86,0.0000,0.0000,0.0000,0.0000
Unknown-87,0.0000,0.0000,0.0000,4.0000
Unknown-88,0.0000,0.0000,0.0000,2.0000
Unknown-89,0.0000,0.0000,0.0000,2.0000
Unknown-90,0.0000,0.0000,0.0000,2.0000
Unknown-91,0.0000,0.0000,0.0000,1.0000
Unknown-92,0.0000,0.0000,0.0000,1.0000
Unknown-94,0.0000,0.0000,0.0000,5.0000
Unknown-95,0.0000,0.0000,0.0000,7.0000
Unknown-96,0.3333,0.1667,0.2222,6.0000
Unknown-97,0.0213,0.1667,0.0377,6.0000
Unknown-98,0.0000,0.0000,0.0000,11.0000
Unknown-99,0.0000,0.0000,0.0000,1.0000
Unknown-100,0.0000,0.0000,0.0000,2.0000
Unknown-101,0.6667,0.4000,0.5000,5.0000
Unknown-102,0.0000,0.0000,0.0000,2.0000
Unknown-103,0.0000,0.0000,0.0000,1.0000
Unknown-104,0.0000,0.0000,0.0000,2.0000
