Category,precision,recall,f1-score,support
Community,0.3171,0.5000,0.3881,26.0000
Entertainment,0.4118,0.4667,0.4375,60.0000
Food,0.0000,0.0000,0.0000,1.0000
Nightlife,0.2727,0.3750,0.3158,16.0000
Outdoors,0.0000,0.0000,0.0000,3.0000
Shopping,0.5000,0.6154,0.5517,13.0000
Travel,0.0000,0.0000,0.0000,5.0000
None,0.2500,0.5000,0.3333,2.0000
Unknown-8,0.5500,0.4583,0.5000,24.0000
Unknown-9,0.0000,0.0000,0.0000,3.0000
Unknown-10,0.0000,0.0000,0.0000,3.0000
Unknown-11,0.5000,0.2857,0.3636,7.0000
Unknown-12,0.2500,0.2500,0.2500,4.0000
Unknown-13,0.3333,0.1667,0.2222,6.0000
Unknown-14,0.1000,0.1000,0.1000,10.0000
Unknown-15,0.3091,0.3953,0.3469,43.0000
Unknown-16,0.4717,0.4902,0.4808,51.0000
Unknown-17,0.0000,0.0000,0.0000,0.0000
Unknown-18,0.5882,0.6400,0.6130,125.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.0000,0.0000,0.0000,2.0000
Unknown-21,0.0000,0.0000,0.0000,0.0000
Unknown-22,0.7500,0.8333,0.7895,36.0000
Unknown-23,0.0000,0.0000,0.0000,0.0000
Unknown-24,0.0000,0.0000,0.0000,0.0000
Unknown-25,0.7143,0.6250,0.6667,8.0000
Unknown-26,0.5000,1.0000,0.6667,1.0000
Unknown-27,0.0000,0.0000,0.0000,0.0000
Unknown-28,0.9022,0.9158,0.9089,6971.0000
Unknown-29,0.0000,0.0000,0.0000,3.0000
Unknown-30,0.0000,0.0000,0.0000,2.0000
Unknown-32,0.3846,0.2679,0.3158,56.0000
Unknown-33,0.0000,0.0000,0.0000,10.0000
Unknown-35,0.0000,0.0000,0.0000,0.0000
Unknown-37,0.4943,0.5733,0.5309,75.0000
Unknown-38,0.0000,0.0000,0.0000,1.0000
Unknown-39,1.0000,1.0000,1.0000,1.0000
Unknown-40,0.2667,0.2222,0.2424,36.0000
Unknown-41,0.6978,0.6554,0.6760,148.0000
Unknown-42,0.6417,0.4074,0.4984,189.0000
Unknown-43,0.0000,0.0000,0.0000,26.0000
Unknown-44,0.5714,0.5985,0.5847,274.0000
Unknown-45,0.6333,0.4634,0.5352,205.0000
Unknown-46,0.1667,0.5000,0.2500,2.0000
Unknown-47,0.5122,0.4375,0.4719,48.0000
Unknown-48,0.3366,0.3696,0.3523,92.0000
Unknown-49,0.6331,0.6485,0.6407,165.0000
Unknown-50,0.3158,0.5000,0.3871,12.0000
Unknown-51,0.6000,0.7500,0.6667,8.0000
Unknown-52,0.0000,0.0000,0.0000,0.0000
Unknown-53,0.3250,0.4194,0.3662,31.0000
Unknown-54,0.7797,0.8183,0.7985,666.0000
Unknown-55,0.4889,0.4783,0.4835,46.0000
Unknown-56,0.4286,0.3333,0.3750,9.0000
Unknown-57,0.4423,0.4182,0.4299,55.0000
