Category,precision,recall,f1-score,support
Community,0.3635,0.4621,0.4054,27.6000
Entertainment,0.3639,0.4485,0.3914,41.6000
Food,0.0286,0.1000,0.0444,4.2000
Nightlife,0.1847,0.3156,0.2126,15.4000
Outdoors,0.0900,0.1022,0.0841,7.0000
Shopping,0.2817,0.3488,0.3049,15.0000
Travel,0.0000,0.0000,0.0000,4.8000
None,0.0750,0.1400,0.0974,2.8000
Unknown-8,0.5502,0.5435,0.5408,24.6000
Unknown-9,0.0000,0.0000,0.0000,4.2000
Unknown-10,0.0312,0.0500,0.0385,2.5000
Unknown-11,0.2107,0.1971,0.1958,6.6000
Unknown-12,0.2500,0.3409,0.2786,4.0000
Unknown-13,0.0667,0.0333,0.0444,3.4000
Unknown-14,0.0771,0.0700,0.0733,6.4000
Unknown-15,0.3532,0.4384,0.3907,51.6000
Unknown-16,0.4039,0.3814,0.3869,36.2000
Unknown-17,0.0455,0.1000,0.0625,2.7500
Unknown-18,0.5400,0.5758,0.5572,98.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.0000,0.0000,0.0000,2.5000
Unknown-21,0.0000,0.0000,0.0000,2.3333
Unknown-22,0.6063,0.7352,0.6626,23.8000
Unknown-23,0.0000,0.0000,0.0000,2.5000
Unknown-24,0.0000,0.0000,0.0000,2.6000
Unknown-25,0.4894,0.4779,0.4808,28.2000
Unknown-26,0.6893,0.7071,0.6628,5.0000
Unknown-27,0.0000,0.0000,0.0000,4.0000
Unknown-28,0.8960,0.9178,0.9067,7081.8000
Unknown-29,0.0000,0.0000,0.0000,3.2000
Unknown-30,0.2721,0.3111,0.2782,6.2000
Unknown-32,0.2807,0.2574,0.2645,54.2000
Unknown-33,0.0900,0.2667,0.1238,4.0000
Unknown-35,0.0000,0.0000,0.0000,1.4000
Unknown-37,0.5598,0.5507,0.5534,106.6000
Unknown-38,0.0000,0.0000,0.0000,1.4000
Unknown-39,0.2000,0.2000,0.2000,1.2000
Unknown-40,0.3586,0.3021,0.3259,36.8000
Unknown-41,0.4929,0.4879,0.4900,96.0000
Unknown-42,0.6663,0.4339,0.5233,214.2000
Unknown-43,0.1074,0.0928,0.0993,32.2000
Unknown-44,0.6045,0.5943,0.5991,299.2000
Unknown-45,0.5766,0.3782,0.4560,189.6000
Unknown-46,0.1816,0.2537,0.1825,8.0000
Unknown-47,0.5353,0.6301,0.5695,73.8000
Unknown-48,0.3593,0.4172,0.3826,98.8000
Unknown-49,0.6171,0.6337,0.6252,142.0000
Unknown-50,0.2429,0.3000,0.2648,11.2000
Unknown-51,0.3929,0.4487,0.4073,10.8000
Unknown-52,0.1000,0.1000,0.1000,1.2000
Unknown-53,0.3101,0.3290,0.3159,31.6000
Unknown-54,0.7488,0.7973,0.7722,581.8000
Unknown-55,0.4292,0.5164,0.4661,43.4000
