Category,precision,recall,f1-score,support
Community,36.35 ± 13.91,46.21 ± 16.79,40.54 ± 14.96,2760.00 ± 1397.50
Entertainment,36.39 ± 14.08,44.85 ± 5.56,39.14 ± 10.80,4160.00 ± 1502.66
Food,2.86 ± 6.39,10.00 ± 22.36,4.44 ± 9.94,420.00 ± 605.81
Nightlife,18.47 ± 15.47,31.56 ± 19.77,21.26 ± 14.08,1540.00 ± 1293.45
Outdoors,9.00 ± 12.45,10.22 ± 17.33,8.41 ± 12.19,700.00 ± 353.55
Shopping,28.17 ± 23.23,34.88 ± 28.49,30.49 ± 25.08,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,7.50 ± 11.18,14.00 ± 21.91,9.74 ± 14.77,280.00 ± 130.38
Unknown-8,55.02 ± 5.69,54.35 ± 11.28,54.08 ± 6.88,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,3.12 ± 6.25,5.00 ± 10.00,3.85 ± 7.69,250.00 ± 191.49
Unknown-11,21.07 ± 23.84,19.71 ± 21.05,19.58 ± 21.05,660.00 ± 364.69
Unknown-12,25.00 ± 25.00,34.09 ± 41.47,27.86 ± 29.40,400.00 ± 418.33
Unknown-13,6.67 ± 14.91,3.33 ± 7.45,4.44 ± 9.94,340.00 ± 194.94
Unknown-14,7.71 ± 12.44,7.00 ± 10.95,7.33 ± 11.64,640.00 ± 270.19
Unknown-15,35.32 ± 5.99,43.84 ± 6.55,39.07 ± 6.12,5160.00 ± 1137.10
Unknown-16,40.39 ± 4.57,38.14 ± 9.62,38.69 ± 6.48,3620.00 ± 947.10
Unknown-17,4.55 ± 9.09,10.00 ± 20.00,6.25 ± 12.50,275.00 ± 263.00
Unknown-18,54.00 ± 6.31,57.58 ± 6.69,55.72 ± 6.44,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,60.63 ± 9.19,73.52 ± 8.57,66.26 ± 8.26,2380.00 ± 742.97
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 208.17
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,48.94 ± 22.32,47.79 ± 15.45,48.08 ± 18.80,2820.00 ± 2558.71
Unknown-26,68.93 ± 28.53,70.71 ± 27.14,66.28 ± 19.24,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 734.85
Unknown-28,89.60 ± 1.20,91.78 ± 0.27,90.67 ± 0.69,708180.00 ± 15898.80
Unknown-29,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 249.00
Unknown-30,27.21 ± 23.17,31.11 ± 25.72,27.82 ± 23.76,620.00 ± 327.11
Unknown-32,28.07 ± 7.48,25.74 ± 5.06,26.45 ± 4.98,5420.00 ± 2291.72
Unknown-33,9.00 ± 12.45,26.67 ± 43.46,12.38 ± 17.04,400.00 ± 339.12
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-37,55.98 ± 13.16,55.07 ± 8.33,55.34 ± 10.29,10660.00 ± 5767.41
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-39,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,120.00 ± 109.54
Unknown-40,35.86 ± 7.66,30.21 ± 7.42,32.59 ± 7.13,3680.00 ± 1331.16
Unknown-41,49.29 ± 18.41,48.79 ± 17.39,49.00 ± 17.83,9600.00 ± 3506.42
Unknown-42,66.63 ± 6.70,43.39 ± 3.17,52.33 ± 2.13,21420.00 ± 2610.94
Unknown-43,10.74 ± 9.90,9.28 ± 8.48,9.93 ± 9.07,3220.00 ± 1213.26
Unknown-44,60.45 ± 5.30,59.43 ± 6.52,59.91 ± 5.82,29920.00 ± 7232.36
Unknown-45,57.66 ± 6.63,37.82 ± 6.39,45.60 ± 6.44,18960.00 ± 1693.52
Unknown-46,18.16 ± 20.68,25.37 ± 25.47,18.25 ± 16.99,800.00 ± 1097.72
Unknown-47,53.53 ± 6.21,63.01 ± 14.67,56.95 ± 6.36,7380.00 ± 1706.46
Unknown-48,35.93 ± 7.78,41.72 ± 10.63,38.26 ± 8.29,9880.00 ± 2928.65
Unknown-49,61.71 ± 3.77,63.37 ± 3.46,62.52 ± 3.56,14200.00 ± 2100.00
Unknown-50,24.29 ± 23.75,30.00 ± 27.39,26.48 ± 24.67,1120.00 ± 901.11
Unknown-51,39.29 ± 15.50,44.87 ± 20.03,40.73 ± 16.98,1080.00 ± 432.43
Unknown-52,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 130.38
Unknown-53,31.01 ± 7.13,32.90 ± 9.97,31.59 ± 8.11,3160.00 ± 973.65
Unknown-54,74.88 ± 1.96,79.73 ± 2.73,77.22 ± 2.13,58180.00 ± 5199.23
Unknown-55,42.92 ± 6.36,51.64 ± 7.36,46.61 ± 5.50,4340.00 ± 829.46
Unknown-56,21.90 ± 20.37,33.33 ± 40.82,24.17 ± 22.90,660.00 ± 826.44
Unknown-57,25.64 ± 12.95,31.25 ± 14.11,27.91 ± 12.92,3720.00 ± 1249.80
Unknown-58,55.93 ± 11.64,59.40 ± 12.17,57.59 ± 11.85,9620.00 ± 5100.20
Unknown-59,61.38 ± 1.88,60.97 ± 3.49,61.14 ± 2.34,99580.00 ± 4516.30
Unknown-60,44.40 ± 17.78,55.61 ± 14.62,48.14 ± 16.43,3520.00 ± 3139.59
Unknown-61,6.50 ± 9.29,7.22 ± 11.04,6.19 ± 8.52,620.00 ± 589.07
Unknown-62,31.59 ± 6.60,49.44 ± 12.21,37.98 ± 7.12,1900.00 ± 484.77
Unknown-63,29.73 ± 27.15,34.67 ± 40.93,30.11 ± 29.32,1080.00 ± 1925.36
Unknown-65,52.33 ± 6.02,59.71 ± 7.77,55.45 ± 4.59,11280.00 ± 5299.25
Unknown-66,34.77 ± 8.32,39.68 ± 9.88,36.76 ± 7.90,2740.00 ± 1021.27
Unknown-67,31.13 ± 13.56,36.32 ± 14.67,33.06 ± 13.51,2560.00 ± 450.56
