Category,precision,recall,f1-score,support
Community,0.3794,0.4337,0.4029,27.6000
Entertainment,0.3889,0.4514,0.4139,41.6000
Food,0.0286,0.1000,0.0444,4.2000
Nightlife,0.2417,0.2960,0.2613,15.4000
Outdoors,0.1300,0.2022,0.1576,7.0000
Shopping,0.3263,0.3761,0.2960,15.0000
Travel,0.0000,0.0000,0.0000,4.8000
None,0.0250,0.0400,0.0308,2.8000
Unknown-8,0.5426,0.5435,0.5381,24.6000
Unknown-9,0.0000,0.0000,0.0000,4.2000
Unknown-10,0.0500,0.2400,0.0752,2.0000
Unknown-11,0.1933,0.1971,0.1816,6.6000
Unknown-12,0.2500,0.3409,0.2786,4.0000
Unknown-13,0.0400,0.0500,0.0444,3.4000
Unknown-14,0.1171,0.1033,0.1097,6.4000
Unknown-15,0.3685,0.4493,0.4045,51.6000
Unknown-16,0.4037,0.4568,0.4251,36.2000
Unknown-17,0.1705,0.1500,0.1339,2.7500
Unknown-18,0.5414,0.5299,0.5346,98.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.0000,0.0000,0.0000,2.5000
Unknown-21,0.0000,0.0000,0.0000,2.3333
Unknown-22,0.5965,0.7420,0.6583,23.8000
Unknown-24,0.0000,0.0000,0.0000,2.6000
Unknown-25,0.4646,0.4679,0.4579,28.2000
Unknown-26,0.7143,0.7786,0.7228,5.0000
Unknown-27,0.0000,0.0000,0.0000,3.2000
Unknown-28,0.8725,0.9169,0.8933,7081.8000
Unknown-29,0.1250,0.4095,0.1757,3.2000
Unknown-30,0.2863,0.3111,0.2904,6.2000
Unknown-32,0.2948,0.2531,0.2695,54.2000
Unknown-33,0.1631,0.3933,0.2125,4.0000
Unknown-35,0.0000,0.0000,0.0000,1.4000
Unknown-37,0.5575,0.5462,0.5498,106.6000
Unknown-38,0.0000,0.0000,0.0000,1.4000
Unknown-39,0.2000,0.2000,0.2000,1.2000
Unknown-40,0.3913,0.3030,0.3326,36.8000
Unknown-41,0.5053,0.4775,0.4890,96.0000
Unknown-42,0.6727,0.4339,0.5258,214.2000
Unknown-43,0.2042,0.1723,0.1864,32.2000
Unknown-44,0.6006,0.5889,0.5945,299.2000
Unknown-45,0.5732,0.3847,0.4596,189.6000
Unknown-46,0.1792,0.2685,0.1742,8.0000
Unknown-47,0.5735,0.6209,0.5951,73.8000
Unknown-48,0.3894,0.3965,0.3896,98.8000
Unknown-49,0.6200,0.6340,0.6266,142.0000
Unknown-50,0.3083,0.3200,0.3129,11.2000
Unknown-51,0.3940,0.5102,0.4413,10.8000
Unknown-52,0.1000,0.1000,0.1000,1.2000
Unknown-53,0.2623,0.2707,0.2641,31.6000
Unknown-54,0.7423,0.7956,0.7679,581.8000
Unknown-55,0.4666,0.5035,0.4800,43.4000
Unknown-56,0.3323,0.4333,0.3453,6.6000
Unknown-57,0.2642,0.3064,0.2816,37.2000
Unknown-58,0.5576,0.5940,0.5750,96.2000
Unknown-59,0.6047,0.6203,0.6123,995.8000
Unknown-60,0.4703,0.5252,0.4938,35.2000
Unknown-61,0.0733,0.0722,0.0686,6.2000
Unknown-62,0.3497,0.5005,0.4068,19.0000
Unknown-63,0.2973,0.3467,0.3011,10.8000
Unknown-64,0.0000,0.0000,0.0000,5.3333
Unknown-65,0.5417,0.5861,0.5624,112.8000
Unknown-66,0.3545,0.3804,0.3624,27.4000
Unknown-67,0.3263,0.3632,0.3412,25.6000
Unknown-68,0.4600,0.5098,0.4789,59.4000
Unknown-69,0.4224,0.4196,0.4204,73.8000
Unknown-70,0.7063,0.7093,0.7072,24.0000
Unknown-71,0.4466,0.3901,0.4120,12.6000
Unknown-72,0.1550,0.1432,0.1411,12.4000
Unknown-73,0.4441,0.5206,0.4686,14.8000
Unknown-74,0.5141,0.5259,0.5197,201.2000
Unknown-75,0.3748,0.3429,0.3547,13.0000
Unknown-76,0.7183,0.7610,0.7383,93.4000
Unknown-77,0.2420,0.3298,0.2679,8.8000
Unknown-78,0.3894,0.4023,0.3819,23.6000
Unknown-79,0.1673,0.2475,0.1893,15.0000
Unknown-80,0.3022,0.3733,0.3328,4.4000
Unknown-81,0.1411,0.1109,0.1180,26.4000
Unknown-82,0.3000,0.0650,0.1016,5.6000
Unknown-83,0.4447,0.6618,0.5301,12.2000
Unknown-84,0.4551,0.5232,0.4735,8.2000
Unknown-85,0.5077,0.5232,0.5144,101.2000
Unknown-86,0.6988,0.7402,0.7183,91.4000
Unknown-87,0.2012,0.2126,0.2015,22.0000
Unknown-89,0.2525,0.2369,0.2385,27.8000
Unknown-90,0.3667,0.2619,0.2295,8.2000
Unknown-91,0.1727,0.3651,0.2295,7.2000
Unknown-92,0.6012,0.7323,0.6550,11.2000
Unknown-94,0.5211,0.5519,0.5308,25.4000
Unknown-95,0.2448,0.3017,0.2634,21.8000
Unknown-96,0.5945,0.5794,0.5854,143.2000
Unknown-97,0.1998,0.1837,0.1748,12.2000
Unknown-98,0.2967,0.2371,0.2627,4.2000
Unknown-100,0.2409,0.2278,0.2340,33.8000
Unknown-101,0.1475,0.1787,0.1590,14.8000
Unknown-102,0.3485,0.3632,0.3538,42.4000
Unknown-103,0.4386,0.4193,0.4236,17.2000
Unknown-104,0.0286,0.0286,0.0286,5.4000
Unknown-105,0.1694,0.1816,0.1747,53.6000
Unknown-106,0.1635,0.2210,0.1801,14.6000
Unknown-107,0.1332,0.1178,0.1162,13.8000
Unknown-108,0.2565,0.2373,0.2458,21.6000
Unknown-109,0.1296,0.1092,0.1141,16.6000
Unknown-110,0.2186,0.2344,0.2250,53.2000
Unknown-111,0.4864,0.5033,0.4944,74.4000
Unknown-112,0.5040,0.4770,0.4890,37.0000
Unknown-113,0.0000,0.0000,0.0000,3.6000
Unknown-114,0.2133,0.2657,0.2341,5.8000
Unknown-115,0.1632,0.1546,0.1560,18.4000
Unknown-116,0.0000,0.0000,0.0000,1.6000
Unknown-117,0.5301,0.5561,0.5415,311.6000
Unknown-118,0.0714,0.1000,0.0833,3.2500
Unknown-119,0.3156,0.3616,0.3370,96.0000
Unknown-120,0.7272,0.4522,0.5575,702.4000
Unknown-121,0.1462,0.2217,0.1722,10.0000
Unknown-122,0.1689,0.3029,0.2091,4.0000
Unknown-123,0.5269,0.5218,0.5237,91.6000
Unknown-124,0.4535,0.4849,0.4581,31.0000
Unknown-125,0.2553,0.2761,0.2634,22.6000
Unknown-126,0.0000,0.0000,0.0000,1.4000
Unknown-127,0.0844,0.0971,0.0869,8.4000
Unknown-128,0.3000,0.2833,0.2800,2.8000
Unknown-129,0.2038,0.2278,0.2050,7.8000
Unknown-130,0.0000,0.0000,0.0000,1.0000
Unknown-131,0.2905,0.3345,0.3090,8.8000
Unknown-132,0.1400,0.1167,0.1244,5.0000
Unknown-133,0.0250,0.0286,0.0267,7.8000
Unknown-134,0.1245,0.3159,0.1776,6.2000
Unknown-135,0.2889,0.2875,0.2880,56.6000
Unknown-136,0.1762,0.2194,0.1952,23.8000
Unknown-137,0.3453,0.4410,0.3431,8.6000
Unknown-138,0.0000,0.0000,0.0000,4.0000
Unknown-139,0.3495,0.4353,0.3634,12.6000
Unknown-140,0.3429,0.2333,0.2538,3.0000
Unknown-141,0.0625,0.0500,0.0556,2.0000
Unknown-142,0.0000,0.0000,0.0000,3.7500
Unknown-143,0.4272,0.5086,0.4623,22.0000
Unknown-144,0.0500,0.0667,0.0571,4.0000
Unknown-145,0.0000,0.0000,0.0000,5.2000
Unknown-146,0.0000,0.0000,0.0000,1.7500
Unknown-147,0.4017,0.4606,0.4214,17.4000
Unknown-148,0.2668,0.1791,0.1776,28.8000
Unknown-149,0.0000,0.0000,0.0000,4.4000
Unknown-150,0.4885,0.5231,0.5023,14.4000
Unknown-151,0.4089,0.4075,0.4054,54.8000
Unknown-152,0.0432,0.0452,0.0422,20.8000
Unknown-153,0.3000,0.0917,0.1244,5.8000
Unknown-154,0.2022,0.2940,0.2231,7.8000
Unknown-155,0.5701,0.6224,0.5927,158.2000
Unknown-156,0.6274,0.6797,0.6516,62.2000
Unknown-157,0.4125,0.4490,0.4196,12.0000
Unknown-158,0.0645,0.0788,0.0709,11.2000
Unknown-159,0.0000,0.0000,0.0000,1.2500
Unknown-160,0.1500,0.0833,0.1071,4.5000
Unknown-161,0.1217,0.1638,0.1152,5.8000
Unknown-162,0.2332,0.2630,0.2333,11.4000
Unknown-163,0.3448,0.4630,0.3949,26.8000
Unknown-164,0.0000,0.0000,0.0000,2.2000
Unknown-165,0.0156,0.0227,0.0185,7.7500
Unknown-166,0.0000,0.0000,0.0000,1.5000
Unknown-167,0.0000,0.0000,0.0000,2.0000
Unknown-168,0.0000,0.0000,0.0000,4.4000
Unknown-169,0.2211,0.1939,0.2001,21.8000
Unknown-170,0.1762,0.0925,0.0611,11.0000
Unknown-171,0.0000,0.0000,0.0000,3.2000
Unknown-172,0.2619,0.2952,0.2608,4.2000
Unknown-173,0.2951,0.4427,0.3507,28.0000
Unknown-174,0.0648,0.0750,0.0562,7.2000
Unknown-175,0.4945,0.4955,0.4943,69.2000
Unknown-176,0.1721,0.2046,0.1817,11.0000
Unknown-177,0.1171,0.1960,0.1454,9.6000
Unknown-178,0.3845,0.4170,0.3981,27.8000
Unknown-179,0.0000,0.0000,0.0000,1.2000
Unknown-180,0.2126,0.2528,0.2157,10.4000
Unknown-181,0.0000,0.0000,0.0000,1.6667
Unknown-182,0.0813,0.1300,0.0934,12.0000
Unknown-183,0.0133,0.0200,0.0160,8.2000
Unknown-184,0.5726,0.5839,0.5777,188.4000
Unknown-186,0.2048,0.3529,0.2497,8.2000
Unknown-187,0.0000,0.0000,0.0000,7.6000
Unknown-188,0.0000,0.0000,0.0000,2.0000
Unknown-189,0.2152,0.3400,0.2574,4.4000
Unknown-190,0.2706,0.2139,0.2360,13.2000
Unknown-191,0.2474,0.3124,0.2728,35.6000
Unknown-193,0.2177,0.2257,0.2183,31.0000
Unknown-195,0.5040,0.5799,0.5354,52.0000
Unknown-196,0.0000,0.0000,0.0000,3.8000
Unknown-197,0.3203,0.4843,0.3825,27.4000
Unknown-198,0.0000,0.0000,0.0000,2.6667
Unknown-199,0.2407,0.3275,0.2616,19.0000
Unknown-200,0.0000,0.0000,0.0000,1.5000
Unknown-201,0.2588,0.1333,0.1490,8.0000
Unknown-202,0.0881,0.1315,0.1006,5.8000
Unknown-203,0.0000,0.0000,0.0000,5.5000
Unknown-204,0.3911,0.5353,0.4305,6.8000
Unknown-205,0.1250,0.1250,0.1250,1.0000
Unknown-206,0.3176,0.3830,0.3441,26.2000
Unknown-207,0.0154,0.0400,0.0222,4.2000
Unknown-208,0.2020,0.1655,0.1758,10.8000
Unknown-209,0.1507,0.1762,0.1559,9.0000
Unknown-210,0.1806,0.2729,0.2172,6.4000
Unknown-211,0.2485,0.2481,0.2477,53.4000
Unknown-212,0.2328,0.2197,0.2227,45.6000
Unknown-213,0.0000,0.0000,0.0000,2.0000
Unknown-214,0.0000,0.0000,0.0000,2.0000
Unknown-215,0.2810,0.5017,0.3497,6.2000
Unknown-216,0.0618,0.0905,0.0726,9.6000
Unknown-217,0.4500,0.4249,0.4365,143.6000
Unknown-218,0.4490,0.6141,0.5110,15.0000
Unknown-219,0.4554,0.5139,0.4769,38.0000
Unknown-220,0.2331,0.3345,0.2679,23.0000
Unknown-221,0.0526,0.0769,0.0625,6.5000
Unknown-222,0.0000,0.0000,0.0000,1.6667
Unknown-224,0.0000,0.0000,0.0000,3.7500
Unknown-225,0.2871,0.3976,0.3267,24.6000
Unknown-226,0.0000,0.0000,0.0000,4.7500
Unknown-227,0.1244,0.1689,0.1393,8.8000
Unknown-228,0.3000,0.3016,0.2892,21.6000
Unknown-229,0.3302,0.3768,0.3473,17.6000
Unknown-230,0.5412,0.4956,0.5154,58.6000
Unknown-231,0.4087,0.4285,0.4104,27.2000
Unknown-232,0.1446,0.1555,0.1450,13.2000
Unknown-233,0.3796,0.3825,0.3721,33.6000
Unknown-234,0.6014,0.5878,0.5936,108.2000
