Category,precision,recall,f1-score,support
Community,37.94 ± 12.80,43.37 ± 13.76,40.29 ± 12.90,2760.00 ± 1397.50
Entertainment,38.89 ± 11.31,45.14 ± 4.67,41.39 ± 8.67,4160.00 ± 1502.66
Food,2.86 ± 6.39,10.00 ± 22.36,4.44 ± 9.94,420.00 ± 605.81
Nightlife,24.17 ± 17.68,29.60 ± 23.52,26.13 ± 19.65,1540.00 ± 1293.45
Outdoors,13.00 ± 13.96,20.22 ± 23.34,15.76 ± 17.48,700.00 ± 353.55
Shopping,32.63 ± 23.51,37.61 ± 21.06,29.60 ± 22.27,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,2.50 ± 5.59,4.00 ± 8.94,3.08 ± 6.88,280.00 ± 130.38
Unknown-8,54.26 ± 5.59,54.35 ± 11.28,53.81 ± 7.24,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,5.00 ± 6.85,24.00 ± 43.36,7.52 ± 10.58,200.00 ± 200.00
Unknown-11,19.33 ± 23.85,19.71 ± 21.05,18.16 ± 20.91,660.00 ± 364.69
Unknown-12,25.00 ± 25.00,34.09 ± 41.47,27.86 ± 29.40,400.00 ± 418.33
Unknown-13,4.00 ± 8.94,5.00 ± 11.18,4.44 ± 9.94,340.00 ± 194.94
Unknown-14,11.71 ± 12.55,10.33 ± 10.83,10.97 ± 11.62,640.00 ± 270.19
Unknown-15,36.85 ± 3.91,44.93 ± 5.70,40.45 ± 4.51,5160.00 ± 1137.10
Unknown-16,40.37 ± 5.50,45.68 ± 12.32,42.51 ± 7.54,3620.00 ± 947.10
Unknown-17,17.05 ± 23.58,15.00 ± 19.15,13.39 ± 15.53,275.00 ± 263.00
Unknown-18,54.14 ± 6.77,52.99 ± 7.33,53.46 ± 6.67,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,59.65 ± 8.22,74.20 ± 6.83,65.83 ± 5.85,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,46.46 ± 17.55,46.79 ± 15.84,45.79 ± 14.86,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 661.06
Unknown-28,87.25 ± 5.43,91.69 ± 0.49,89.33 ± 2.79,708180.00 ± 15898.80
Unknown-29,12.50 ± 12.50,40.95 ± 44.24,17.57 ± 16.87,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-32,29.48 ± 6.52,25.31 ± 4.24,26.95 ± 4.36,5420.00 ± 2291.72
Unknown-33,16.31 ± 7.96,39.33 ± 9.83,21.25 ± 8.17,400.00 ± 339.12
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-37,55.75 ± 12.99,54.62 ± 7.00,54.98 ± 9.53,10660.00 ± 5767.41
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-39,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,120.00 ± 109.54
Unknown-40,39.13 ± 5.99,30.30 ± 10.43,33.26 ± 8.05,3680.00 ± 1331.16
Unknown-41,50.53 ± 16.90,47.75 ± 19.12,48.90 ± 18.04,9600.00 ± 3506.42
Unknown-42,67.27 ± 5.77,43.39 ± 3.17,52.58 ± 2.26,21420.00 ± 2610.94
Unknown-43,20.42 ± 7.39,17.23 ± 7.11,18.64 ± 7.26,3220.00 ± 1213.26
Unknown-44,60.06 ± 4.78,58.89 ± 5.75,59.45 ± 5.16,29920.00 ± 7232.36
Unknown-45,57.32 ± 6.86,38.47 ± 5.69,45.96 ± 5.91,18960.00 ± 1693.52
Unknown-46,17.92 ± 22.61,26.85 ± 27.53,17.42 ± 19.60,800.00 ± 1097.72
Unknown-47,57.35 ± 8.50,62.09 ± 10.96,59.51 ± 9.18,7380.00 ± 1706.46
Unknown-48,38.94 ± 10.05,39.65 ± 9.09,38.96 ± 8.85,9880.00 ± 2928.65
Unknown-49,62.00 ± 3.74,63.40 ± 3.50,62.66 ± 3.30,14200.00 ± 2100.00
Unknown-50,30.83 ± 29.07,32.00 ± 29.50,31.29 ± 29.09,1120.00 ± 901.11
Unknown-51,39.40 ± 15.53,51.02 ± 15.98,44.13 ± 15.89,1080.00 ± 432.43
Unknown-52,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 130.38
Unknown-53,26.23 ± 16.50,27.07 ± 18.00,26.41 ± 17.06,3160.00 ± 973.65
Unknown-54,74.23 ± 2.62,79.56 ± 2.74,76.79 ± 2.39,58180.00 ± 5199.23
Unknown-55,46.66 ± 4.23,50.35 ± 8.55,48.00 ± 4.13,4340.00 ± 829.46
Unknown-56,33.23 ± 21.91,43.33 ± 36.51,34.53 ± 21.27,660.00 ± 826.44
Unknown-57,26.42 ± 12.95,30.64 ± 14.39,28.16 ± 13.12,3720.00 ± 1249.80
Unknown-58,55.76 ± 11.28,59.40 ± 12.17,57.50 ± 11.67,9620.00 ± 5100.20
Unknown-59,60.47 ± 1.35,62.03 ± 2.11,61.23 ± 1.66,99580.00 ± 4516.30
Unknown-60,47.03 ± 21.79,52.52 ± 20.10,49.38 ± 21.31,3520.00 ± 3139.59
Unknown-61,7.33 ± 10.11,7.22 ± 11.04,6.86 ± 9.60,620.00 ± 589.07
Unknown-62,34.97 ± 8.70,50.05 ± 11.20,40.68 ± 8.95,1900.00 ± 484.77
Unknown-63,29.73 ± 27.15,34.67 ± 40.93,30.11 ± 29.32,1080.00 ± 1925.36
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 757.19
Unknown-65,54.17 ± 5.94,58.61 ± 5.59,56.24 ± 5.46,11280.00 ± 5299.25
Unknown-66,35.45 ± 8.38,38.04 ± 10.98,36.24 ± 8.50,2740.00 ± 1021.27
Unknown-67,32.63 ± 10.92,36.32 ± 14.67,34.12 ± 11.92,2560.00 ± 450.56
Unknown-68,46.00 ± 12.18,50.98 ± 19.34,47.89 ± 14.19,5940.00 ± 2578.37
Unknown-69,42.24 ± 5.15,41.96 ± 4.10,42.04 ± 4.28,7380.00 ± 1840.38
Unknown-70,70.63 ± 19.20,70.93 ± 17.11,70.72 ± 18.07,2400.00 ± 1433.53
Unknown-71,44.66 ± 11.97,39.01 ± 10.55,41.20 ± 9.69,1260.00 ± 594.14
Unknown-72,15.50 ± 16.13,14.32 ± 13.74,14.11 ± 13.12,1240.00 ± 740.27
Unknown-73,44.41 ± 18.05,52.06 ± 11.30,46.86 ± 15.67,1480.00 ± 601.66
Unknown-74,51.41 ± 7.34,52.59 ± 6.57,51.97 ± 6.86,20120.00 ± 6003.08
Unknown-75,37.48 ± 12.22,34.29 ± 10.77,35.47 ± 10.89,1300.00 ± 200.00
Unknown-76,71.83 ± 8.00,76.10 ± 8.20,73.83 ± 7.64,9340.00 ± 1771.44
Unknown-77,24.20 ± 12.11,32.98 ± 13.61,26.79 ± 10.64,880.00 ± 630.08
