epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.014068,0.725764,1.252640,2.959303,0.250000,0.750000,0.114220,32.129311,3.253786,3.253786,32.029030,1.094277,1.094277
2,0.069453,0.192575,0.197280,3.365903,0.250000,0.750000,0.128986,32.254326,4.653275,1.525874,32.046432,1.594370,0.608367
3,0.012406,0.025248,0.314553,3.343260,0.250000,0.750000,0.144185,32.340778,5.452680,0.895604,32.060051,1.895534,0.464679
4,0.083944,0.011785,0.171391,3.458665,0.250000,0.750000,0.159937,32.398045,5.957722,0.633503,32.072086,2.130447,0.452397
5,0.076724,0.016557,0.211502,3.515012,0.250000,0.750000,0.175999,32.438183,6.292530,0.507554,32.081078,2.328776,0.427080
6,0.006020,0.008964,0.259391,3.567926,0.250000,0.750000,0.192010,32.463573,6.518420,0.446388,32.088482,2.498267,0.407987
7,0.051820,0.013913,0.291901,3.650136,0.250000,0.750000,0.208211,32.482204,6.681607,0.414336,32.095242,2.650836,0.409170
8,0.011486,0.025212,0.268262,3.725362,0.250000,0.750000,0.224530,32.497448,6.798441,0.355241,32.104195,2.810782,0.427084
9,-0.020281,0.014968,0.299516,3.850720,0.250000,0.750000,0.240616,32.511314,6.884519,0.353520,32.114304,2.971337,0.433086
10,0.032824,0.006730,0.313330,3.865515,0.250000,0.750000,0.256475,32.525223,6.962300,0.333763,32.128677,3.136780,0.439135
11,-0.020534,0.008232,0.241795,3.939457,0.250000,0.750000,0.272625,32.538689,7.027403,0.303970,32.144741,3.300078,0.450043
12,-0.021635,0.009398,0.233501,3.938428,0.250000,0.750000,0.288826,32.546066,7.080404,0.305738,32.160137,3.455456,0.440002
13,-0.052572,0.014533,0.214338,3.967856,0.250000,0.750000,0.304748,32.549202,7.135309,0.310179,32.175594,3.595474,0.411310
14,-0.021267,0.020116,0.400550,4.002014,0.250000,0.750000,0.320584,32.552719,7.195047,0.370576,32.190311,3.720695,0.410199
15,0.002527,0.026763,0.200671,4.059867,0.250000,0.750000,0.336500,32.555328,7.251582,0.403572,32.204735,3.845109,0.434537
16,0.023652,0.012308,0.204885,4.103739,0.250000,0.750000,0.352461,32.559460,7.312603,0.417003,32.221115,3.972426,0.443359
17,0.007961,0.007432,0.352375,4.085145,0.250000,0.750000,0.368192,32.564751,7.367662,0.500358,32.237991,4.095100,0.423721
18,0.018753,0.010135,0.441080,4.121689,0.250000,0.750000,0.383606,32.573418,7.428524,0.528337,32.256275,4.216341,0.437179
19,-0.008412,0.007415,0.368246,4.181541,0.250000,0.750000,0.398988,32.590504,7.493062,0.430710,32.276306,4.340914,0.450034
20,0.042295,0.007273,0.369218,4.231981,0.250000,0.750000,0.414290,32.620823,7.557676,0.438557,32.299866,4.472108,0.477599
21,-0.020922,0.004453,0.555725,4.204956,0.250000,0.750000,0.429238,32.664215,7.613288,0.388901,32.325153,4.599228,0.483739
22,-0.003005,0.008459,0.285989,4.290875,0.250000,0.750000,0.444305,32.715794,7.675581,0.466885,32.353146,4.729843,0.466539
23,0.002445,0.011053,0.332043,4.367285,0.250000,0.750000,0.459456,32.769810,7.752020,0.514376,32.380695,4.856750,0.475168
24,-0.040777,0.016914,0.476311,4.462673,0.250000,0.750000,0.474643,32.813847,7.825679,0.533431,32.407005,4.971083,0.457318
25,0.000905,0.020852,0.858649,4.432714,0.250000,0.750000,0.489195,32.849117,7.901934,0.538991,32.431408,5.081521,0.455595
26,-0.006520,0.012767,0.386397,4.511288,0.250000,0.750000,0.503372,32.877918,7.978402,0.429363,32.454388,5.191654,0.433240
27,-0.006695,0.013564,0.717676,4.554249,0.250000,0.750000,0.517243,32.889622,8.043459,0.409162,32.474369,5.290689,0.432317
28,0.018191,0.012805,0.352858,4.742883,0.250000,0.750000,0.531422,32.889587,8.092820,0.378082,32.490673,5.385717,0.423367
29,-0.004556,0.018180,0.358137,4.894244,0.250000,0.750000,0.545989,32.883686,8.134057,0.341212,32.503876,5.473072,0.432484
30,0.033909,0.024699,0.536980,4.916873,0.250000,0.750000,0.560142,32.878536,8.170067,0.333356,32.517124,5.559288,0.416704
31,0.019026,0.014240,0.504251,5.119167,0.250000,0.750000,0.574047,32.871525,8.202577,0.328736,32.531509,5.648055,0.422631
32,-0.002352,0.034541,0.518519,5.281249,0.250000,0.750000,0.587995,32.857723,8.227840,0.327323,32.545303,5.732979,0.410853
33,0.033895,0.028067,0.396277,5.439669,0.250000,0.750000,0.601770,32.841537,8.255864,0.326109,32.558212,5.814605,0.421461
34,-0.016412,0.019094,0.416466,5.573788,0.250000,0.750000,0.615369,32.820080,8.276972,0.311014,32.569786,5.892526,0.428607
35,0.020899,0.135493,0.380848,5.704156,0.250000,0.750000,0.628795,32.793842,8.292411,0.310636,32.581078,5.972944,0.426814
36,0.007358,0.026754,0.591154,5.931028,0.250000,0.750000,0.642037,32.764606,8.306068,0.337439,32.591152,6.053517,0.421728
37,0.003699,0.049524,0.467900,5.944201,0.250000,0.750000,0.655115,32.737221,8.321146,0.350002,32.601440,6.131254,0.416482
38,0.015987,0.070005,0.698054,6.254149,0.250000,0.750000,0.668065,32.712822,8.341641,0.404446,32.611446,6.208949,0.411606
39,0.007168,0.033295,0.490849,6.409965,0.250000,0.750000,0.681264,32.689793,8.367841,0.359881,32.621208,6.281862,0.383346
40,-0.000174,0.152207,0.379648,6.788236,0.250000,0.750000,0.694535,32.665569,8.392867,0.329930,32.631195,6.353600,0.401768
41,-0.024156,0.068915,0.457496,7.037145,0.250000,0.750000,0.708069,32.641483,8.410533,0.333440,32.640453,6.424782,0.398610
42,0.015736,0.057904,0.447685,7.252312,0.250000,0.750000,0.721574,32.612450,8.428871,0.349363,32.649242,6.492102,0.405120
43,0.029898,0.025223,0.482617,7.461042,0.250000,0.750000,0.734875,32.586422,8.446690,0.310457,32.657806,6.558700,0.370935
44,-0.008915,0.053146,0.447410,7.743843,0.250000,0.750000,0.748204,32.561687,8.467626,0.348179,32.665504,6.619548,0.366088
45,0.062515,0.032810,0.493693,7.739511,0.250000,0.750000,0.761342,32.534847,8.489448,0.359523,32.672733,6.680275,0.379291
46,0.042480,0.014549,0.587365,8.099183,0.250000,0.750000,0.774407,32.507748,8.511624,0.382081,32.679287,6.740650,0.371262
47,0.008047,0.007274,0.359261,8.366453,0.250000,0.750000,0.787729,32.480209,8.528807,0.325457,32.686703,6.801138,0.382963
48,0.007636,0.009755,0.351421,8.434127,0.250000,0.750000,0.801009,32.454525,8.550768,0.349583,32.693699,6.861407,0.389609
49,-0.048265,0.016255,0.504585,8.950299,0.250000,0.750000,0.814083,32.428841,8.573708,0.338778,32.700409,6.919361,0.373473
50,-0.014840,0.019660,0.318050,9.260399,0.250000,0.750000,0.827507,32.404114,8.598754,0.334805,32.706947,6.978558,0.372012
