Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,5.0000
Entertainment,0.3333,0.2941,0.3125,17.0000
Food,0.6667,0.2857,0.4000,35.0000
Nightlife,0.5263,0.4000,0.4545,25.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.0000,0.0000,0.0000,6.0000
Travel,0.4074,0.4400,0.4231,50.0000
None,0.3182,0.5385,0.4000,13.0000
Unknown-8,0.6429,0.6923,0.6667,13.0000
Unknown-9,0.4688,0.4839,0.4762,31.0000
Unknown-10,0.6761,0.7385,0.7059,65.0000
Unknown-11,0.4727,0.5652,0.5149,46.0000
Unknown-12,0.0769,0.0714,0.0741,14.0000
Unknown-13,0.4833,0.4531,0.4677,64.0000
Unknown-14,0.0000,0.0000,0.0000,2.0000
Unknown-17,0.4286,0.4390,0.4337,41.0000
Unknown-18,0.4706,0.5161,0.4923,31.0000
Unknown-20,0.4684,0.5000,0.4837,74.0000
Unknown-21,0.0000,0.0000,0.0000,1.0000
Unknown-23,0.0000,0.0000,0.0000,2.0000
Unknown-24,0.0000,0.0000,0.0000,0.0000
Unknown-26,0.0000,0.0000,0.0000,1.0000
Unknown-27,0.0000,0.0000,0.0000,5.0000
Unknown-28,0.0000,0.0000,0.0000,0.0000
Unknown-30,0.0000,0.0000,0.0000,3.0000
Unknown-31,0.4250,0.3696,0.3953,46.0000
Unknown-32,0.5714,0.5714,0.5714,7.0000
Unknown-33,0.5000,0.3750,0.4286,8.0000
Unknown-34,0.5000,0.5000,0.5000,20.0000
Unknown-35,0.4000,0.5000,0.4444,4.0000
Unknown-36,0.3125,0.3571,0.3333,14.0000
Unknown-38,0.0000,0.0000,0.0000,1.0000
Unknown-39,0.0000,0.0000,0.0000,4.0000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.4545,0.4000,0.4255,25.0000
Unknown-43,0.5000,0.4737,0.4865,19.0000
Unknown-44,0.2308,0.2143,0.2222,14.0000
Unknown-45,0.0000,0.0000,0.0000,1.0000
Unknown-46,0.5094,0.6000,0.5510,45.0000
Unknown-47,0.0000,0.0000,0.0000,4.0000
Unknown-48,0.2727,0.7500,0.4000,4.0000
Unknown-49,0.6667,0.4444,0.5333,9.0000
Unknown-50,0.3333,0.5000,0.4000,2.0000
Unknown-51,0.1667,0.1667,0.1667,12.0000
Unknown-52,0.0000,0.0000,0.0000,0.0000
Unknown-53,0.2778,0.3333,0.3030,15.0000
Unknown-54,0.3333,0.3333,0.3333,3.0000
Unknown-55,0.5000,0.3333,0.4000,21.0000
Unknown-56,0.2500,0.4545,0.3226,11.0000
Unknown-57,0.2174,0.1667,0.1887,30.0000
Unknown-60,0.3846,0.4167,0.4000,12.0000
Unknown-61,0.1176,0.6667,0.2000,6.0000
Unknown-62,0.0952,0.5000,0.1600,4.0000
Unknown-63,0.0000,0.0000,0.0000,2.0000
Unknown-64,0.0000,0.0000,0.0000,3.0000
Unknown-65,0.0000,0.0000,0.0000,4.0000
Unknown-67,0.0000,0.0000,0.0000,8.0000
Unknown-68,0.0000,0.0000,0.0000,5.0000
Unknown-69,0.2667,0.2105,0.2353,19.0000
Unknown-70,0.3125,0.2632,0.2857,19.0000
Unknown-72,0.0000,0.0000,0.0000,24.0000
Unknown-74,0.0000,0.0000,0.0000,2.0000
Unknown-75,0.0000,0.0000,0.0000,5.0000
Unknown-76,0.2500,0.4000,0.3077,5.0000
Unknown-77,0.0000,0.0000,0.0000,3.0000
Unknown-78,0.0000,0.0000,0.0000,2.0000
Unknown-79,0.4848,0.4923,0.4885,65.0000
Unknown-80,0.3333,0.4286,0.3750,14.0000
Unknown-81,0.2857,0.4615,0.3529,13.0000
Unknown-82,0.0000,0.0000,0.0000,6.0000
Unknown-84,0.1905,0.2500,0.2162,16.0000
Unknown-85,0.0000,0.0000,0.0000,0.0000
Unknown-86,0.0000,0.0000,0.0000,1.0000
Unknown-87,0.3333,0.5000,0.4000,4.0000
Unknown-89,0.0000,0.0000,0.0000,3.0000
Unknown-90,0.0000,0.0000,0.0000,2.0000
Unknown-91,0.0000,0.0000,0.0000,0.0000
Unknown-92,0.0000,0.0000,0.0000,0.0000
Unknown-93,0.0000,0.0000,0.0000,0.0000
