epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.024053,0.852335,1.105694,4.545238,0.193408,32.449718,6.642024,6.642024,32.100769,3.066280,3.066280
2,-0.013918,0.023289,0.212511,5.545816,0.286714,32.212894,6.885603,1.491372,32.193592,4.548844,2.786220
3,0.072642,0.006468,0.202883,5.948477,0.379666,32.191853,7.985598,3.659389,32.290909,5.680280,2.519607
4,-0.011622,0.004988,0.159052,6.058261,0.472106,32.060707,8.553437,1.270302,32.343468,6.474246,2.115680
5,0.028545,0.001457,0.161734,5.897656,0.563905,31.767263,8.525784,0.319373,32.375027,7.080906,1.906655
6,-0.020247,0.005367,0.181160,5.734324,0.652650,31.597822,8.887917,2.616810,32.394169,7.562948,1.714273
7,-0.001984,0.000866,0.180961,5.437108,0.742458,31.314724,8.872911,0.284146,32.408390,8.003684,1.671099
8,0.009118,0.002598,0.142372,5.181977,0.830109,31.469469,10.405653,5.394457,32.440170,8.395590,1.608310
9,-0.001245,0.000825,0.134807,4.970648,0.917282,31.199806,10.397716,0.272127,32.462009,8.770157,1.610786
10,-0.002277,0.001416,0.154140,4.683648,1.002838,30.931479,10.378405,0.268478,32.495064,9.113481,1.585295
11,0.014673,0.001959,0.144538,4.502610,1.086521,30.670774,10.366115,0.261505,32.515083,9.419694,1.527340
12,-0.011985,0.010402,0.137599,4.301036,1.168125,30.416656,10.361482,0.268833,32.532124,9.702078,1.484499
13,-0.005939,0.010890,0.133890,4.146339,1.247568,30.170248,10.364822,0.257769,32.545597,9.968241,1.438406
14,0.008047,0.002877,0.134672,4.006625,1.324568,29.933983,10.372667,0.280633,32.559143,10.209825,1.455242
15,0.032272,0.009397,0.176141,3.897674,1.399009,29.703188,10.384613,0.279106,32.578644,10.450493,1.415826
16,-0.001204,0.001986,0.132823,3.825714,1.470029,29.486374,10.400841,0.229920,32.581211,10.656385,1.351015
17,-0.000265,0.004166,0.118076,3.762256,1.532906,29.285990,10.417801,0.240076,32.591713,10.862992,1.303052
18,0.041884,0.008323,0.108263,3.954432,1.581154,29.626953,11.637685,5.051687,32.604988,11.043819,1.245548
19,-0.008522,0.001574,0.151012,3.713824,1.620048,29.439394,11.657972,0.198504,32.612473,11.208942,1.225295
20,-0.006499,0.001085,0.181403,3.728685,1.653188,29.252340,11.665846,0.190670,32.614727,11.364329,1.167485
21,0.008721,0.001646,0.163339,3.728501,1.680580,29.076807,11.676793,0.180565,32.612968,11.505530,1.125112
22,0.002143,0.001269,0.137543,3.708750,1.702652,28.910580,11.689021,0.173126,32.611511,11.642493,1.085076
23,-0.012332,0.001406,0.121146,3.757721,1.721565,28.752932,11.702615,0.162469,32.605591,11.757613,1.044061
24,-0.009765,0.000817,0.120175,3.775398,1.738332,28.604343,11.718143,0.160101,32.594879,11.859455,0.967752
