epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.019242,0.722374,0.900013,2.787237,0.250000,0.750000,0.113803,32.160637,3.258590,3.258590,32.048630,1.094540,1.094540
2,-0.018227,0.330304,0.223136,3.221803,0.250000,0.750000,0.128125,32.284657,4.619181,1.492945,32.062244,1.572316,0.552324
3,-0.019003,0.035343,0.058108,3.212673,0.250000,0.750000,0.143568,32.375404,5.444647,0.914198,32.075161,1.897448,0.413257
4,0.006253,0.013470,0.119577,3.275999,0.250000,0.750000,0.159510,32.430748,5.946881,0.568212,32.087269,2.138955,0.415980
5,-0.017864,0.009209,0.168993,3.370694,0.250000,0.750000,0.175462,32.457485,6.249496,0.437721,32.098118,2.331150,0.446617
6,-0.051036,0.009270,0.275902,3.451413,0.250000,0.750000,0.192040,32.472584,6.456264,0.365027,32.107922,2.512998,0.485567
7,-0.042025,0.012948,0.133847,3.532138,0.250000,0.750000,0.209089,32.482143,6.610678,0.376738,32.117279,2.693738,0.480793
8,-0.006730,0.010128,0.205657,3.635360,0.250000,0.750000,0.226142,32.493019,6.737651,0.407973,32.126656,2.864403,0.469658
9,0.050326,0.011186,0.311110,3.691869,0.250000,0.750000,0.243059,32.506306,6.854471,0.404536,32.138527,3.039732,0.454480
10,-0.036921,0.015959,0.181990,3.758589,0.250000,0.750000,0.259519,32.526115,6.972613,0.438320,32.153118,3.211989,0.464963
11,0.031103,0.010763,0.568014,3.764370,0.250000,0.750000,0.275234,32.546185,7.087538,0.438359,32.169292,3.374079,0.439871
12,-0.025912,0.030401,0.262799,3.774940,0.250000,0.750000,0.290864,32.562775,7.173946,0.413882,32.186722,3.518441,0.434201
13,-0.031140,0.015269,0.360658,3.794106,0.250000,0.750000,0.306226,32.575329,7.237331,0.428166,32.203804,3.649683,0.434205
14,-0.007939,0.008040,0.280828,3.826853,0.250000,0.750000,0.321996,32.592037,7.287071,0.397245,32.223820,3.778184,0.470809
15,0.029159,0.012251,0.181772,3.873470,0.250000,0.750000,0.338071,32.615845,7.329030,0.371442,32.247650,3.912796,0.474473
16,-0.007452,0.011503,0.316454,3.917870,0.250000,0.750000,0.354519,32.661129,7.384049,0.446605,32.277184,4.054643,0.485574
17,0.014114,0.011001,0.438477,3.912780,0.250000,0.750000,0.370906,32.726952,7.445848,0.537262,32.309975,4.198915,0.470409
18,0.032448,0.009071,0.255282,3.945753,0.250000,0.750000,0.386806,32.792534,7.503040,0.503942,32.343243,4.334029,0.449125
19,0.039179,0.011817,0.348268,3.953306,0.250000,0.750000,0.402412,32.862106,7.570858,0.463681,32.377434,4.466617,0.455521
20,-0.009434,0.028100,0.318919,3.955609,0.250000,0.750000,0.417809,32.937542,7.652596,0.522582,32.412174,4.598950,0.460104
21,-0.014112,0.031891,0.489967,3.950258,0.250000,0.750000,0.432889,33.000412,7.741079,0.559633,32.444164,4.728119,0.444256
22,-0.003187,0.011510,0.376236,4.056240,0.250000,0.750000,0.447924,33.049274,7.826681,0.653648,32.471264,4.846080,0.420087
23,-0.006517,0.010217,0.330708,4.057703,0.250000,0.750000,0.463149,33.081123,7.915672,0.585925,32.495327,4.957091,0.432500
24,-0.005913,0.009070,0.599520,4.056723,0.250000,0.750000,0.477901,33.098118,7.990865,0.579971,32.515682,5.065155,0.430494
25,0.016355,0.018517,0.361096,4.100717,0.250000,0.750000,0.492530,33.103134,8.061246,0.492325,32.534325,5.169353,0.436708
26,0.003514,0.010944,0.550782,4.168941,0.250000,0.750000,0.506968,33.097725,8.121140,0.437574,32.550316,5.265450,0.446617
27,-0.002405,0.021978,0.363946,4.167517,0.250000,0.750000,0.521500,33.084606,8.172029,0.416835,32.565464,5.362602,0.435549
28,0.021603,0.012770,0.392623,4.216915,0.250000,0.750000,0.535648,33.063114,8.212061,0.405278,32.579586,5.458081,0.428701
29,0.019364,0.014824,0.280469,4.342234,0.250000,0.750000,0.550040,33.040421,8.250459,0.376606,32.593498,5.556576,0.449490
30,0.026887,0.017470,0.316991,4.485150,0.250000,0.750000,0.564571,33.015011,8.281737,0.340118,32.607422,5.657144,0.469872
31,-0.027043,0.017947,0.348220,4.462034,0.250000,0.750000,0.579107,32.989658,8.311037,0.351991,32.621971,5.759915,0.471870
32,0.025903,0.019186,0.413007,4.632720,0.250000,0.750000,0.593377,32.966068,8.341522,0.461944,32.637272,5.864678,0.473709
33,-0.021913,0.028067,0.366440,4.743440,0.250000,0.750000,0.607429,32.946575,8.388001,0.457531,32.652729,5.969901,0.467131
34,-0.045803,0.022055,0.556231,4.769909,0.250000,0.750000,0.621194,32.923847,8.427309,0.384265,32.666973,6.073152,0.451734
35,-0.031353,0.014361,0.297168,5.084411,0.250000,0.750000,0.635020,32.899246,8.459194,0.404179,32.679550,6.166023,0.471970
36,0.087315,0.020556,0.407570,5.214874,0.250000,0.750000,0.648875,32.873722,8.487652,0.385728,32.692165,6.255817,0.452103
37,-0.005849,0.014908,0.491052,5.248911,0.250000,0.750000,0.662548,32.846630,8.517054,0.388632,32.704487,6.345165,0.442297
38,-0.008177,0.017342,0.373073,5.471317,0.250000,0.750000,0.676151,32.816277,8.545766,0.427272,32.718861,6.435807,0.459031
39,-0.006277,0.020523,0.410031,5.607506,0.250000,0.750000,0.689196,32.791454,8.578303,0.402286,32.730976,6.523701,0.440137
40,-0.013005,0.106212,0.388779,5.804927,0.250000,0.750000,0.702262,32.764851,8.611242,0.440626,32.743736,6.608534,0.439559
41,-0.007644,0.043891,0.385541,6.001609,0.250000,0.750000,0.715475,32.737606,8.650455,0.534287,32.755680,6.697813,0.458240
42,-0.058938,0.022318,0.518411,6.050842,0.250000,0.750000,0.728478,32.713310,8.707284,0.584892,32.768650,6.784390,0.441862
43,-0.015632,0.030268,0.400342,6.376495,0.250000,0.750000,0.741349,32.691299,8.766276,0.557716,32.781116,6.863731,0.426604
44,0.005123,0.063929,0.326107,6.573312,0.250000,0.750000,0.754300,32.668419,8.827402,0.536674,32.792595,6.941101,0.431177
45,0.047606,0.031926,0.395243,6.662557,0.250000,0.750000,0.767238,32.650429,8.882673,0.486766,32.803127,7.013651,0.425820
46,0.021412,0.046184,0.353883,6.683355,0.250000,0.750000,0.779592,32.636257,8.937398,0.448694,32.812767,7.080850,0.417140
47,-0.001971,0.044205,0.345059,7.011061,0.250000,0.750000,0.792214,32.623047,8.991771,0.369106,32.823391,7.150713,0.421446
48,0.020521,0.082992,0.354545,7.157903,0.250000,0.750000,0.804808,32.609283,9.047389,0.434362,32.833622,7.223044,0.420351
49,0.019612,0.064084,0.290385,7.673102,0.250000,0.750000,0.817537,32.597485,9.098541,0.414093,32.842850,7.289582,0.417044
50,-0.027077,0.033812,0.395953,7.826554,0.250000,0.750000,0.830404,32.583443,9.141351,0.458872,32.850883,7.351872,0.405011
